
[00:00:00.000 --> 00:00:01.600]   Good morning.
[00:00:01.600 --> 00:00:04.600]   Give me a wave if you're still with me after all that administration.
[00:00:04.600 --> 00:00:05.960]   Come on, wave to me.
[00:00:05.960 --> 00:00:10.640]   If somebody's fallen asleep next to you, just give them a little dig in the ribs.
[00:00:10.640 --> 00:00:14.840]   Intimacy, deepening our trust and our faith.
[00:00:14.840 --> 00:00:17.880]   I was recently on an overnight retreat
[00:00:17.880 --> 00:00:21.360]   and I'd been asked to do the devotional the next morning.
[00:00:21.360 --> 00:00:25.720]   And I awoke in the middle of the night with these words in my head,
[00:00:25.720 --> 00:00:29.960]   "Switch from hope to faith."
[00:00:29.960 --> 00:00:33.480]   And I knew it was God and I immediately responded,
[00:00:33.480 --> 00:00:37.000]   "I'm sorry, I don't understand.
[00:00:37.000 --> 00:00:40.680]   Do you ever do that with God? What are you saying?"
[00:00:40.680 --> 00:00:44.960]   I said to him, "You're going to have to explain this to me."
[00:00:44.960 --> 00:00:49.200]   God showed me that there were important areas of my life
[00:00:49.200 --> 00:00:53.520]   where I was asking in hope, not faith.
[00:00:53.520 --> 00:00:58.440]   Asking with no sense of assurance or conviction.
[00:00:58.440 --> 00:01:00.760]   Hebrews 11, 1 tells us,
[00:01:00.760 --> 00:01:04.680]   "Now faith is the assurance of things hoped for,
[00:01:04.680 --> 00:01:09.200]   the conviction of things not seen."
[00:01:09.200 --> 00:01:13.080]   Faith goes beyond just hope.
[00:01:13.080 --> 00:01:16.840]   God was asking me to deepen my faith,
[00:01:16.840 --> 00:01:22.480]   to ask in faith for the things that weighed heavy on my soul.
[00:01:22.480 --> 00:01:25.520]   Now, how does this link to intimacy?
[00:01:25.520 --> 00:01:28.320]   Reaching for my journal that night
[00:01:28.320 --> 00:01:30.880]   and turning on the bedside lamp,
[00:01:30.880 --> 00:01:33.280]   God gave me this.
[00:01:33.280 --> 00:01:38.400]   Faith is built on trust.
[00:01:38.400 --> 00:01:42.760]   And trust comes from intimacy.
[00:01:42.760 --> 00:01:46.040]   So when we deepen our intimacy,
[00:01:46.040 --> 00:01:51.160]   trust deepens and our faith deepens.
[00:01:51.160 --> 00:01:54.440]   God showed me a personal area of my life
[00:01:54.440 --> 00:01:56.880]   where I was not asking with any faith
[00:01:56.880 --> 00:02:00.200]   or any sense of authority or conviction.
[00:02:00.200 --> 00:02:03.640]   I was asking in hope and in desperation,
[00:02:03.640 --> 00:02:07.200]   but with no sense of assurance.
[00:02:07.200 --> 00:02:10.320]   Now, there is nothing wrong with hope,
[00:02:10.320 --> 00:02:15.320]   but I sense God challenging me to shift from just hope
[00:02:15.320 --> 00:02:21.760]   to praying from a place of greater trust and greater faith.
[00:02:21.760 --> 00:02:24.680]   You see, we all have areas of our life
[00:02:24.680 --> 00:02:29.640]   where trust has been eroded in God's ability to bring change.
[00:02:29.640 --> 00:02:32.960]   Just think for a moment about your life.
[00:02:32.960 --> 00:02:35.800]   Areas in your life where your trust
[00:02:35.800 --> 00:02:42.560]   in God's ability to bring change has been eroded.
[00:02:42.560 --> 00:02:46.400]   In this intimate counter that I had in the middle of the night,
[00:02:46.400 --> 00:02:49.160]   God showed me his great love
[00:02:49.160 --> 00:02:52.600]   for the situation I had lost faith in.
[00:02:52.600 --> 00:02:55.320]   And he showed me his grief,
[00:02:55.320 --> 00:03:01.920]   which matched my own and surpassed my own.
[00:03:01.920 --> 00:03:05.200]   In that moment, as everything was stripped bare,
[00:03:05.200 --> 00:03:10.000]   I was gently brought to a place of repentance.
[00:03:10.000 --> 00:03:16.360]   My trust restored in a God who does know and who does care.
[00:03:16.360 --> 00:03:20.680]   I was able to ask in faith concerning this situation
[00:03:20.680 --> 00:03:25.920]   and able to ask with assurance and conviction.
[00:03:25.920 --> 00:03:31.560]   Matthew 21, 22 reminds us that whatever we ask in prayer,
[00:03:31.560 --> 00:03:35.640]   we will receive if we have faith.
[00:03:35.640 --> 00:03:38.000]   We as a church and we as individuals
[00:03:38.000 --> 00:03:42.160]   have been called to intimacy.
[00:03:42.160 --> 00:03:47.600]   It is the foundation on which everything else is built.
[00:03:47.600 --> 00:03:50.800]   When Jesus was asked, "Teacher,
[00:03:50.800 --> 00:03:55.560]   what is the greatest commandment in the law?"
[00:03:55.560 --> 00:04:02.240]   Jesus responded, "Love the Lord your God with all your heart
[00:04:02.240 --> 00:04:06.920]   and with all your soul and with all your mind.
[00:04:06.920 --> 00:04:14.000]   This is the first and greatest commandment."
[00:04:14.000 --> 00:04:18.680]   The first and greatest commandment.
[00:04:18.680 --> 00:04:24.040]   If you leave with nothing else today, leave with this.
[00:04:24.040 --> 00:04:30.840]   The first and greatest thing you need is intimacy with God.
[00:04:30.840 --> 00:04:35.560]   Life for you may not be going to plan right now.
