
[00:00:00.000 --> 00:00:04.480]  有些人說我們教會很高標準,很高標準
[00:00:04.480 --> 00:00:07.320]  服侍也很高標準,其實不是我們設定的
[00:00:07.320 --> 00:00:09.800]  Nestle就想把你們也叫出來
[00:00:09.800 --> 00:00:13.240]  兩個服務領導,Nestle待會就會有英文
[00:00:13.240 --> 00:00:15.440]  他們是這樣的,OK?
[00:00:15.440 --> 00:00:19.480]  我們給服務領導一點掌聲
[00:00:19.480 --> 00:00:22.920]  我知道你們沒有配合,同感一零,不好意思,拉你們上台
[00:00:22.920 --> 00:00:26.120]  真的不可以不展示給大家看
[00:00:26.120 --> 00:00:29.640]  我們有很專業的服務領導
[00:00:29.640 --> 00:00:32.960]  謝謝,是不是制服?我們可以有嗎?
[00:00:32.960 --> 00:00:35.160]  都不便宜,無論如何
[00:00:35.160 --> 00:00:40.040]  不好意思,真的忍不住,所以要解僱一下大家
[00:00:40.040 --> 00:00:43.520]  其實不是解僱,可能這個才是大家想知道的東西
[00:00:43.520 --> 00:00:47.000]  我想問一下大家,大家喜歡看電影嗎?
[00:00:47.000 --> 00:00:49.160]  喜歡看電影
[00:00:49.160 --> 00:00:51.640]  有哪一齣電影你覺得是最深刻的?
[00:00:51.640 --> 00:00:53.040]  《莫伯虎點秋香》
[00:00:53.040 --> 00:00:57.760]  新一點,我本來以為稿子是說不用那麼新的,可以舊一點
[00:00:57.760 --> 00:00:59.760]  不知道,下一集
[00:00:59.760 --> 00:01:02.440]  還有沒有什麼電影大家最有印象?
[00:01:02.440 --> 00:01:04.040]  《破地獄》
[00:01:04.040 --> 00:01:05.560]  還有呢?
[00:01:05.560 --> 00:01:08.560]  有沒有?舊也不怕的,來得出
[00:01:08.560 --> 00:01:09.560]  《古惑仔》
[00:01:09.560 --> 00:01:12.880]  哦,《古惑仔》,難怪你老公那麼帥
[00:01:12.880 --> 00:01:13.880]  OK
[00:01:13.880 --> 00:01:21.400]  其中一齣電影,我自己是最喜歡的
[00:01:21.400 --> 00:01:26.640]  我記得在分享的時候,也有聽到我們的電影姐妹說過一齣電影
[00:01:26.640 --> 00:01:28.200]  叫做《Inception》
[00:01:28.200 --> 00:01:30.200]  潛行空間
[00:01:30.200 --> 00:01:33.960]  Leonardo DiCaprio,好像我們的服務領導一樣那麼有型
[00:01:33.960 --> 00:01:35.800]  Leonardo DiCaprio
[00:01:35.800 --> 00:01:39.800]  在電影裡面,利安納可以潛入人的夢裡面
[00:01:39.800 --> 00:01:42.040]  是不是?有沒有看過?大家有沒有看過?
[00:01:42.040 --> 00:01:43.120]  有,有
[00:01:43.120 --> 00:01:45.320]  他潛入人的夢裡面
[00:01:45.320 --> 00:01:47.960]  他可以改變一些人的潛意識
