
[00:00:00.000 --> 00:00:08.000]  今天我們有領導教會的教會團隊為我們去靜悟
[00:00:08.000 --> 00:00:11.000]  我們邀請教會團隊上來
[00:00:11.000 --> 00:00:18.000]  我們也有多功能的Chapman為我們去做一個即時的傳譯
[00:00:18.000 --> 00:00:22.000]  我們一起去…
[00:00:22.000 --> 00:00:24.000]  我也想多說兩句
[00:00:24.000 --> 00:00:30.000]  其實我們一間教會,一會兩語
[00:00:30.000 --> 00:00:31.000]  很小心
[00:00:31.000 --> 00:00:33.000]  一個教會裡面有兩種語言的崇拜
[00:00:33.000 --> 00:00:38.000]  其實是一個很重要的訊息
[00:00:38.000 --> 00:00:43.000]  那個合一,用這個方式去呈現其實很不容易
[00:00:43.000 --> 00:00:44.000]  我告訴你其實是很難的
[00:00:44.000 --> 00:00:46.000]  我們花很多精神和心機去想
[00:00:46.000 --> 00:00:50.000]  我們怎樣能夠將兩個不同的群體成為一個教會裡面的合一
[00:00:50.000 --> 00:00:53.000]  但是神定義就是要我們不是去做容易的事
[00:00:53.000 --> 00:00:55.000]  我們去做對的事
[00:00:55.000 --> 00:00:56.000]  做祂要我們做的事
[00:00:56.000 --> 00:01:01.000]  所以今天我們也有領導教會和我們分享
[00:01:01.000 --> 00:01:03.000]  他自己心裡面對於整個教會裡面
[00:01:03.000 --> 00:01:05.000]  接下來一年的異象
[00:01:05.000 --> 00:01:08.000]  所以我們也準備好心去聆聽
[00:01:08.000 --> 00:01:12.000]  神怎樣透過這個訊息告訴我們
[00:01:12.000 --> 00:01:15.000]  我們同心為著領導教會和Chapman去祈禱
[00:01:15.000 --> 00:01:18.000]  親愛的天父我們感謝你
[00:01:20.000 --> 00:01:25.000]  我們感謝你讓你的訊息不被任何的語言去阻隔
[00:01:25.000 --> 00:01:29.000]  沒有東西能夠阻隔我們的關係
[00:01:29.000 --> 00:01:32.000]  因為藉著你的靈我們能夠去領受
[00:01:32.000 --> 00:01:34.000]  藉著你的靈我們能夠相通
[00:01:34.000 --> 00:01:38.000]  藉著你的靈我們能夠讓你充滿
[00:01:38.000 --> 00:01:42.000]  明白到你要告訴我們的每一個訊息
[00:01:42.000 --> 00:01:45.000]  所以主要求你去賜福Pastor Tim和Pastor Chapman
[00:01:45.000 --> 00:01:48.000]  當Pastor Tim去準備他的訊息的時候
[00:01:48.000 --> 00:01:50.000]  你的靈已經在他當中
[00:01:50.000 --> 00:01:54.000]  所以主要求你讓我們靈相通的時候
[00:01:54.000 --> 00:01:58.000]  我們能夠去領受到你今天要告訴我們的
[00:01:58.000 --> 00:02:00.000]  所有的話語所有的訊息
[00:02:00.000 --> 00:02:02.000]  讓我們能夠明瞭
[00:02:02.000 --> 00:02:05.000]  讓我們能夠知道我們怎樣去實踐出來
[00:02:05.000 --> 00:02:07.000]  我們禱告奉教主耶穌基督的名
[00:02:07.000 --> 00:02:09.000]  Amen
[00:02:09.000 --> 00:02:10.000]  Thank you Pastor Ivan
[00:02:10.000 --> 00:02:12.000]  生日快樂
[00:02:12.000 --> 00:02:14.000]  生日健康
[00:02:14.000 --> 00:02:17.000]  事事如意
[00:02:18.000 --> 00:02:21.000]  (掌聲)
[00:02:21.000 --> 00:02:23.000]  That's it
[00:02:23.000 --> 00:02:24.000]  就是這麼多了
[00:02:24.000 --> 00:02:29.000]  You know it is so incredible to see you
[00:02:29.000 --> 00:02:32.000]  今年可以在這裡見到大家實在太好了
[00:02:32.000 --> 00:02:36.000]  Cause you are God's dream come true
[00:02:36.000 --> 00:02:39.000]  因為你們每一個都是神的夢想成真
[00:02:39.000 --> 00:02:41.000]  Cause God placed this dream in our heart
[00:02:41.000 --> 00:02:45.000]  The planted church with an English and a Cantonese service
[00:02:45.000 --> 00:02:47.000]  神將一個夢想放在我們裡面
[00:02:47.000 --> 00:02:50.000]  要去藉一間相遇的教會
[00:02:50.000 --> 00:02:53.000]  And it's amazing to see it happen
[00:02:53.000 --> 00:02:55.000]  現在可以見到這件事終於發生
[00:02:55.000 --> 00:02:57.000]  真是非常之驚歎令我們
[00:02:57.000 --> 00:02:59.000]  So you are God's dream come true
[00:02:59.000 --> 00:03:02.000]  你們每一個都是神的夢想在這裡成真
[00:03:02.000 --> 00:03:07.000]  Now as we stand at the beginning of 2024 as Divine in Long
[00:03:07.000 --> 00:03:09.000]  當我們作為元朗的葡萄藤教會
[00:03:09.000 --> 00:03:12.000]  來到站立在2024年開始的時候
[00:03:13.000 --> 00:03:16.000]  We want to take some time and look back at last year
[00:03:16.000 --> 00:03:19.000]  我們想花點時間去看一看去年
[00:03:19.000 --> 00:03:21.000]  In order for us to move forward
[00:03:21.000 --> 00:03:23.000]  以致我們可以繼續向前
[00:03:23.000 --> 00:03:25.000]  What God has for us in 2024
[00:03:25.000 --> 00:03:30.000]  去知道神有什麼已經為我們預備了去經歷在2024年
[00:03:30.000 --> 00:03:34.000]  God has been incredible and faithful and so good to us
[00:03:34.000 --> 00:03:37.000]  神是非常非常信實和對我們很好
[00:03:37.000 --> 00:03:40.000]  So I want to share with you some highlights from last year
