
[00:00:00.000 --> 00:00:00.840]   - So good.
[00:00:00.840 --> 00:00:03.040]   I'm, my name's Andrew.
[00:00:03.040 --> 00:00:04.760]   I'm one of the pastors here at the Vine.
[00:00:04.760 --> 00:00:06.960]   And if you're relatively new to the church,
[00:00:06.960 --> 00:00:09.680]   we're packed in here today with Overflow as well.
[00:00:09.680 --> 00:00:11.640]   Hey to everybody who's in the Overflow.
[00:00:11.640 --> 00:00:13.480]   We're so glad you're a part of our community.
[00:00:13.480 --> 00:00:15.640]   Everybody joining us online.
[00:00:15.640 --> 00:00:19.840]   My uncle and aunt actually are joining online here today.
[00:00:19.840 --> 00:00:23.560]   So it's great to have Pam and Ken with us as well.
[00:00:23.560 --> 00:00:27.960]   As I step into the pulpit here this morning,
[00:00:27.960 --> 00:00:32.960]   I do so really sensing the importance and the weight
[00:00:32.960 --> 00:00:35.960]   of the time of history that I think we're in right now.
[00:00:35.960 --> 00:00:40.360]   And in particular, the importance of our faith,
[00:00:40.360 --> 00:00:44.760]   our belief in Jesus to actually really mean something
[00:00:44.760 --> 00:00:45.960]   in the world right now.
[00:00:45.960 --> 00:00:48.160]   'Cause I don't know about you,
[00:00:48.160 --> 00:00:51.840]   but I think the world is in a really ugly place right now.
[00:00:51.840 --> 00:00:53.600]   Anyone else sensing this?
[00:00:53.600 --> 00:00:55.640]   I think we can see if we're looking at the news
[00:00:55.640 --> 00:00:58.200]   and our social media feeds,
[00:00:58.200 --> 00:01:00.760]   it's really easy for us to see that the world
[00:01:00.760 --> 00:01:03.600]   is more volatile than it's ever been before.
[00:01:03.600 --> 00:01:05.480]   I would say the world is more violent
[00:01:05.480 --> 00:01:07.520]   than it's been for a long time.
[00:01:07.520 --> 00:01:08.800]   The world is more divided.
[00:01:08.800 --> 00:01:10.480]   There is more hatred.
[00:01:10.480 --> 00:01:12.240]   There are more challenges.
[00:01:12.240 --> 00:01:13.640]   I don't know about you, but it's like for me,
[00:01:13.640 --> 00:01:14.880]   when I'm waking up in the morning,
[00:01:14.880 --> 00:01:18.760]   I have to take a big deep breath before I open my phone,
[00:01:18.760 --> 00:01:20.600]   before I jump on my social media feed
[00:01:20.600 --> 00:01:21.920]   and take a look at the news.
[00:01:21.920 --> 00:01:24.760]   'Cause I'm wondering what is it gonna be today?
[00:01:24.760 --> 00:01:26.440]   Anyone else feel that way at the moment?
[00:01:26.440 --> 00:01:28.360]   Like what's the next shooting gonna be?
[00:01:28.360 --> 00:01:30.800]   What's the next terrorist act going to be?
[00:01:30.800 --> 00:01:33.040]   What's the next stupid thing
[00:01:33.040 --> 00:01:35.480]   that some leader of some government's gonna say?
[00:01:35.480 --> 00:01:38.200]   And when we kind of sit in this,
[00:01:38.200 --> 00:01:40.400]   we realise that it's not just one city
[00:01:40.400 --> 00:01:42.440]   or one country or one culture.
[00:01:42.440 --> 00:01:44.480]   This is kind of a global thing
[00:01:44.480 --> 00:01:46.280]   that is happening at the moment.
[00:01:46.280 --> 00:01:50.600]   And this should deeply challenge us as Christians.
[00:01:50.600 --> 00:01:53.640]   In fact, when we're living in a time
[00:01:53.640 --> 00:01:55.560]   like we're experiencing right now,
[00:01:55.560 --> 00:01:58.160]   where it really does feel like the world
[00:01:58.160 --> 00:02:02.520]   is in a super difficult, challenging, dark and ugly place,
[00:02:02.520 --> 00:02:07.520]   I think it asks of Christians a very specific question.
[00:02:07.520 --> 00:02:11.160]   A question to which the answer
[00:02:11.160 --> 00:02:14.720]   will not only shape the future of the church itself,
[00:02:14.720 --> 00:02:19.240]   but actually shape the future of the world itself.
[00:02:19.240 --> 00:02:20.600]   And here's that question.
[00:02:22.080 --> 00:02:25.200]   What should we do as Christians
[00:02:25.200 --> 00:02:28.480]   when the world has gone crazy?
