
[00:00:00.000 --> 00:00:03.000]  所以我回到家後覺得,這裡的人好像不同了
[00:00:03.000 --> 00:00:05.000]  Wing換了一副眼鏡回來看到
[00:00:05.000 --> 00:00:08.000]  之後的事情不同了,兩三個星期
[00:00:08.000 --> 00:00:13.000]  我家人明天晚上才回來,他們現在還在新加坡
[00:00:13.000 --> 00:00:18.000]  我自己早了,我回來了一個多星期
[00:00:18.000 --> 00:00:20.000]  去了兩個營地
[00:00:20.000 --> 00:00:23.000]  你見我的聲音都有點沙沙的
[00:00:23.000 --> 00:00:27.000]  還有,因為很久沒見家人了
[00:00:27.000 --> 00:00:30.000]  這些叫做茶飯不思,飯都吃不下
[00:00:30.000 --> 00:00:32.000]  真的很久沒吃過飯了
[00:00:32.000 --> 00:00:34.000]  因為生童生育很久了
[00:00:34.000 --> 00:00:38.000]  Anyway,很開心回來見到大家
[00:00:38.000 --> 00:00:46.000]  這段時間,這個多月都有機會在不同的地方
[00:00:46.000 --> 00:00:48.000]  跟不同的群體分享
[00:00:48.000 --> 00:00:51.000]  每一次我出去分享的時候
[00:00:51.000 --> 00:00:57.000]  有一個感覺就是,我都挺享受在這裡
[00:00:57.000 --> 00:00:59.000]  挺享受跟大家在一起
[00:00:59.000 --> 00:01:04.000]  有這個時間可以面對面跟你們分享
[00:01:04.000 --> 00:01:07.000]  我覺得好像很老套,很肉麻
[00:01:07.000 --> 00:01:11.000]  但我覺得在自己家裡是最好的
[00:01:11.000 --> 00:01:15.000]  很久沒吃飯,很久沒吃Cups
[00:01:15.000 --> 00:01:20.000]  但都有吃東西,有做運動
[00:01:20.000 --> 00:01:24.000]  但現在去吃東西會比較難
[00:01:24.000 --> 00:01:29.000]  去一間餐廳,通常要看看有什麼可以吃
[00:01:29.000 --> 00:01:32.000]  譬如,我們香港人很喜歡去Cafe
[00:01:32.000 --> 00:01:37.000]  Cafe有很多東西,不是有飯就有麵就有麵包
[00:01:37.000 --> 00:01:40.000]  很多時候都不能吃,叫個All Day Breakfast
[00:01:40.000 --> 00:01:42.000]  都會剩下一些東西不吃
[00:01:42.000 --> 00:01:44.000]  現在我出去都會吃All Day Breakfast
[00:01:44.000 --> 00:01:46.000]  除了薯餅不能吃
[00:01:46.000 --> 00:01:49.000]  另一樣不能吃的就是螢幕上的這個東西
[00:01:49.000 --> 00:01:52.000]  我們叫做Sourdough,即是一塊酸麵包
[00:01:52.000 --> 00:01:55.000]  有沒有人喜歡吃這些麵包?
