
[00:00:00.000 --> 00:00:01.480]  大家好,我叫June
[00:00:01.480 --> 00:00:04.920]  我在這裡做童工之前
[00:00:04.920 --> 00:00:07.800]  其實我是一位小學老師
[00:00:07.800 --> 00:00:10.040]  除了教英文課外
[00:00:10.040 --> 00:00:12.720]  我還教了一科叫Language Arts
[00:00:12.720 --> 00:00:15.440]  Language Arts是一門很有趣的科目
[00:00:15.440 --> 00:00:17.280]  透過故事的形式
[00:00:17.280 --> 00:00:21.040]  與小朋友一起探索不同的價值觀
[00:00:21.040 --> 00:00:23.800]  以及各種的好品行
[00:00:23.800 --> 00:00:26.280]  我記得有一次我講一個故事
[00:00:26.280 --> 00:00:27.840]  叫做納尼亞的故事
[00:00:27.840 --> 00:00:30.880]  有沒有人聽過納尼亞的故事
[00:00:30.880 --> 00:00:34.480]  她有一個角色叫做Edmund
[00:00:34.480 --> 00:00:35.720]  在戰亂的時候
[00:00:35.720 --> 00:00:39.600]  媽媽把Edmund和他的兄弟姐妹送到郊外
[00:00:39.600 --> 00:00:41.720]  因為要躲避戰爭
[00:00:41.720 --> 00:00:44.720]  他們在一間很大的房子裡生活
[00:00:44.720 --> 00:00:46.120]  有一天誤打誤撞
[00:00:46.120 --> 00:00:50.160]  Edmund和他的兄弟姐妹一起去了魔境
[00:00:50.160 --> 00:00:51.760]  他們很懼怕
[00:00:51.760 --> 00:00:57.200]  Edmund在當中遇見了一個很邪惡的女巫
[00:00:57.200 --> 00:00:59.680]  Edmund竟然為了幾顆糖
[00:00:59.680 --> 00:01:01.560]  出賣了自己的兄弟姐妹
[00:01:01.560 --> 00:01:04.760]  讓所有善良的角色陷入困境
[00:01:04.760 --> 00:01:09.440]  當時大獅子去拯救Edmund
[00:01:09.440 --> 00:01:15.080]  於是角色、兄弟姐妹、動物都覺得
[00:01:15.080 --> 00:01:17.000]  「真是太好了,我們救了Edmund回來」
[00:01:17.000 --> 00:01:18.600]  「但Edmund出賣我們」
[00:01:18.600 --> 00:01:21.040]  「他應該要受到懲罰的」
[00:01:21.040 --> 00:01:25.360]  本來大家都覺得獅子應該要懲罰Edmund的時候
[00:01:25.360 --> 00:01:28.520]  大獅子Aslan就對大家說
[00:01:28.520 --> 00:01:32.200]  「大家不可以罵他,我也不會去罵他」
[00:01:32.200 --> 00:01:33.960]  故事說到這裡
[00:01:33.960 --> 00:01:36.440]  小朋友就覺得很不服氣
[00:01:36.440 --> 00:01:39.440]  「很不公平,明明是他做錯的」
[00:01:39.440 --> 00:01:41.440]  「為什麼他不會受罰?」
[00:01:41.440 --> 00:01:43.720]  「究竟怎樣可以饒恕他?」
[00:01:43.720 --> 00:01:46.920]  「為什麼我們可以原諒他,他出賣我們?」
[00:01:46.920 --> 00:01:49.440]  當小朋友的情緒開始高漲的時候
[00:01:49.440 --> 00:01:52.120]  我們就一直在討論什麼叫原諒
[00:01:52.120 --> 00:01:53.840]  什麼叫寬恕
[00:01:53.840 --> 00:01:56.520]  什麼叫我們一起去同行
[00:01:56.520 --> 00:01:59.160]  這不是一間基督教學校
[00:01:59.160 --> 00:02:00.680]  但透過故事
[00:02:00.680 --> 00:02:05.000]  透過小朋友探索故事內容的角色和他們的選擇
[00:02:05.000 --> 00:02:08.760]  我們一起去探索這些角色的可能性
[00:02:08.760 --> 00:02:11.400]  我們去探索什麼叫真正的寬恕
[00:02:11.400 --> 00:02:13.880]  什麼叫公平
[00:02:13.880 --> 00:02:15.400]  什麼叫愛
[00:02:15.400 --> 00:02:16.880]  所以可以看到
[00:02:16.880 --> 00:02:20.400]  講故事不只是娛樂那麼簡單
[00:02:20.400 --> 00:02:22.120]  故事精彩之處
[00:02:22.120 --> 00:02:27.120]  就是讓人不由自主地將自己放在故事的世界裡
[00:02:27.120 --> 00:02:30.400]  你會跟故事的角色一起去氣憤
[00:02:30.400 --> 00:02:32.680]  角色遭逢不幸的時候
[00:02:32.680 --> 00:02:34.680]  你會跟他一起落淚
