
[00:00:00.000 --> 00:00:01.320]   Francesca, awesome.
[00:00:01.320 --> 00:00:04.560]   You know, I can't say yes 'cause I have two daughters,
[00:00:04.560 --> 00:00:05.760]   so I'm trained.
[00:00:05.760 --> 00:00:07.960]   You know, you must say yeah, I love them equally.
[00:00:07.960 --> 00:00:12.960]   Anyway, so, hi, hi sweetheart.
[00:00:12.960 --> 00:00:15.800]   So I'm gonna put a word on the screen right now,
[00:00:15.800 --> 00:00:18.080]   and can you tell me what it means?
[00:00:18.080 --> 00:00:21.240]   All right, so, wait, wait, wait, hold on, hold on, hold on.
[00:00:21.240 --> 00:00:25.160]   So how many of you think it means this?
[00:00:25.160 --> 00:00:27.400]   Right, okay, some of you, some of you.
[00:00:27.400 --> 00:00:28.320]   You know what?
[00:00:28.320 --> 00:00:31.800]   By putting up your hand, you actually just revealed
[00:00:31.800 --> 00:00:33.960]   your age. (laughs)
[00:00:33.960 --> 00:00:37.320]   I actually learned this word about a year ago
[00:00:37.320 --> 00:00:40.160]   from Benedict and Justin.
[00:00:40.160 --> 00:00:42.760]   (audience applauds)
[00:00:42.760 --> 00:00:43.600]   In case you don't know,
[00:00:43.600 --> 00:00:46.160]   they are our core team leaders at the church.
[00:00:46.160 --> 00:00:48.040]   They've been serving ever since the beginning
[00:00:48.040 --> 00:00:53.040]   of this church plan, and they just happen to be Gen Z-ish.
[00:00:53.040 --> 00:00:55.560]   Ish?
[00:00:55.560 --> 00:00:57.080]   You know he's not, okay, he's not, okay.
[00:00:57.080 --> 00:00:58.920]   So ish, ish.
[00:00:58.920 --> 00:01:02.320]   So yes, you may refer to a cap
[00:01:02.320 --> 00:01:04.480]   as whatever I was wearing on my head,
[00:01:04.480 --> 00:01:09.480]   but let me give you a definition of Gen Z cap.
[00:01:09.480 --> 00:01:10.840]   Cap is Gen Z slang.
[00:01:10.840 --> 00:01:13.680]   That means lying, you know, or it's forced.
[00:01:13.680 --> 00:01:17.080]   And so when someone is lying, they are capping.
[00:01:17.080 --> 00:01:20.320]   And so that's why when they wanna tell you I'm not lying,
[00:01:20.320 --> 00:01:22.040]   whatever I'm saying is absolute truth,
[00:01:22.040 --> 00:01:24.520]   they will say no caps.
[00:01:24.520 --> 00:01:27.040]   Say I just taught you guys some Gen Z slang, right?
[00:01:27.040 --> 00:01:29.000]   You're following, all right?
[00:01:29.000 --> 00:01:30.000]   Now there are more.
[00:01:30.000 --> 00:01:31.200]   I'm gonna put some more on the screen.
[00:01:31.200 --> 00:01:33.320]   I was scrolling on Instagram the other day,
[00:01:33.320 --> 00:01:37.200]   and I chanced upon this, and I immediately saved this.
[00:01:37.200 --> 00:01:42.160]   'Cause I'm like, next time I'm talking to Gen Z or Gen Alpha,
[00:01:42.160 --> 00:01:44.840]   or next time when my daughter comes home from school,
[00:01:44.840 --> 00:01:48.140]   and she started like saying things I don't understand,
[00:01:48.140 --> 00:01:49.760]   I just better educate myself.
[00:01:49.760 --> 00:01:51.680]   So for example, it's time to eat.
[00:01:51.680 --> 00:01:53.120]   That's what we millennials say.
[00:01:53.120 --> 00:01:54.240]   It's time to eat.
[00:01:54.240 --> 00:01:56.600]   And Gen Z would say it's time to feast.
[00:01:56.600 --> 00:02:00.040]   And I don't even know what this is, basically.
[00:02:00.040 --> 00:02:05.800]   I'm exhausted, I'm so drained, my energy is Ohio.
[00:02:05.800 --> 00:02:07.560]   Like, what's that?
[00:02:07.560 --> 00:02:11.960]   Anyway, so what I want to say is,
[00:02:11.960 --> 00:02:15.800]   guys, generation gap, it's real.
[00:02:15.800 --> 00:02:17.840]   Can I get an amen for that?
[00:02:17.840 --> 00:02:19.200]   Amen?
[00:02:19.200 --> 00:02:22.480]   But I don't know if you've ever thought about
[00:02:22.480 --> 00:02:25.040]   why would there be generational gaps?
[00:02:25.040 --> 00:02:27.520]   Have you ever thought about that?
[00:02:27.520 --> 00:02:31.880]   This is indeed one of the questions that sociologists,
[00:02:31.880 --> 00:02:33.960]   anthropologists, cultural scholars,
[00:02:33.960 --> 00:02:36.760]   they all devote time to look into.
[00:02:36.760 --> 00:02:39.700]   And so I'm just gonna put a definition by sociologists,
[00:02:39.700 --> 00:02:42.160]   what they think about generational gap.
[00:02:42.160 --> 00:02:45.300]   They think it is a divergence in beliefs and outlooks
[00:02:45.300 --> 00:02:48.900]   between age cohorts, often leading to misunderstandings
[00:02:48.900 --> 00:02:52.000]   or conflicts between younger and older generation.
[00:02:52.000 --> 00:02:55.680]   This gap is influenced by rapid social change,
[00:02:55.680 --> 00:02:59.960]   technological advancement, and shifting cultural norms,
[00:02:59.960 --> 00:03:02.800]   which cause younger generations to adopt new values
[00:03:02.800 --> 00:03:06.560]   and behaviors that older generations may find unfamiliar
[00:03:06.560 --> 00:03:08.220]   or difficult to accept.
[00:03:08.220 --> 00:03:09.520]   Let me give you an example.
[00:03:09.520 --> 00:03:13.040]   On IG, I don't know why these videos keep popping up,
[00:03:13.040 --> 00:03:15.600]   but there will be two guys, actually the same guy,
[00:03:15.600 --> 00:03:17.520]   but he filmed two version of himself.
[00:03:17.520 --> 00:03:19.080]   He'll stand like side by side,
[00:03:19.080 --> 00:03:20.920]   and this guy would say he's a millennial,
[00:03:20.920 --> 00:03:22.240]   this guy is a Gen Z,
[00:03:22.240 --> 00:03:24.120]   and they start putting outfit on themselves,
[00:03:24.120 --> 00:03:26.440]   and a millennial would dress up like me,
[00:03:26.440 --> 00:03:29.440]   like skinny jeans, and everything has to be tight,
[00:03:29.440 --> 00:03:32.440]   unless you're like me, growing in your body size,
[00:03:32.440 --> 00:03:34.000]   you can't wear something too tight.
[00:03:34.000 --> 00:03:35.980]   But whatever the Gen Z is doing,
[00:03:35.980 --> 00:03:38.740]   they wear something super loose,
[00:03:38.740 --> 00:03:40.240]   and if you wanna know how that looks,
[00:03:40.240 --> 00:03:42.200]   you can look at Pastor Ivan at the back there.
[00:03:42.200 --> 00:03:43.440]   (audience laughing)
[00:03:43.440 --> 00:03:47.320]   That's how Gen Z would dress like.
[00:03:47.320 --> 00:03:48.400]   He's young, right?
[00:03:48.400 --> 00:03:49.520]   He dress young.
[00:03:50.680 --> 00:03:53.080]   Anyway, but for my generation,
[00:03:53.080 --> 00:03:55.720]   we thought, oh, we don't like that kind of fashion.
[00:03:55.720 --> 00:03:58.840]   Like that's ill, like we like this.
[00:03:58.840 --> 00:04:01.800]   So there are things that the older generation cannot accept.
[00:04:01.800 --> 00:04:03.600]   They thought, that's not good, that's no good.
[00:04:03.600 --> 00:04:06.600]   That's not nice, that's not beauty,
[00:04:06.600 --> 00:04:07.900]   that's not aesthetics,
