
[00:00:00.000 --> 00:00:01.440]   Jesus' name, amen.
[00:00:01.440 --> 00:00:02.920]   - Amen, let's hear it for Carla.
[00:00:02.920 --> 00:00:03.840]   Thank you, Carla.
[00:00:03.840 --> 00:00:06.800]   (congregation applauding)
[00:00:06.800 --> 00:00:08.040]   Well, good morning, everybody.
[00:00:08.040 --> 00:00:13.040]   It's so good to be back here preaching at the Vine.
[00:00:13.040 --> 00:00:17.080]   I think you may be aware
[00:00:17.080 --> 00:00:21.520]   that this is my favorite pulpit in the whole world.
[00:00:21.520 --> 00:00:23.360]   I mean, not this piece of metal
[00:00:23.360 --> 00:00:27.600]   with a plastic on top for my iPad, nice as it is,
[00:00:27.600 --> 00:00:31.600]   but this is my home church, and as the phrase says,
[00:00:31.600 --> 00:00:34.360]   there is no place like home.
[00:00:34.360 --> 00:00:39.020]   But there's an even more unique reason
[00:00:39.020 --> 00:00:40.660]   why today is special.
[00:00:40.660 --> 00:00:46.000]   Yesterday was my golden wedding anniversary.
[00:00:46.000 --> 00:00:47.700]   (congregation applauding)
[00:00:47.700 --> 00:00:48.540]   Yeah.
[00:00:48.540 --> 00:00:55.680]   Yes, Sandra and I have been married for 50 years.
[00:00:56.920 --> 00:01:00.240]   Actually, 50 years and one day.
[00:01:00.240 --> 00:01:04.600]   I know Sandra deserves a medal.
[00:01:04.600 --> 00:01:07.080]   Go on, say it now, get it over with.
[00:01:07.080 --> 00:01:12.960]   But remarkably, today's passage in our Ephesian series
[00:01:12.960 --> 00:01:17.400]   is all about unity in relationships.
[00:01:17.400 --> 00:01:21.260]   It looks like we planned this all along.
[00:01:21.260 --> 00:01:25.320]   Today, I'll be looking at relations
[00:01:25.320 --> 00:01:27.360]   between husbands and wives,
[00:01:27.360 --> 00:01:29.060]   and obviously, you'll understand
[00:01:29.060 --> 00:01:31.980]   why I will concentrate on that rather a lot.
[00:01:31.980 --> 00:01:37.000]   I will look at relationships between children and parents
[00:01:37.000 --> 00:01:39.240]   and between slaves and masters.
[00:01:39.240 --> 00:01:42.480]   But to get us going,
[00:01:42.480 --> 00:01:45.960]   I wanna talk about airport conveyor belts.
[00:01:45.960 --> 00:01:51.840]   Now, those of you that follow us on social media will know,
[00:01:51.840 --> 00:01:54.360]   Sandra and I love travel.
[00:01:55.320 --> 00:01:58.180]   But one thing always mystifies me.
[00:01:58.180 --> 00:02:04.120]   Why does it always take so long for our luggage to arrive?
[00:02:04.120 --> 00:02:08.440]   Everyone else's seems to get priority,
[00:02:08.440 --> 00:02:12.280]   even the times when we have priority label on ours.
[00:02:12.280 --> 00:02:17.460]   We wait with bated breath,
[00:02:17.460 --> 00:02:21.500]   looking for ours to come up into the belt.
[00:02:23.160 --> 00:02:28.160]   But have you noticed, all cases these days look the same.
[00:02:28.160 --> 00:02:34.260]   So a few years ago, we started a habit
[00:02:34.260 --> 00:02:38.240]   of tying a red ribbon around our case
[00:02:38.240 --> 00:02:39.960]   to help us recognize it.
[00:02:39.960 --> 00:02:46.440]   As an aside, we were at Heathrow Airport a few Decembers ago
[00:02:46.440 --> 00:02:51.400]   and were pleasantly surprised to see our case,
[00:02:51.400 --> 00:02:53.800]   complete with red ribbons,
[00:02:53.800 --> 00:02:57.080]   coming off the conveyor belt early.
[00:02:57.080 --> 00:02:58.600]   Hallelujah, we said,
[00:02:58.600 --> 00:03:02.560]   feeling rather pleased with ourselves.
[00:03:02.560 --> 00:03:03.880]   We went through customs
[00:03:03.880 --> 00:03:07.920]   and we're in Heathrow Terminal 3
[00:03:07.920 --> 00:03:13.660]   only to discover we had the wrong case.
[00:03:13.660 --> 00:03:19.880]   Someone else had had the same idea.
[00:03:20.840 --> 00:03:25.120]   Not only was their case pretty much identical to ours,
[00:03:25.120 --> 00:03:29.440]   but I kid you not, it had the same red ribbons.
[00:03:29.440 --> 00:03:35.920]   Embarrassed, one hasty, red-faced U-turn later,
[00:03:35.920 --> 00:03:40.440]   we found the real owners.
