
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:00:02.000 --> 00:00:09.000]   "Swing Low," written by Wallace Willis in the late 1800s,
[00:00:09.000 --> 00:00:14.000]   made more popular in the 1900s by a group of African-American singers
[00:00:14.000 --> 00:00:17.000]   called the Fisk Jubilee Singers.
[00:00:17.000 --> 00:00:20.000]   This song has been around for a while in its transcended genre.
[00:00:20.000 --> 00:00:25.000]   It's been sung by Dolly Parton, it's been sung by Johnny Cash,
[00:00:25.000 --> 00:00:27.000]   it's been sung by the Beatles,
[00:00:27.000 --> 00:00:32.000]   it's been sung by Johnny Cash, it's been sung by Alicia Keys.
[00:00:32.000 --> 00:00:36.000]   And the reason people sing this song is because of the themes in the song.
[00:00:36.000 --> 00:00:38.000]   The song is a bit of a retelling,
[00:00:38.000 --> 00:00:41.000]   emphasizing on certain parts of the story of Elijah.
[00:00:41.000 --> 00:00:45.000]   Now, Elijah is my personal favorite Bible character.
[00:00:45.000 --> 00:00:49.000]   I've named my son Elias after him.
[00:00:49.000 --> 00:00:55.000]   The story of Elijah is of a prophet who is taken from Earth.
[00:00:55.000 --> 00:01:01.000]   And the chariot swings low and carries him to Heaven.
[00:01:01.000 --> 00:01:04.000]   Themes of hope.
[00:01:04.000 --> 00:01:06.000]   That's why this song was sung.
[00:01:06.000 --> 00:01:10.000]   But see, the singers of this song, African-American slaves,
[00:01:10.000 --> 00:01:12.000]   actually sung it for multiple reasons.
[00:01:12.000 --> 00:01:15.000]   One of the other reasons was that it was a bit of a code,
[00:01:15.000 --> 00:01:16.000]   it was hidden language.
[00:01:16.000 --> 00:01:20.000]   See, the idea of "Swinging Low" was a reference to the fact that Harriet Tubman,
[00:01:20.000 --> 00:01:25.000]   a woman who was known for helping slaves escape the South
[00:01:25.000 --> 00:01:29.000]   via the Underground Railroad, would be close.
[00:01:29.000 --> 00:01:32.000]   And so African-American slaves would sing this
[00:01:32.000 --> 00:01:35.000]   as a way of communicating to one another
[00:01:35.000 --> 00:01:39.000]   without letting their oppressors know
[00:01:39.000 --> 00:01:45.000]   that there was a chance that they could escape to rest that very night.
[00:01:45.000 --> 00:01:53.000]   "Swing low, sweet chariot, coming for to carry me home."
[00:01:53.000 --> 00:01:56.000]   You can see that this song is pretty weighty.
[00:01:56.000 --> 00:02:01.000]   It's pretty powerful lyrics, both to the singer and to those listening.
[00:02:01.000 --> 00:02:06.000]   A song speaking of hope, of a future peace, of a future rest for people.
[00:02:06.000 --> 00:02:08.000]   "Coming for to carry me home."
[00:02:08.000 --> 00:02:13.000]   In these lyrics, home is not just the place you go to rest, to sleep,
[00:02:13.000 --> 00:02:15.000]   to lay your head down.
[00:02:15.000 --> 00:02:19.000]   No, home is a place that is providing you freedom from conflict,
[00:02:19.000 --> 00:02:24.000]   freedom from oppression, freedom from death and pain.
[00:02:24.000 --> 00:02:27.000]   It's a place of actual rest.
[00:02:27.000 --> 00:02:34.000]   See, this is a song that was sung by people done wrong, but unbroken,
[00:02:34.000 --> 00:02:39.000]   by the land they lived in, weary from the oppression of their circumstances,
[00:02:39.000 --> 00:02:45.000]   but still pointing their hope towards a future rest from their oppressors,
[00:02:45.000 --> 00:02:51.000]   towards a future restoration of their dignity.
[00:02:51.000 --> 00:02:55.000]   This was a song of rest for the restless,
[00:02:55.000 --> 00:03:02.000]   a song for all of those who were truly weary.
[00:03:02.000 --> 00:03:06.000]   The second song we look at over this Advent series
[00:03:06.000 --> 00:03:10.000]   comes from a guy who sings it, but ironically enough,
[00:03:10.000 --> 00:03:14.000]   a few seconds before, it had been mute for a long time.
[00:03:14.000 --> 00:03:16.000]   He's a well-educated man.
[00:03:16.000 --> 00:03:20.000]   He's grown up knowing the Scriptures extensively.
[00:03:20.000 --> 00:03:23.000]   An older man who's been serving God his whole life,
[00:03:23.000 --> 00:03:27.000]   which would mean that he would have witnessed the deterioration of his homeland
[00:03:27.000 --> 00:03:31.000]   while waiting for God to fulfill a promise.
[00:03:31.000 --> 00:03:33.000]   He's a man of God from the tribe of Levi.
[00:03:33.000 --> 00:03:39.000]   He's a priest wrestling with the tensions of seeing his people suffer for so long.
[00:03:39.000 --> 00:03:43.000]   He would have known the promises that one day a Messiah would come and rescue them,
[00:03:43.000 --> 00:03:46.000]   but he hadn't seen it yet.
[00:03:46.000 --> 00:03:49.000]   This man was Zechariah, the priest.
[00:03:49.000 --> 00:03:53.000]   See, Zechariah wasn't a marginalized individual.
[00:03:53.000 --> 00:03:57.000]   He wasn't on the outskirts of society.
[00:03:57.000 --> 00:04:03.000]   He would have been someone that would have been seen as a bit more of a prestigious fellow,
[00:04:03.000 --> 00:04:05.000]   had a sense of honor,
[00:04:05.000 --> 00:04:10.000]   but yet he too felt the same oppression that people like Mary
[00:04:10.000 --> 00:04:17.000]   that we talked about last week would have been feeling and singing about.
[00:04:17.000 --> 00:04:25.000]   The first story we get of Zechariah is of him doubting the Word of God,
[00:04:25.000 --> 00:04:27.000]   which is odd because I guess when I think about it,
[00:04:27.000 --> 00:04:29.000]   Zechariah is a priest.
