
[00:00:00.000 --> 00:00:03.000]   No one likes waiting.
[00:00:03.000 --> 00:00:09.400]   I was in the MTR last week at Thim Sa Chui.
[00:00:09.400 --> 00:00:14.800]   I ran down the escalator to get my train to Central.
[00:00:14.800 --> 00:00:22.000]   I couldn't believe my eyes when I saw the platform sign.
[00:00:22.000 --> 00:00:26.400]   The train will arrive
[00:00:29.600 --> 00:00:31.600]   in four minutes.
[00:00:31.600 --> 00:00:34.400]   Aiyah!
[00:00:34.400 --> 00:00:38.400]   Four minutes!
[00:00:38.400 --> 00:00:48.600]   But what about the 400 silent years?
[00:00:48.600 --> 00:00:55.400]   The time between the last writings of the Old Testament
[00:00:56.000 --> 00:01:02.400]   and the appearance of Christ is known as the Intertestamental Period
[00:01:02.400 --> 00:01:05.400]   or Between the Testaments.
[00:01:05.400 --> 00:01:11.400]   It lasted from the prophet Malachi about 400 BC
[00:01:11.400 --> 00:01:15.400]   to the ministry of John the Baptist
[00:01:15.400 --> 00:01:22.400]   whose birth we look forward to today as we kick off our Advent series, Surprising Joy.
[00:01:24.800 --> 00:01:33.400]   Because there was no prophetic word from God during the period from Malachi to John,
[00:01:33.400 --> 00:01:39.800]   some refer to it as the 400 silent years.
[00:01:39.800 --> 00:01:49.200]   To set the scene, I want to read a couple of verses from Luke chapter 1.
[00:01:50.000 --> 00:01:57.600]   Verse 13, "But the angel said to him, 'Do not be afraid, Zechariah. Your prayer has been heard.
[00:01:57.600 --> 00:02:06.000]   Your wife Elizabeth will bear you a son, and you are to call him John.'"
[00:02:06.000 --> 00:02:08.000]   Good name, that one.
[00:02:08.000 --> 00:02:12.600]   Verse 63, "Zechariah asked for a writing tablet."
[00:02:12.600 --> 00:02:15.000]   No iPads in those days.
[00:02:15.000 --> 00:02:19.000]   "And to everyone's astonishment, he wrote this.
[00:02:20.000 --> 00:02:23.400]   His name is John."
[00:02:23.400 --> 00:02:26.400]   His name is John.
[00:02:26.400 --> 00:02:30.400]   Now the story of Zechariah and Elizabeth is quite personal to me.
[00:02:30.400 --> 00:02:37.000]   My father was 51 years of old when I was born.
[00:02:37.000 --> 00:02:41.000]   And I was actually his firstborn.
[00:02:41.000 --> 00:02:43.600]   My mom had been widowed.
[00:02:45.000 --> 00:02:50.400]   Could you imagine the excitement of having your first child at that age?
[00:02:50.400 --> 00:02:58.600]   My father's name was John Henry Snellgrove, to be precise.
[00:02:58.600 --> 00:03:11.000]   But I was born on the 23rd of April, which in the UK is known as St. George's Day, our patron saint.
[00:03:12.000 --> 00:03:20.000]   So my mom decided to call me George.
[00:03:20.000 --> 00:03:33.000]   But dad had other ideas and promptly went out to register me, I guess after a celebration drink or three.
[00:03:33.000 --> 00:03:37.000]   You guessed it, he said, "His name is John."
[00:03:38.000 --> 00:03:43.000]   John Henry Snellgrove, Jr. made his entry into the world.
[00:03:43.000 --> 00:03:47.000]   And by the way, no calling me George after the service.
[00:03:47.000 --> 00:03:51.000]   Anyway, let's get back to the sermon.
[00:03:51.000 --> 00:03:58.000]   I think sometimes in church, in our sermons, we are guilty of what I call verse picking.
[00:03:58.000 --> 00:04:03.000]   Reading only verses that suit our sermon story.
[00:04:04.000 --> 00:04:10.000]   But today in our Advent series, and Chapman has already told us about the first coming and the second coming of Jesus,
[00:04:10.000 --> 00:04:13.000]   we ask ourselves three questions.
[00:04:13.000 --> 00:04:18.000]   The first one is this, what does Advent mean?
[00:04:18.000 --> 00:04:20.000]   And the answer is coming.
[00:04:20.000 --> 00:04:23.000]   Who is coming?
[00:04:23.000 --> 00:04:25.000]   Jesus.
[00:04:25.000 --> 00:04:28.000]   What are we to do?
[00:04:28.000 --> 00:04:30.000]   Get ready.
[00:04:31.000 --> 00:04:39.000]   So as part of getting ready, I'm going to read the whole passage, 21 verses in one go.
[00:04:39.000 --> 00:04:45.000]   I'm reading from Luke chapter 1, starting from verse 5.
[00:04:45.000 --> 00:04:52.000]   In the time of Herod, king of Judea, there was a priest named Zechariah,
[00:04:52.000 --> 00:04:57.000]   who belonged to the priestly division of Abijah.
[00:04:58.000 --> 00:05:04.000]   His wife, Elizabeth, was also a descendant of Aaron.
[00:05:04.000 --> 00:05:12.000]   Both of them were righteous in the sight of God, observing all the Lord's commands and decrees blamelessly.
[00:05:12.000 --> 00:05:21.000]   But they were childless, because Elizabeth was not able to conceive.
[00:05:21.000 --> 00:05:25.000]   And they were both very old.
[00:05:26.000 --> 00:05:32.000]   Once, when Zechariah's division was on duty, and he was serving as a priest before God,
[00:05:32.000 --> 00:05:41.000]   he was chosen by Lot, according to the custom of the priesthood, to go into the temple and to burn the incense.
[00:05:41.000 --> 00:05:49.000]   And when the time for the burning of incense came, all the assembled worshippers were praying outside.
[00:05:50.000 --> 00:06:01.000]   Then, I love that word, an angel of the Lord appeared to him, standing at the right side of the altar of incense.
[00:06:01.000 --> 00:06:06.000]   When Zechariah saw him, he was startled and was gripped with fear.
