
[00:00:00.000 --> 00:00:01.000]   - Amen, amen.
[00:00:01.000 --> 00:00:03.200]   Can we thank our worship team as always?
[00:00:03.200 --> 00:00:04.760]   (congregation applauding)
[00:00:04.760 --> 00:00:05.600]   So blessed.
[00:00:05.600 --> 00:00:06.680]   Have a seat, have a seat.
[00:00:06.680 --> 00:00:07.880]   Welcome to the Vine.
[00:00:07.880 --> 00:00:09.680]   Welcome if you're joining us online right now
[00:00:09.680 --> 00:00:11.800]   from wherever you are around the world.
[00:00:11.800 --> 00:00:14.560]   We are so glad that you are here present with us
[00:00:14.560 --> 00:00:16.240]   in this place and in this moment.
[00:00:16.240 --> 00:00:17.960]   And we're grateful for each one of you.
[00:00:17.960 --> 00:00:21.080]   Jump on the chat if you can, and Facebook particularly,
[00:00:21.080 --> 00:00:23.520]   and just let us know where you're from, what you're doing.
[00:00:23.520 --> 00:00:24.360]   Well, hopefully what you're doing
[00:00:24.360 --> 00:00:25.480]   is joining us in the service,
[00:00:25.480 --> 00:00:27.480]   but you can tell us where you're from, that'd be great.
[00:00:27.480 --> 00:00:29.160]   And welcome to everyone in this room.
[00:00:29.160 --> 00:00:30.840]   It's so great to have you guys with us.
[00:00:30.840 --> 00:00:31.920]   If you're new to the Vine,
[00:00:31.920 --> 00:00:33.720]   if this is a relatively new experience for you,
[00:00:33.720 --> 00:00:36.040]   my name's Andrew, I'm one of the pastors.
[00:00:36.040 --> 00:00:38.040]   Maybe you've been invited here by a friend
[00:00:38.040 --> 00:00:40.120]   who's dragged you along.
[00:00:40.120 --> 00:00:41.880]   Maybe you were supposed to go to the Baptist church
[00:00:41.880 --> 00:00:43.080]   next door, but you're here.
[00:00:43.080 --> 00:00:44.440]   That's great.
[00:00:44.440 --> 00:00:45.880]   We're so glad you are.
[00:00:45.880 --> 00:00:49.280]   We're starting a new series today,
[00:00:49.280 --> 00:00:51.440]   a short little four-week punchy series
[00:00:51.440 --> 00:00:53.160]   called "From the Heart."
[00:00:53.160 --> 00:00:55.160]   And there was something that was on my heart
[00:00:55.160 --> 00:00:57.720]   as we came out of our "A Different Spirit" series,
[00:00:57.720 --> 00:01:00.320]   which was a seven-week series we've just finished
[00:01:00.320 --> 00:01:01.600]   on Numbers 13 and 14.
[00:01:01.600 --> 00:01:02.920]   It's all online, you can jump on
[00:01:02.920 --> 00:01:04.840]   and take a look at that if you're new with us.
[00:01:04.840 --> 00:01:07.400]   But we just did this big series looking at
[00:01:07.400 --> 00:01:09.960]   what it is to carry a different spirit in Hong Kong
[00:01:09.960 --> 00:01:11.600]   in this season, in this hour,
[00:01:11.600 --> 00:01:14.000]   what the Holy Spirit might be saying to us as individuals,
[00:01:14.000 --> 00:01:16.160]   as church in the city today.
[00:01:16.160 --> 00:01:17.520]   And that was great.
[00:01:17.520 --> 00:01:18.360]   And we got to the end of that,
[00:01:18.360 --> 00:01:20.000]   and I thought, wouldn't it be wonderful
[00:01:20.000 --> 00:01:22.880]   if we could just hear from some of the senior leaders
[00:01:22.880 --> 00:01:25.920]   in our church, those that have been leaders in the past,
[00:01:25.920 --> 00:01:28.680]   historically with us, some of those that are leaders
[00:01:28.680 --> 00:01:30.160]   with us right in this moment,
[00:01:30.160 --> 00:01:32.000]   and ask them a simple question.
[00:01:32.000 --> 00:01:35.560]   What is on your heart for the vine in this moment,
[00:01:35.560 --> 00:01:37.240]   in this season?
[00:01:37.240 --> 00:01:39.400]   I said to each one of them,
[00:01:39.400 --> 00:01:41.600]   how would you bring expression to this idea
[00:01:41.600 --> 00:01:42.440]   of a different spirit?
[00:01:42.440 --> 00:01:45.240]   What do you think a different spirit means
[00:01:45.240 --> 00:01:46.760]   for the vine in this time, in this hour?
[00:01:46.760 --> 00:01:49.920]   And so this series really is just a series of people
[00:01:49.920 --> 00:01:52.320]   that are gonna come and do that and bring their hearts.
[00:01:52.320 --> 00:01:54.280]   You'll see here the rundown.
[00:01:54.280 --> 00:01:56.600]   I'm gonna speak to you guys today.
[00:01:56.600 --> 00:01:59.640]   We got Tony Reid coming on the 27th of June,
[00:01:59.640 --> 00:02:02.280]   just after World Refugee Day next Sunday.
[00:02:02.280 --> 00:02:05.640]   Then Tony will be with us, one of our founding pastors here.
[00:02:05.640 --> 00:02:07.880]   Sydney Yip, chairman of our eldership
[00:02:07.880 --> 00:02:10.280]   who's sitting over here right now.
[00:02:10.280 --> 00:02:13.040]   Sydney's gonna come and bring a message on the 4th of July,
[00:02:13.040 --> 00:02:15.680]   and on the 11th of July, we'll finish with John,
[00:02:15.680 --> 00:02:18.160]   John Snellgrove, one of our founding pastors as well.
[00:02:18.160 --> 00:02:20.840]   And I know that these men are gonna bring something
[00:02:20.840 --> 00:02:22.240]   in their spirit for you,
[00:02:22.240 --> 00:02:24.080]   and I wanna encourage you right at the start,
[00:02:24.080 --> 00:02:26.080]   just to open yourself up, like we were just seeing.
[00:02:26.080 --> 00:02:27.400]   I am open.
[00:02:27.400 --> 00:02:28.800]   Are we really open to hear
[00:02:28.800 --> 00:02:30.480]   what the Spirit is saying to the church?
[00:02:30.480 --> 00:02:32.600]   And I think over these weeks in this series,
[00:02:32.600 --> 00:02:34.560]   we're gonna hear a little bit about that.
[00:02:34.560 --> 00:02:36.440]   And I'm excited I get to kick it off today
[00:02:36.440 --> 00:02:39.800]   and share with you a message that really has been formating
[00:02:39.800 --> 00:02:42.880]   and kind of bubbling away on my spirit for about a year now.
[00:02:42.880 --> 00:02:43.720]   And I've been wondering,
[00:02:43.720 --> 00:02:44.680]   when am I gonna be able to bring it?
[00:02:44.680 --> 00:02:45.520]   When am I gonna be able to say it?
[00:02:45.520 --> 00:02:46.440]   When is the timing right?
[00:02:46.440 --> 00:02:49.640]   And I think this series is the perfect time for it.
[00:02:49.640 --> 00:02:52.240]   It's a pastoral word for you.
[00:02:52.240 --> 00:02:55.480]   I hope it's an encouraging, inspiring word,
[00:02:55.480 --> 00:02:56.800]   a challenging word perhaps,
[00:02:56.800 --> 00:02:58.880]   but something that I believe will help shape
[00:02:58.880 --> 00:03:03.360]   and grow your relationship with Jesus in this moment.
[00:03:03.360 --> 00:03:06.120]   Because we've been saying throughout the last
[00:03:06.120 --> 00:03:07.440]   sort of eight weeks, nine weeks
[00:03:07.440 --> 00:03:09.560]   that we've been reopened as a church,
[00:03:09.560 --> 00:03:13.120]   we've been saying that it's our time to lean in
[00:03:13.120 --> 00:03:15.920]   to what the Holy Spirit is doing in our lives,
[00:03:15.920 --> 00:03:18.200]   together, personally,
[00:03:18.200 --> 00:03:20.840]   as we see what God wants to do in our city.
[00:03:20.840 --> 00:03:22.440]   And I think this and what I wanna share today
[00:03:22.440 --> 00:03:24.520]   is part of that process for you.
[00:03:24.520 --> 00:03:28.200]   Let me start by just asking us a simple question.
[00:03:28.200 --> 00:03:31.600]   It's this, have you ever been frustrated
[00:03:31.600 --> 00:03:35.560]   that God doesn't seem to be moving fast enough in your life?
[00:03:35.560 --> 00:03:38.120]   You ever been frustrated by that?
[00:03:38.120 --> 00:03:40.360]   Like, it seems like God's on a different timetable
[00:03:40.360 --> 00:03:42.040]   to your timetable.
[00:03:42.040 --> 00:03:44.040]   Like, God hasn't come through with that healing
[00:03:44.040 --> 00:03:45.040]   or that answered prayer,
[00:03:45.040 --> 00:03:49.000]   or he hasn't spoken to you as quickly as you think he should
[00:03:49.000 --> 00:03:51.040]   or as quickly as would be right for you.
[00:03:51.040 --> 00:03:52.760]   Anyone felt that way?
