
[00:00:00.000 --> 00:00:02.560]   >> [INAUDIBLE]
[00:00:02.560 --> 00:00:04.360]   >> Help those that are in the overflow
[00:00:04.360 --> 00:00:05.800]   come and sit down, that's great.
[00:00:05.800 --> 00:00:09.600]   Well, as you know, we're in a new sermon series.
[00:00:09.600 --> 00:00:14.680]   We've started last week with Andrew as he shared on the person of the Holy Spirit.
[00:00:14.680 --> 00:00:18.960]   And we're entering a series of really doing a teaching around who the Holy
[00:00:18.960 --> 00:00:22.200]   Spirit is, and so we're super excited about that.
[00:00:22.200 --> 00:00:26.440]   And it's an honor to have with us today one of our elders.
[00:00:26.440 --> 00:00:30.480]   Our elder has been with the Vine, her family have been part of the Vine for
[00:00:30.480 --> 00:00:31.760]   many, many, many years.
[00:00:31.760 --> 00:00:35.640]   So would you give a very warm Vine welcome for Elder Susanna.
[00:00:35.640 --> 00:00:41.360]   >> [APPLAUSE]
[00:00:41.360 --> 00:00:42.520]   >> And let's pray for Susanna.
[00:00:42.520 --> 00:00:45.800]   Father, we thank you for Susanna and
[00:00:45.800 --> 00:00:49.720]   we thank you for the word that she has prayerfully prepared.
[00:00:49.720 --> 00:00:52.400]   It is a word that she has surrendered to you.
[00:00:52.400 --> 00:00:55.840]   And so we pray for her, we pray your blessing over her.
[00:00:55.840 --> 00:01:01.280]   And we pray for us, that again, we would lean into what you are saying.
[00:01:01.280 --> 00:01:05.520]   And the truth of your word truly sets us free, in Jesus' name.
[00:01:05.520 --> 00:01:12.560]   >> Good morning.
[00:01:12.560 --> 00:01:17.120]   And good morning to all of those who are joining online today.
[00:01:17.120 --> 00:01:24.440]   As Carla just said, we started a new series last week on the Holy Spirit.
[00:01:24.440 --> 00:01:28.240]   And I loved how Andrew focused in on and
[00:01:28.240 --> 00:01:31.640]   reminded us that the Holy Spirit is a person.
[00:01:31.640 --> 00:01:39.840]   And the Holy Spirit is a person whose role, since the very beginning of creation,
[00:01:39.840 --> 00:01:45.560]   has always been to bring order out of disorder.
[00:01:45.560 --> 00:01:52.640]   That beautiful picture in Genesis of the Holy Spirit hovering over the darkness and
[00:01:52.640 --> 00:01:57.200]   the chaos, ready to bring things fully alive.
[00:01:57.200 --> 00:02:04.840]   And now, for those of us who've chosen Jesus, he's at work within us.
[00:02:04.840 --> 00:02:12.240]   The Holy Spirit willing and ready to move us out of darkness,
[00:02:12.240 --> 00:02:17.640]   to shape our chaos into the fullness of what we were intended to be.
[00:02:19.720 --> 00:02:24.160]   Today, we're going to explore the comfort and the conviction of the Holy Spirit.
[00:02:24.160 --> 00:02:31.840]   John 14, verses 16 to 17 says, and I will pray the Father,
[00:02:31.840 --> 00:02:34.680]   and he will give you another helper.
[00:02:34.680 --> 00:02:39.720]   And he may abide with you forever, the spirit of truth,
[00:02:39.720 --> 00:02:46.160]   whom the world cannot receive because it neither sees him nor knows him.
[00:02:46.160 --> 00:02:49.520]   But you know him, for he dwells with you.
[00:02:50.520 --> 00:02:52.480]   And will be in you.
[00:02:52.480 --> 00:02:58.120]   John 14, verse 26 says, but the helper,
[00:02:58.120 --> 00:03:05.600]   the Holy Spirit, whom the Father will send in my name, he will teach you all things.
[00:03:05.600 --> 00:03:10.720]   And bring to your remembrance all things that I said to you.
[00:03:10.720 --> 00:03:19.280]   And then in John 16, verses 7 to 8, it says, nevertheless, I tell you the truth.
[00:03:19.280 --> 00:03:24.760]   It is to your advantage that I go away.
[00:03:24.760 --> 00:03:28.040]   For if I do not go away, the helper will not come to you.
[00:03:28.040 --> 00:03:32.760]   But if I depart, I will send him to you.
[00:03:32.760 --> 00:03:37.400]   And when he has come, he will convict the world of sin,
[00:03:37.400 --> 00:03:40.360]   of righteousness, and of judgment.
[00:03:40.360 --> 00:03:48.120]   All three verses use the word helper to describe the Holy Spirit.
[00:03:49.120 --> 00:03:55.600]   The Greek word is parakletos, which translates as comforter or advocate.
[00:03:55.600 --> 00:04:01.240]   Someone who is called or sent to assist another.
[00:04:01.240 --> 00:04:05.560]   Someone who pleads the cause of another.
[00:04:05.560 --> 00:04:13.160]   Someone who's present to render various beneficial services.
[00:04:15.680 --> 00:04:19.200]   John would later, in 1 John 2, 1,
[00:04:19.200 --> 00:04:24.320]   use the very same word, parakletos, to describe Jesus.
[00:04:24.320 --> 00:04:27.720]   This connection has meaning.
[00:04:27.720 --> 00:04:31.840]   Jesus' words in John 16, 7 to 8,
[00:04:31.840 --> 00:04:37.000]   tell us that Jesus is leaving behind his earthly ministry,
[00:04:37.000 --> 00:04:40.520]   specifically so the Holy Spirit can act.
[00:04:42.840 --> 00:04:46.920]   The Holy Spirit, in a sense, does from the inside,
[00:04:46.920 --> 00:04:52.480]   what Christ was doing from the outside with his disciples.
[00:04:52.480 --> 00:04:56.800]   Teaching, convicting, reminding, comforting, and guiding.
[00:04:56.800 --> 00:05:00.920]   Let's unpack these verses.
[00:05:00.920 --> 00:05:05.240]   Sometimes, if you've been a Christian for a little while,
[00:05:05.240 --> 00:05:09.440]   it's easy to gloss over these verses and
[00:05:09.440 --> 00:05:12.600]   miss the enormity of what is taking place here.
[00:05:13.600 --> 00:05:20.440]   John 14, 16 to 7 teaches us that the Holy Spirit is given to us by the Father.
[00:05:20.440 --> 00:05:24.600]   That he will abide in us forever.
[00:05:24.600 --> 00:05:27.280]   He will dwell with us.
[00:05:27.280 --> 00:05:29.520]   He will be in us.
[00:05:29.520 --> 00:05:36.680]   If you believe in Jesus, if you've recognized your need of his saving love,
[00:05:37.760 --> 00:05:43.760]   and have chosen to give him your life, you have been given the gift
[00:05:43.760 --> 00:05:45.360]   of the Holy Spirit from the Father.
[00:05:45.360 --> 00:05:49.120]   The Holy Spirit is living within you.
[00:05:49.120 --> 00:05:53.120]   And this verse tells us that he will never leave you.
[00:05:53.120 --> 00:05:56.520]   He will abide with you forever.
[00:05:56.520 --> 00:06:02.760]   This Greek word abide, meno, means to remain,
[00:06:03.920 --> 00:06:10.000]   to stay, to continue to exist, and I love this last word.
[00:06:10.000 --> 00:06:12.240]   It means to persist.
[00:06:12.240 --> 00:06:18.480]   I don't know about you, but I'm glad I have someone dwelling with me
[00:06:18.480 --> 00:06:22.320]   who persists with me and doesn't give up on me.
[00:06:22.320 --> 00:06:27.120]   Jesus said, it's to your advantage that I go away.
