
[00:00:00.000 --> 00:00:07.880]   Thank you, Justin.
[00:00:07.880 --> 00:00:09.880]   That was amazing.
[00:00:09.880 --> 00:00:17.040]   It's good to be with you this morning on this little cooler morning.
[00:00:17.040 --> 00:00:23.880]   I am a Hong Konger.
[00:00:23.880 --> 00:00:32.560]   Hong Kong is Sandra and I's adopted home and has been for the last 37 years.
[00:00:32.560 --> 00:00:36.040]   Its people are my family.
[00:00:36.040 --> 00:00:43.580]   My sons, their wives, and five grandchildren are also Hong Kongers.
[00:00:43.580 --> 00:00:51.280]   The grandchildren were all made in Hong Kong, well, to my knowledge anyway.
[00:00:51.280 --> 00:00:55.520]   They were born here, of that I can be sure.
[00:00:55.520 --> 00:00:59.040]   Don't be put off by my face.
[00:00:59.040 --> 00:01:04.440]   Yes, I am a guai lou.
[00:01:04.440 --> 00:01:08.160]   Don't be put off by my lack of Chinese.
[00:01:08.160 --> 00:01:11.560]   I don't speak Cantonese.
[00:01:11.560 --> 00:01:17.960]   Well, to be truthful, I speak a little Cantonese.
[00:01:17.960 --> 00:01:22.840]   I love Hong Kong.
[00:01:22.840 --> 00:01:32.320]   Tim told us last week that it doesn't matter whether we are an expat, a local, a domestic
[00:01:32.320 --> 00:01:37.080]   helper, or an asylum seeker.
[00:01:37.080 --> 00:01:45.480]   It doesn't matter whether we are a street sleeper or we're chairman of HSBC.
[00:01:45.480 --> 00:01:49.120]   This is home.
[00:01:49.120 --> 00:01:54.880]   And Tim used a famous passage in Jeremiah 29 to tell us.
[00:01:54.880 --> 00:02:03.480]   Yes, as he said, it does contain the famous 2911 fridge magnet bookmark photo frame verse.
[00:02:03.480 --> 00:02:10.440]   To seek the peace and prosperity of the city.
[00:02:10.440 --> 00:02:16.520]   He reminded us that this word of God was given to a people in exile.
[00:02:16.520 --> 00:02:28.880]   The Israelites who spent 70 years, yes, 70 years as strangers and aliens in Babylon.
[00:02:28.880 --> 00:02:36.720]   Tim used this to challenge us to become engaged in our city.
[00:02:36.720 --> 00:02:44.640]   But there was no excuse for apathetic disengagement.
[00:02:44.640 --> 00:02:53.720]   But if that was the what, today I want to look at the how.
[00:02:53.720 --> 00:03:00.840]   How can I as an expat, a domestic helper, asylum seeker, street sleeper, or chairman
[00:03:00.840 --> 00:03:10.320]   of HSBC, how can I as a member of Vine, Yuen Long, contribute, contribute to the peace
[00:03:10.320 --> 00:03:14.520]   and prosperity of our city?
[00:03:14.520 --> 00:03:22.680]   You see, whereas in the first message we looked at how we relate to Hong Kong and Yuen Long
[00:03:22.680 --> 00:03:30.600]   from a big picture perspective, this time we want to look in more detail.
[00:03:30.600 --> 00:03:40.000]   What does it actually mean to love the place we're in and to work for its welfare and peace?
[00:03:40.000 --> 00:03:46.920]   More especially, how can we use the church's resources, our faith resources to bring flourishing
[00:03:46.920 --> 00:03:50.080]   to Yuen Long?
[00:03:50.080 --> 00:03:57.080]   How can we use our difference to serve people?
[00:03:57.080 --> 00:04:04.880]   Today we will think about our spheres of influence and how we can contribute to the flourishing
[00:04:04.880 --> 00:04:17.200]   and well-being of Yuen Long and its people so that people will see our good work and
[00:04:17.200 --> 00:04:19.200]   praise God in heaven.
[00:04:19.200 --> 00:04:25.560]   And I'll tell you something.
[00:04:25.560 --> 00:04:28.840]   I'm going to make it simple.
[00:04:28.840 --> 00:04:35.520]   So embarrassingly simple.
[00:04:35.520 --> 00:04:42.200]   To demonstrate, I'm turning to two household items.
[00:04:42.200 --> 00:04:45.800]   They're actually all in this one thing.
[00:04:45.800 --> 00:04:48.040]   How can you talk about salt and light and have it in one thing?
[00:04:48.040 --> 00:04:49.040]   Look at that.
[00:04:49.040 --> 00:04:50.040]   Salt and light.
[00:04:50.040 --> 00:04:51.040]   Press it again.
[00:04:51.040 --> 00:04:59.120]   Yes.
[00:04:59.120 --> 00:05:01.320]   Salt and light.
[00:05:01.320 --> 00:05:07.320]   It's for you, Byron.
[00:05:07.320 --> 00:05:09.320]   Let's look at scripture.
[00:05:09.320 --> 00:05:12.920]   Let's turn to Matthew 5.
[00:05:12.920 --> 00:05:15.720]   Let's start at verse 13.
[00:05:15.720 --> 00:05:16.720]   You.
[00:05:16.720 --> 00:05:17.720]   Yes, you.
[00:05:17.720 --> 00:05:18.720]   You.
[00:05:18.720 --> 00:05:20.820]   Yes, you.
[00:05:20.820 --> 00:05:24.740]   You are the salt of the earth.
[00:05:24.740 --> 00:05:30.780]   But if salt's lost its taste, how shall its saltiness be restored?
[00:05:30.780 --> 00:05:38.540]   It is no longer good for anything except to be thrown out and trampled under people's
[00:05:38.540 --> 00:05:40.800]   feet.
[00:05:40.800 --> 00:05:45.180]   You are the light of the world.
[00:05:45.180 --> 00:05:52.160]   A city set on a hill cannot be hidden, nor do people light a lamp and put it under a
[00:05:52.160 --> 00:05:58.880]   basket but on a stand so it gives light to all the house.
[00:05:58.880 --> 00:06:08.240]   In the same way, let your light shine before others so that they may see your good works
