
[00:00:00.000 --> 00:00:02.000]  謝謝,拍完iPhone
[00:00:02.000 --> 00:00:04.000]  時間過得很快
[00:00:04.000 --> 00:00:08.000]  轉眼間就去到11月
[00:00:08.000 --> 00:00:12.000]  還記得我年初在這裡分享
[00:00:12.000 --> 00:00:14.000]  我每個禮拜要早上五點半起床
[00:00:14.000 --> 00:00:16.000]  回到教會實習
[00:00:16.000 --> 00:00:20.000]  我記得過去很多同學都問我一個問題
[00:00:20.000 --> 00:00:24.000]  就是你這麼早起床回教會實習
[00:00:24.000 --> 00:00:26.000]  那你不是很辛苦嗎
[00:00:26.000 --> 00:00:28.000]  我承認是的
[00:00:28.000 --> 00:00:30.000]  是的,也很辛苦
[00:00:30.000 --> 00:00:32.000]  尤其是當你起床的時候
[00:00:32.000 --> 00:00:35.000]  你發現天空還是黑的
[00:00:35.000 --> 00:00:37.000]  太陽還沒出來的時候
[00:00:37.000 --> 00:00:39.000]  那一刻真的有點宅心
[00:00:39.000 --> 00:00:41.000]  我想多睡一會
[00:00:41.000 --> 00:00:44.000]  但當我每次回到教會
[00:00:44.000 --> 00:00:47.000]  我看到很多很可愛的小朋友
[00:00:47.000 --> 00:00:49.000]  不同的弟兄姊妹的時候
[00:00:49.000 --> 00:00:51.000]  我就覺得就算我早起
[00:00:51.000 --> 00:00:53.000]  這一切都值得
[00:00:53.000 --> 00:00:57.000]  這麼快我的實習已經去到最後一個月
[00:00:57.000 --> 00:01:03.000]  每次回來我都會有種充電重新得力的感覺
[00:01:03.000 --> 00:01:06.000]  除了回教會可以充電
[00:01:06.000 --> 00:01:10.000]  前兩個禮拜我和朋友去了迪士尼玩
[00:01:10.000 --> 00:01:14.000]  其實我平時沒什麼機會去迪士尼樂園玩
[00:01:14.000 --> 00:01:17.000]  所以去到裡面對我來說都是很新奇
[00:01:17.000 --> 00:01:22.000]  我更加是第一次看到夜晚的星光夢境之旅
[00:01:22.000 --> 00:01:26.000]  所以我今天就特地拍了一條片給大家看看
[00:01:26.000 --> 00:01:28.000]  把我的快樂分享給大家
[00:01:28.000 --> 00:01:52.000]  如果你去過的話
[00:01:52.000 --> 00:01:55.000]  你都會知道夜晚會有這樣的表演
[00:01:55.000 --> 00:01:57.000]  不知道大家有沒有聽到
[00:01:57.000 --> 00:01:59.000]  裡面很多人的聲音是
[00:01:59.000 --> 00:02:02.000]  哇哇哇
[00:02:02.000 --> 00:02:04.000]  連續30分鐘的表演
[00:02:04.000 --> 00:02:07.000]  我們不停地聽到很多人不停地驚訝
[00:02:07.000 --> 00:02:10.000]  好美啊好美啊
[00:02:10.000 --> 00:02:12.000]  在迪士尼樂園
[00:02:12.000 --> 00:02:15.000]  我真的好像去了另一個世界
[00:02:15.000 --> 00:02:18.000]  暫時可以逃離現實
[00:02:18.000 --> 00:02:20.000]  因為在迪士尼樂園
[00:02:20.000 --> 00:02:22.000]  那裡充滿著希望
[00:02:22.000 --> 00:02:24.000]  充滿著盼望
[00:02:24.000 --> 00:02:26.000]  充滿著開心
[00:02:26.000 --> 00:02:29.000]  而當我們回去回程坐地鐵的時候
[00:02:29.000 --> 00:02:31.000]  不知道大家回家的時候
