
[00:00:00.000 --> 00:00:04.440]   Well, hello, hello, hello.
[00:00:04.440 --> 00:00:06.760]   So I hope you get to meet someone new.
[00:00:06.760 --> 00:00:12.800]   I hope that you are sitting around someone that you don't often see and then we can get
[00:00:12.800 --> 00:00:16.180]   to know each other and be connected.
[00:00:16.180 --> 00:00:21.440]   And actually, next week, there's an event going on that can get you connected as well.
[00:00:21.440 --> 00:00:24.000]   And that is our Bring Your Own Lunch.
[00:00:24.000 --> 00:00:29.640]   It is our monthly event where we get together and we, after the service, we all come with
[00:00:29.640 --> 00:00:33.240]   our lunches and go buy some food and come back up here.
[00:00:33.240 --> 00:00:35.920]   And it's a time for you to get connected with each other.
[00:00:35.920 --> 00:00:37.760]   So next week, Bring Your Own Lunch.
[00:00:37.760 --> 00:00:43.960]   And also today, don't forget, after service today, we are going to have our Feast of Common.
[00:00:43.960 --> 00:00:48.880]   So if you like, please stay behind, enjoy the game and the songs and the fellowship
[00:00:48.880 --> 00:00:52.860]   and to get to know someone new as well.
[00:00:52.860 --> 00:00:58.120]   And actually talking about connection, talking about community, there's one particular community
[00:00:58.120 --> 00:01:04.840]   that is always in my heart and that is the parents, especially September.
[00:01:04.840 --> 00:01:06.440]   September is coming.
[00:01:06.440 --> 00:01:12.520]   If you are not in the education sector or not a parent, September is just not a month
[00:01:12.520 --> 00:01:13.520]   for you.
[00:01:13.520 --> 00:01:18.960]   But if you're a parent or if you're stepping into primary one, September is a month that
[00:01:18.960 --> 00:01:23.880]   we all kind of, you know, have some doubts, have some, you know, tension about.
[00:01:23.880 --> 00:01:31.560]   And so next week, during our Bring Your Own Lunch, we are actually going to have a primary
[00:01:31.560 --> 00:01:34.000]   one prep sharing table.
[00:01:34.000 --> 00:01:39.320]   And what this table is like is that I have invited a few experienced teachers to come
[00:01:39.320 --> 00:01:45.600]   and to share about what teachers or what parents should prepare and to help them to feel more
[00:01:45.600 --> 00:01:51.400]   at ease about stepping into September as a fresh primary one family.
[00:01:51.400 --> 00:01:56.720]   And I've also invited, and if you, if your kid is about to step into primary one, please
[00:01:56.720 --> 00:02:01.400]   come to this event so that you're able to listen to, you know, experienced teachers
[00:02:01.400 --> 00:02:07.160]   talking about what are your expectations and what should you think about and what should
[00:02:07.160 --> 00:02:08.880]   you relax about, right?
[00:02:08.880 --> 00:02:15.640]   And if you have kids that are already along the way in primary three, four, five, six,
[00:02:15.640 --> 00:02:18.720]   you can also come and just share your experience.
[00:02:18.720 --> 00:02:24.000]   You know, it's, this sharing table is not about a one-way talk about, oh, this is, you
[00:02:24.000 --> 00:02:25.120]   know, what this is going to be about.
[00:02:25.120 --> 00:02:27.360]   You can think about this, you can think about that.
[00:02:27.360 --> 00:02:33.000]   No, sharing table is a table we created for us to have a conversation about things that
[00:02:33.000 --> 00:02:35.220]   is in our mind or in our heart.
[00:02:35.220 --> 00:02:36.220]   So please come.
[00:02:36.220 --> 00:02:42.400]   And if your kid is in like kindergarten stage and you want to know what kind of primary
[00:02:42.400 --> 00:02:47.920]   should I enroll my kids into, is all about fun, it's good for my kid, or should I give
[00:02:47.920 --> 00:02:50.640]   some, you know, academic expectation from my kid?
[00:02:50.640 --> 00:02:53.760]   What are schools like when we enroll into those schools?
[00:02:53.760 --> 00:02:56.480]   You can actually come and have a listen as well.
[00:02:56.480 --> 00:03:03.800]   So please scan the QR code and there's also poster over there if you want to enroll later.
[00:03:03.800 --> 00:03:09.320]   And also another very important event that is coming up is our Alpha.
[00:03:09.320 --> 00:03:15.080]   So last time we have our Alpha and we all have it all together, try Cantonese, the English,
[00:03:15.080 --> 00:03:17.520]   all in the same room and join it together.
[00:03:17.520 --> 00:03:22.160]   But this time we are going to have a separate day for our English Alpha.
[00:03:22.160 --> 00:03:26.760]   Okay, so if you want to join or if you want to invite someone, some of your friends to
[00:03:26.760 --> 00:03:31.480]   come and join Alpha, please scan for the English, English Alpha.
[00:03:31.480 --> 00:03:34.000]   We have our own Alpha session this time.
[00:03:34.000 --> 00:03:36.760]   Isn't it exciting?
[00:03:36.760 --> 00:03:43.640]   I have often meet friends that have been in, that heard about, you know, Christianity or
[00:03:43.640 --> 00:03:48.800]   this or church for a long time from their school, from their friends, but they're kind
[00:03:48.800 --> 00:03:51.480]   of scared or shy to ask questions.
[00:03:51.480 --> 00:03:57.360]   This is a time for them to come, to come just to learn what this, what church is about,
[00:03:57.360 --> 00:03:58.800]   what Jesus is about.
[00:03:58.800 --> 00:04:04.120]   It's a place for them to come and enjoy a dinner and ask questions and learn about it.
[00:04:04.120 --> 00:04:09.360]   And there are many times when people just come to faith during these casual conversations,
[00:04:09.360 --> 00:04:12.760]   casual but very important life conversations.
[00:04:12.760 --> 00:04:14.880]   So please invite your friends to come.
[00:04:14.880 --> 00:04:19.360]   Please tell them to come or yourself to come along and to join Alpha as well.
[00:04:19.360 --> 00:04:25.880]   But if you want to serve, if you have a missional heart and you go, actually, when I go and
[00:04:25.880 --> 00:04:30.880]   talk to people, I'm often very shy about, you know, evangelize or things like that.
[00:04:30.880 --> 00:04:36.440]   But in this Alpha course, when you serve, you can listen to what people, what people
[00:04:36.440 --> 00:04:40.760]   thoughts and questions are, and you can facilitate a conversation.
[00:04:40.760 --> 00:04:45.080]   And there are actually many other different roles in serving Alpha as well.
[00:04:45.080 --> 00:04:50.080]   So if you want to serve this time, if you experience it, or even if you have not experienced
[00:04:50.080 --> 00:04:55.320]   Alpha but you know you want to serve, come scan this code and be a volunteer.
[00:04:55.320 --> 00:04:56.520]   We have a training for you.
[00:04:56.520 --> 00:04:59.680]   So don't worry if you don't know what it is all about.
[00:04:59.680 --> 00:05:01.480]   There will be training.
[00:05:01.480 --> 00:05:02.480]   All right.
[00:05:02.480 --> 00:05:10.080]   And so it comes to our, we're going to step into our part of worship, which is our offering
[00:05:10.080 --> 00:05:16.880]   and our volunteers are going to pass around the bucket for the offering.
[00:05:16.880 --> 00:05:22.960]   Offering is a part of our worship because we realize that everything that we have is
[00:05:22.960 --> 00:05:24.240]   from God.
[00:05:24.240 --> 00:05:28.080]   And we just want to reflect that with the resources that we have given us.
[00:05:28.080 --> 00:05:32.960]   So in the Bible first that it says, each of you should give what you have decided in your
[00:05:32.960 --> 00:05:34.200]   heart to give.
[00:05:34.200 --> 00:05:40.120]   You don't need to be worried or you don't have to give, but it is a reflection of what
[00:05:40.120 --> 00:05:42.200]   God has put into your heart.
[00:05:42.200 --> 00:05:48.840]   So as the bucket pass around, take the time to think about God's grace for you.
[00:05:48.840 --> 00:05:52.840]   Think about your connection with God.
[00:05:52.840 --> 00:05:56.280]   And so as we're doing that, let us pray for our offering.
[00:05:57.280 --> 00:06:05.200]   Dear Heavenly Father, we thank you that you are a God and you sustain us, sustain us with
[00:06:05.200 --> 00:06:09.640]   financial income, but also you are sustaining us through all the other different ways as
[00:06:09.640 --> 00:06:15.120]   well with family, with relationship, with a roof over our head or with many other things
[00:06:15.120 --> 00:06:16.480]   that you've given us.
[00:06:16.480 --> 00:06:20.760]   And so we want to give to you as part of our worship, knowing that you are the one who
[00:06:20.760 --> 00:06:25.280]   sustain us, knowing that you are gracious and generous towards us.
[00:06:25.280 --> 00:06:28.840]   And we just want to give thanks through our offering.
