
[00:00:00.000 --> 00:00:02.800]  Hello,OK的,多謝你
[00:00:02.800 --> 00:00:05.260]  OK的,我習慣了用咪
[00:00:05.260 --> 00:00:08.480]  因為以前我上班的時候都常常要用咪
[00:00:08.480 --> 00:00:10.480]  十一傷悶,我以前登台
[00:00:10.480 --> 00:00:13.320]  我以前做老師的
[00:00:13.320 --> 00:00:15.320]  所以都會
[00:00:15.320 --> 00:00:17.320]  我學你的,爛機
[00:00:17.320 --> 00:00:19.320]  所以我常常都要
[00:00:19.320 --> 00:00:21.320]  是他嗎?是他
[00:00:21.320 --> 00:00:23.320]  所以我常常都要用咪
[00:00:23.320 --> 00:00:26.440]  因為我以前做過小學老師的原因
[00:00:26.440 --> 00:00:28.440]  我有一個問題想問一下大家
[00:00:28.440 --> 00:00:30.440]  大家留意一下這張照片
[00:00:30.440 --> 00:00:32.440]  有一天,我上課的時候
[00:00:32.440 --> 00:00:34.440]  有一個小朋友拿了這東西給我
[00:00:34.440 --> 00:00:36.440]  然後我就想,為什麼呢?
[00:00:36.440 --> 00:00:39.440]  有三個選擇,大家猜猜
[00:00:39.440 --> 00:00:41.440]  第一,是他用完之後
[00:00:41.440 --> 00:00:43.440]  他希望我幫他扔掉
[00:00:43.440 --> 00:00:46.440]  第二,是他在地上撿到
[00:00:46.440 --> 00:00:48.440]  他不知道是誰的
[00:00:48.440 --> 00:00:50.440]  他覺得是需要找回主人的
[00:00:50.440 --> 00:00:53.440]  第三,是他親手做來送給我的禮物
[00:00:53.440 --> 00:00:55.440]  這三樣東西都有發生過
[00:00:55.440 --> 00:00:57.440]  都是常見的
[00:00:57.440 --> 00:00:59.440]  我想問一下,這次這份禮物
[00:00:59.440 --> 00:01:01.440]  究竟是哪一個選擇的呢?
[00:01:01.440 --> 00:01:05.440]  A的請舉手
[00:01:05.440 --> 00:01:07.440]  有可能,很大可能
[00:01:07.440 --> 00:01:09.440]  B的請舉手,C的請舉手
[00:01:09.440 --> 00:01:11.440]  非常之好,長聲鼓勵
[00:01:11.440 --> 00:01:13.440]  是真的C的
[00:01:13.440 --> 00:01:15.440]  這個呢,恭喜
[00:01:15.440 --> 00:01:20.440]  那天,我記得明明是上寫作課
[00:01:20.440 --> 00:01:22.440]  即是一二年級
[00:01:22.440 --> 00:01:24.440]  我很想讓他們,由不懂寫這個題目
[00:01:24.440 --> 00:01:26.440]  去到懂寫這個題目
[00:01:26.440 --> 00:01:28.440]  但是,在講中途的時候
[00:01:28.440 --> 00:01:30.440]  他舉手,說:Miss Chan
[00:01:30.440 --> 00:01:32.440]  我說:什麼事?送給你的?
[00:01:32.440 --> 00:01:34.440]  我說:為什麼?
[00:01:34.440 --> 00:01:37.440]  他說,旁邊的同學就說
[00:01:37.440 --> 00:01:39.440]  哎呀,他已經做了一堂課
[00:01:39.440 --> 00:01:41.440]  很想送給你
[00:01:41.440 --> 00:01:44.440]  我看著他,我說:哦
[00:01:44.440 --> 00:01:46.440]  什麼來的?
[00:01:46.440 --> 00:01:48.440]  大家猜猜是什麼來的?
[00:01:48.440 --> 00:01:50.440]  他是一個地拖
[00:01:50.440 --> 00:01:52.440]  各位觀眾
[00:01:52.440 --> 00:01:54.440]  他是給我做一個地拖
[00:01:55.440 --> 00:01:57.440]  很感謝那位同學
[00:01:57.440 --> 00:01:59.440]  那麼愛我,想做東西給我
[00:01:59.440 --> 00:02:01.440]  但可不可以不要在我正在講課堂
[00:02:01.440 --> 00:02:03.440]  做事的時候
[00:02:03.440 --> 00:02:05.440]  他正在做其他事呢?
[00:02:05.440 --> 00:02:07.440]  但小朋友是這樣的
[00:02:07.440 --> 00:02:09.440]  他們好像一個感應器
[00:02:09.440 --> 00:02:11.440]  感應得到你何時趕,何時心急
[00:02:11.440 --> 00:02:13.440]  他就會做相反的事
[00:02:13.440 --> 00:02:15.440]  例如,你明明要拿東西走
[00:02:15.440 --> 00:02:17.440]  你出門口,你要急
[00:02:17.440 --> 00:02:19.440]  然後,明明
[00:02:19.440 --> 00:02:21.440]  你想去洗澡房
[00:02:21.440 --> 00:02:23.440]  去到洗澡的時候,他說
[00:02:23.440 --> 00:02:25.440]  你先把書寫好
[00:02:25.440 --> 00:02:27.440]  你想他洗完澡出來的時候
[00:02:27.440 --> 00:02:29.440]  他就說,我不行,正在洗澡
[00:02:29.440 --> 00:02:31.440]  所以,小朋友就是
[00:02:31.440 --> 00:02:33.440]  很多自我,很多他想做的事
[00:02:33.440 --> 00:02:35.440]  還有,和小朋友相處
[00:02:35.440 --> 00:02:37.440]  是有很強大的心臟
[00:02:37.440 --> 00:02:39.440]  因為
[00:02:39.440 --> 00:02:41.440]  當你明明想和他玩的時候
[00:02:41.440 --> 00:02:43.440]  他會很多時候
[00:02:43.440 --> 00:02:45.440]  都直接拒絕我
[00:02:45.440 --> 00:02:47.440]  拒絕完我之後
[00:02:47.440 --> 00:02:49.440]  我還要笑著對他
[00:02:49.440 --> 00:02:51.440]  因為你不可以對小朋友太兇
[00:02:51.440 --> 00:02:53.440]  他們是這麼直接
[00:02:53.440 --> 00:02:55.440]  這麼衝動,這麼跳脫的性格
[00:02:55.440 --> 00:02:57.440]  但耶穌卻多次
[00:02:57.440 --> 00:02:59.440]  使用小朋友的特質
[00:02:59.440 --> 00:03:01.440]  去提醒我們
[00:03:01.440 --> 00:03:03.440]  我們要像他那樣
