
[00:00:00.000 --> 00:00:02.000]   - Thank you.
[00:00:02.000 --> 00:00:02.960]   Good morning.
[00:00:02.960 --> 00:00:05.840]   I said this to the first service
[00:00:05.840 --> 00:00:06.920]   and I'll say it to you as well.
[00:00:06.920 --> 00:00:08.440]   You may have come to church thinking
[00:00:08.440 --> 00:00:11.900]   that this will just be another normal Sunday.
[00:00:11.900 --> 00:00:13.580]   You're going to be disappointed.
[00:00:13.580 --> 00:00:18.240]   God responds to desperation.
[00:00:18.240 --> 00:00:20.760]   He responds to longing.
[00:00:20.760 --> 00:00:22.080]   And I don't know about you,
[00:00:22.080 --> 00:00:24.820]   but these are two things that I find in my life,
[00:00:24.820 --> 00:00:27.640]   in various stages of life,
[00:00:27.640 --> 00:00:29.320]   but I find desperation and longing
[00:00:29.320 --> 00:00:32.020]   is sometimes our constant companions at time.
[00:00:32.020 --> 00:00:35.600]   And to those of you who are online today,
[00:00:35.600 --> 00:00:37.920]   you might be sitting there with a cuppa.
[00:00:37.920 --> 00:00:40.200]   Maybe you have a dog on your lap,
[00:00:40.200 --> 00:00:42.520]   if it's anything like I am when I'm at home.
[00:00:42.520 --> 00:00:46.260]   But also in that room is the presence of God.
[00:00:46.260 --> 00:00:50.680]   And he will be there to encounter you
[00:00:50.680 --> 00:00:52.160]   if you are willing as well.
[00:00:52.160 --> 00:00:56.240]   Some weeks ago during worship,
[00:00:56.240 --> 00:01:00.120]   Emma said that the one thing that all the encounters
[00:01:00.120 --> 00:01:03.820]   we've been looking at during this series,
[00:01:03.820 --> 00:01:07.620]   the one thing they had in common was desperation.
[00:01:07.620 --> 00:01:10.920]   So desperation, what is it?
[00:01:10.920 --> 00:01:14.300]   And how does it connect to encounters with God?
[00:01:14.300 --> 00:01:17.920]   Today we're looking at the story of Hannah.
[00:01:17.920 --> 00:01:20.840]   So let's begin with the first part of her story.
[00:01:20.840 --> 00:01:22.760]   We're going to be reading a lot of scripture today,
[00:01:22.760 --> 00:01:24.880]   so strap yourselves in.
[00:01:24.880 --> 00:01:28.440]   Now there was a certain man of Ramatham, Zohem,
[00:01:28.440 --> 00:01:32.160]   of the mountains of Ephraim, and his name was Elkanah,
[00:01:32.160 --> 00:01:35.120]   the son of Jerahim, the son of Elihu,
[00:01:35.120 --> 00:01:39.040]   the son of Tohu, the son of Zoph, and Ephraimite.
[00:01:39.040 --> 00:01:41.480]   And he had two wives, the name of one was Hannah,
[00:01:41.480 --> 00:01:44.520]   and the name of the other was Peninnah.
