
[00:00:00.000 --> 00:00:02.040]   in Jesus name, amen.
[00:00:02.040 --> 00:00:04.480]   - Amen, thank you, Carla.
[00:00:04.480 --> 00:00:07.200]   Wow, it's so good to be here at two o'clock.
[00:00:07.200 --> 00:00:10.260]   Third one today, so please pray for me.
[00:00:10.260 --> 00:00:13.360]   You know I love being here.
[00:00:13.360 --> 00:00:18.440]   I call this my favorite pulpit in the whole world.
[00:00:18.440 --> 00:00:23.340]   But today I wanna share something special,
[00:00:23.340 --> 00:00:26.680]   something very dear to my heart.
[00:00:28.240 --> 00:00:32.520]   At the Vine this year, God has given us a vision
[00:00:32.520 --> 00:00:35.380]   for uncharted territories.
[00:00:35.380 --> 00:00:40.580]   And Pastor Andrew asked me to bring a word of encouragement
[00:00:40.580 --> 00:00:41.420]   in this area.
[00:00:41.420 --> 00:00:46.840]   Now, one of my personal uncharted territories
[00:00:46.840 --> 00:00:50.400]   that I have discovered this year, would you believe it?
[00:00:50.400 --> 00:00:52.360]   It's pickleball.
[00:00:54.400 --> 00:00:58.280]   I have become well and truly hooked.
[00:00:58.280 --> 00:01:00.880]   You might say pickled.
[00:01:00.880 --> 00:01:05.620]   The rules are simple.
[00:01:05.620 --> 00:01:08.960]   The game is easy for beginners to learn.
[00:01:08.960 --> 00:01:13.560]   But as I found, it can develop into a fast pace,
[00:01:13.560 --> 00:01:16.000]   competitive game and I like that.
[00:01:16.000 --> 00:01:19.660]   Now, the byproduct for me,
[00:01:20.720 --> 00:01:25.720]   has been a whole new group of friends and fellow players.
[00:01:25.720 --> 00:01:33.440]   A community with a common denominator.
[00:01:33.440 --> 00:01:35.560]   Hold that one for a moment.
[00:01:35.560 --> 00:01:38.680]   Because it got me thinking about the workplace.
[00:01:38.680 --> 00:01:45.640]   Another community with an albeit slightly different
[00:01:45.640 --> 00:01:48.440]   common denominator.
[00:01:50.600 --> 00:01:52.800]   It's been great to pray for Hong Kong,
[00:01:52.800 --> 00:01:56.280]   actually all day today, amazing.
[00:01:56.280 --> 00:02:01.280]   Hong Kong is known for its high, fast paced
[00:02:01.280 --> 00:02:05.440]   and competitive work environment.
[00:02:05.440 --> 00:02:09.240]   Particularly as a leading international financial hub.
[00:02:09.240 --> 00:02:13.160]   And the idea for this talk,
[00:02:13.160 --> 00:02:15.240]   actually came from an Alpha meeting.
[00:02:15.240 --> 00:02:16.080]   Anybody done Alpha?
[00:02:16.080 --> 00:02:17.800]   Anyone heard of Alpha?
[00:02:17.800 --> 00:02:18.800]   One or two, good.
[00:02:18.920 --> 00:02:20.880]   (audience laughing)
[00:02:20.880 --> 00:02:25.880]   It was reported that whilst globally,
[00:02:25.880 --> 00:02:30.880]   only 2% of Alpha courses are in the workplace.
[00:02:30.880 --> 00:02:36.920]   That figure for Hong Kong is actually 14%, seven times.
[00:02:36.920 --> 00:02:39.720]   And the Alpha courses have been conducted here
[00:02:39.720 --> 00:02:42.800]   in more than 50 different industries.
[00:02:42.800 --> 00:02:46.160]   It got me thinking.
[00:02:47.360 --> 00:02:52.320]   If we as a church are serious about uncharted territories,
[00:02:52.320 --> 00:02:57.320]   surely, surely, surely one of our major priorities
[00:02:57.320 --> 00:03:01.120]   must be the reason why our city is what it is.
[00:03:01.120 --> 00:03:04.080]   It's workplace.
[00:03:04.080 --> 00:03:09.080]   And the approximately 3.8 million people in it.
[00:03:09.080 --> 00:03:13.440]   When people are not sleeping,
[00:03:13.440 --> 00:03:16.580]   most of their time is spent working.
[00:03:17.300 --> 00:03:22.300]   The average Christian spends less than 2%
[00:03:22.300 --> 00:03:25.660]   of their time in church.
[00:03:25.660 --> 00:03:31.260]   And work was actually God's idea.
[00:03:31.260 --> 00:03:35.460]   Right at the beginning of scripture,
[00:03:35.460 --> 00:03:38.540]   after God had created the heavens and earth
[00:03:38.540 --> 00:03:42.540]   and then created man, we read in Genesis 2.15.
[00:03:43.500 --> 00:03:48.500]   The Lord God took the man and put him in the garden of Eden
[00:03:48.500 --> 00:03:54.380]   to work it and to take care of it.
[00:03:54.380 --> 00:04:00.060]   What I'm gonna share today is part of my personal journey.
