
[00:00:00.000 --> 00:00:03.000]   God is so faithful.
[00:00:03.000 --> 00:00:10.900]   I was adopted, and when I met my birth mum,
[00:00:10.900 --> 00:00:14.640]   she said to me that when she gave me up,
[00:00:14.640 --> 00:00:17.080]   she didn't even know if God existed,
[00:00:17.080 --> 00:00:20.440]   but she prayed over me that I would go to a Christian family.
[00:00:20.440 --> 00:00:25.540]   I'm standing here today as a testament to God's faithfulness.
[00:00:27.560 --> 00:00:30.440]   And some of you are here today and you don't know God yet,
[00:00:30.440 --> 00:00:35.000]   but he wrote the pages of your life before you were born,
[00:00:35.000 --> 00:00:36.840]   and he knew that you'd be here today.
[00:00:36.840 --> 00:00:41.120]   His goodness is chasing you.
[00:00:41.120 --> 00:00:42.240]   You need to know that today.
[00:00:42.240 --> 00:00:44.840]   His goodness is chasing you home.
[00:00:44.840 --> 00:00:48.560]   Bonfires, I don't know about you,
[00:00:48.560 --> 00:00:52.560]   but I feel like this series has come at the perfect time.
[00:00:52.560 --> 00:00:56.920]   If you're noticing what is going on around you,
[00:00:56.920 --> 00:00:59.120]   if you're noticing what is happening
[00:00:59.120 --> 00:01:01.720]   to the people that surround your life,
[00:01:01.720 --> 00:01:05.620]   and if you're noticing what is happening within you,
[00:01:05.620 --> 00:01:09.400]   then you will have realized that we are all on journeys
[00:01:09.400 --> 00:01:13.920]   that at differing times and in differing ways
[00:01:13.920 --> 00:01:15.540]   have become too much.
[00:01:15.540 --> 00:01:20.720]   In my early 20s, I can remember a friend saying,
[00:01:20.720 --> 00:01:24.860]   "Susanna, you are someone who never gets stressed."
[00:01:24.860 --> 00:01:27.040]   She said, "You're always laughing
[00:01:27.040 --> 00:01:29.040]   "and you never let anything get to you."
[00:01:29.040 --> 00:01:33.080]   Another 30 years down the track,
[00:01:33.080 --> 00:01:38.120]   I recently caught myself saying to my youngest daughter
[00:01:38.120 --> 00:01:40.960]   when we were needing to fill out some paperwork,
[00:01:40.960 --> 00:01:42.880]   "I'm feeling overwhelmed.
[00:01:42.880 --> 00:01:44.600]   "I feel so stressed."
[00:01:44.600 --> 00:01:47.960]   And if you're in any doubt that our mental health
[00:01:47.960 --> 00:01:50.280]   is connected to our physical health,
[00:01:50.280 --> 00:01:53.840]   I then found myself in a clinic talking to a dermatologist
[00:01:53.840 --> 00:01:56.680]   and I said, "Why have I got eczema on my hands?
[00:01:56.680 --> 00:01:59.600]   "I've never had skin problems in my entire life."
[00:01:59.600 --> 00:02:01.840]   And his first question was,
[00:02:01.840 --> 00:02:04.400]   "Have you been experiencing more stress lately?"
[00:02:04.400 --> 00:02:08.480]   By the way, this was in the middle of COVID.
[00:02:08.480 --> 00:02:10.760]   I was thinking, you're asking that question?
[00:02:10.760 --> 00:02:13.480]   I think we've all been experiencing lots of stress.
[00:02:13.480 --> 00:02:16.480]   In preparing for this sermon, I felt God say to me,
[00:02:16.480 --> 00:02:18.240]   "I chose you for this.
[00:02:18.240 --> 00:02:23.040]   "What you've been experiencing in these last few years
[00:02:23.040 --> 00:02:27.320]   "mirrors what many have been experiencing in Hong Kong.
[00:02:27.320 --> 00:02:30.680]   "The disorientation, the sense of loss,
[00:02:30.680 --> 00:02:34.260]   "the increase in stress and the reaction to it,
[00:02:34.260 --> 00:02:37.680]   "the numbness, the lethargy,
[00:02:37.680 --> 00:02:41.880]   "the loneliness, the retreating back."
[00:02:41.880 --> 00:02:45.720]   So here I am speaking to you today as one on the journey,
[00:02:45.720 --> 00:02:50.240]   as one who is still processing her emotions
[00:02:50.240 --> 00:02:52.480]   and still learning to be still
[00:02:52.480 --> 00:02:55.240]   and listen for his gentle whispers.
[00:02:55.240 --> 00:03:01.600]   Today we end this series by finishing the story of Elijah,
[00:03:01.600 --> 00:03:04.720]   ending it with his calling of Elisha.
[00:03:04.720 --> 00:03:08.640]   We've already learned that Elijah has experienced
[00:03:08.640 --> 00:03:11.880]   a journey that has been too much for him,
[00:03:11.880 --> 00:03:16.880]   a journey that led him to a place of physical exhaustion,
[00:03:17.360 --> 00:03:19.200]   a place of emotional despair,
[00:03:19.200 --> 00:03:23.160]   a place where he literally called on God to let him die.
[00:03:23.160 --> 00:03:27.760]   God has met him in this place.
[00:03:27.760 --> 00:03:31.160]   He's touched him and created space for him
