
[00:00:00.000 --> 00:00:04.400]  所以在年初二也在這裡跟大家說新年快樂
[00:00:04.400 --> 00:00:09.200]  原住的因典從年中到歲壽也和我們一起同在
[00:00:09.200 --> 00:00:11.800]  前幾天和家人吃團年飯
[00:00:11.800 --> 00:00:16.400]  令我想起以前更多人一起吃團年飯的日子
[00:00:16.400 --> 00:00:19.400]  因為團年飯無論你住得多遠
[00:00:19.400 --> 00:00:21.400]  住得多不方便
[00:00:21.400 --> 00:00:25.400]  你也會想盡方法聚在一起去吃團年飯
[00:00:25.400 --> 00:00:30.400]  年中的團年飯、團聚在農曆新年有很大的意義
[00:00:30.400 --> 00:00:34.400]  因為以前團年飯我會去我爺爺那邊吃
[00:00:34.400 --> 00:00:37.400]  我爸爸和他有四兄弟
[00:00:37.400 --> 00:00:42.000]  和所有堂兄弟姊妹去到爺爺的村屋一起吃飯
[00:00:42.000 --> 00:00:48.400]  通常我一回去就很害怕和很想去到我爺爺那邊
[00:00:48.400 --> 00:00:50.400]  去看他浸的老鼠酒
[00:00:50.400 --> 00:00:52.400]  有沒有人見過老鼠酒?
[00:00:52.400 --> 00:00:53.400]  有啊
[00:00:53.400 --> 00:00:56.400]  我奶奶會在那邊煎小角
[00:00:56.400 --> 00:00:59.400]  因為我所有堂都是堂哥
[00:00:59.400 --> 00:01:02.400]  只有港島區那邊有一個堂妹
[00:01:02.400 --> 00:01:06.400]  我就會很想他快點過來和我一起玩
[00:01:06.400 --> 00:01:09.400]  那時候團年飯是很開心的
[00:01:09.400 --> 00:01:13.400]  這些全部都是新年很美好的回憶
[00:01:13.400 --> 00:01:16.400]  團年飯是一家人一起團聚去吃的一餐飯
[00:01:16.400 --> 00:01:20.400]  分散的可以團聚可以重新聯絡
[00:01:20.400 --> 00:01:23.400]  我們一直都有分享這裡是一個家庭教會
[00:01:23.400 --> 00:01:25.400]  是一家人的教會
[00:01:25.400 --> 00:01:27.400]  因為不是這裡有很多家庭
[00:01:27.400 --> 00:01:29.400]  而是因為我們領受到在這裡
[00:01:29.400 --> 00:01:31.400]  無論是被人和神
[00:01:31.400 --> 00:01:33.400]  人與人之間彼此去復和
[00:01:33.400 --> 00:01:35.400]  再次連結的地方
[00:01:35.400 --> 00:01:38.400]  我們整個教會都是一家人
[00:01:38.400 --> 00:01:40.400]  家人這個狀態很奇妙
[00:01:40.400 --> 00:01:42.400]  因為聽起來很親密
[00:01:42.400 --> 00:01:46.400]  但是也可以很疏離的狀態
[00:01:46.400 --> 00:01:49.400]  不知道你有沒有見過或者成為過這樣的家人呢?
[00:01:49.400 --> 00:01:52.400]  我必須坦白,我是有的
[00:01:52.400 --> 00:01:55.400]  早上說聲早晨,然後就出門
[00:01:55.400 --> 00:01:57.400]  晚上回到家就躲在房間裡
[00:01:57.400 --> 00:02:00.400]  吃飯的時候就出來一起看電視吃飯
[00:02:00.400 --> 00:02:06.400]  之後又繼續回房間說聲早上就回家睡覺
[00:02:06.400 --> 00:02:09.400]  一天的循環其實可以很安全
[00:02:09.400 --> 00:02:11.400]  很沒有衝突地成為一家人
[00:02:11.400 --> 00:02:14.400]  因為沒有什麼機會去刺激到別人
[00:02:14.400 --> 00:02:16.400]  因為沒有什麼溝通
[00:02:16.400 --> 00:02:19.400]  沒有給機會別人去了解我的生命和生活
[00:02:19.400 --> 00:02:22.400]  我家人為此而流淚過
[00:02:22.400 --> 00:02:24.400]  我也為此而流淚過
[00:02:24.400 --> 00:02:26.400]  因為我們都很不甘
[00:02:26.400 --> 00:02:28.400]  在這樣的狀態之下
[00:02:28.400 --> 00:02:30.400]  家人不是這樣做的
