
[00:00:00.000 --> 00:00:01.000]   and meeting you.
[00:00:01.000 --> 00:00:03.000]   Lord, we pray all this in Jesus' name.
[00:00:03.000 --> 00:00:05.000]   Everyone says, amen.
[00:00:05.000 --> 00:00:06.000]   Amen.
[00:00:06.000 --> 00:00:07.000]   Have a seat, have a seat.
[00:00:07.000 --> 00:00:09.000]   My name's Andrew.
[00:00:09.000 --> 00:00:10.000]   I'm one of the pastors here.
[00:00:10.000 --> 00:00:13.000]   If you've just joined the Vine or only been a part of us
[00:00:13.000 --> 00:00:16.000]   for a little while, we're so glad that you are here with us.
[00:00:16.000 --> 00:00:19.000]   We're in a series on the Holy Spirit.
[00:00:19.000 --> 00:00:22.000]   We've been opening the scriptures around the Spirit each week.
[00:00:22.000 --> 00:00:27.000]   And I want to share out of a passage of the Apostle Paul writing
[00:00:27.000 --> 00:00:30.000]   to the church in Ephesus.
[00:00:30.000 --> 00:00:33.000]   Paul was a prolific man of prayer, loved to pray for people,
[00:00:33.000 --> 00:00:34.000]   loved to pray for his church.
[00:00:34.000 --> 00:00:36.000]   He was deeply pastoral.
[00:00:36.000 --> 00:00:40.000]   And in the book of Ephesians, he actually prays a number of times.
[00:00:40.000 --> 00:00:44.000]   Often when Paul prays, he's not just kind of like offering a prayer.
[00:00:44.000 --> 00:00:47.000]   He's not just like Lord Jesus, amen kind of thing.
[00:00:47.000 --> 00:00:51.000]   He's actually trying to communicate and teach something to the church.
[00:00:51.000 --> 00:00:54.000]   His prayers are some of the deepest theological things that are found
[00:00:54.000 --> 00:00:56.000]   in his word.
[00:00:56.000 --> 00:00:59.000]   And we're going to unpack them and get a sense of how he wants
[00:00:59.000 --> 00:01:02.000]   to pastor his church.
[00:01:02.000 --> 00:01:05.000]   And in the prayer I'm going to read you here this morning,
[00:01:05.000 --> 00:01:08.000]   he says something about the Spirit.
[00:01:08.000 --> 00:01:11.000]   And what he says about the Spirit is one of these paradoxes
[00:01:11.000 --> 00:01:13.000]   that we're going to be unpacking throughout our series,
[00:01:13.000 --> 00:01:16.000]   these both and elements of the Spirit.
[00:01:16.000 --> 00:01:22.000]   And this one is particularly key because this one draws us
[00:01:22.000 --> 00:01:26.000]   into a deeper knowledge of God himself.
[00:01:26.000 --> 00:01:31.000]   Let me read this to you from Ephesians 1, starting in verse 15.
[00:01:31.000 --> 00:01:34.000]   He says, "For this reason, ever since I heard about your faith
[00:01:34.000 --> 00:01:38.000]   in the Lord Jesus and your love for all the saints,
[00:01:38.000 --> 00:01:42.000]   I have not stopped giving thanks for you, remembering you in my prayers."
