
[00:00:00.000 --> 00:00:01.000]   One more.
[00:00:01.000 --> 00:00:04.000]   That was very convincing.
[00:00:04.000 --> 00:00:08.600]   Well, hey, listen, I want to talk about the elephant in the room.
[00:00:08.600 --> 00:00:11.040]   I cut my hair.
[00:00:11.040 --> 00:00:12.040]   We've noticed.
[00:00:12.040 --> 00:00:13.040]   Yeah, we've noticed.
[00:00:13.040 --> 00:00:17.960]   And in this hair cutting adventure, I've heard some rumors.
[00:00:17.960 --> 00:00:19.360]   So we're going to address the rumors today.
[00:00:19.360 --> 00:00:23.720]   There have been some speculation as to why I cut my hair, and I want to make sure before
[00:00:23.720 --> 00:00:27.840]   I dive into God's word that I am up front with you and we clear the air.
[00:00:27.840 --> 00:00:30.600]   So the first rumor is that it was a wig.
[00:00:30.600 --> 00:00:32.880]   Y'all, listen, this was real hair.
[00:00:32.880 --> 00:00:34.960]   It took me four to five years to grow it.
[00:00:34.960 --> 00:00:36.840]   Okay, I've got pictures of the whole journey.
[00:00:36.840 --> 00:00:38.000]   They were natural dreads.
[00:00:38.000 --> 00:00:40.000]   They were beautiful, but I did cut them.
[00:00:40.000 --> 00:00:42.200]   So they were real, not a wig.
[00:00:42.200 --> 00:00:46.840]   Second rumor, this one tickles me, was that I'm going through a midlife crisis.
[00:00:46.840 --> 00:00:48.880]   Y'all, come on.
[00:00:48.880 --> 00:00:50.760]   I'm younger than Allison, right?
[00:00:50.760 --> 00:00:52.160]   Like, come on.
[00:00:52.160 --> 00:00:53.160]   I'm still like vibrant.
[00:00:53.160 --> 00:00:54.720]   You know, I'm 34.
[00:00:54.720 --> 00:00:56.640]   I've got so much left ahead of me.
[00:00:56.640 --> 00:01:01.440]   So no, I did not cut my hair because I'm going through a midlife crisis, and my hair is real.
[00:01:01.440 --> 00:01:04.960]   It has not been a wig, but maybe it's not a bad idea if I want to bring it back.
[00:01:04.960 --> 00:01:06.440]   Okay, Emma says no.
[00:01:06.440 --> 00:01:07.440]   Whatever.
[00:01:07.440 --> 00:01:10.760]   Let me explain to you the reason I cut my hair, because it's, you know, just so you
[00:01:10.760 --> 00:01:13.840]   know, because I think once we know that, we can stop worrying about that and actually
[00:01:13.840 --> 00:01:17.080]   focus on God's word.
[00:01:17.080 --> 00:01:22.600]   My wife and I had a daughter back in June this past year, little Remy, and I love being
[00:01:22.600 --> 00:01:23.600]   a dad.
[00:01:23.600 --> 00:01:24.600]   This is my second kid.
[00:01:24.600 --> 00:01:26.600]   My first one is Elias, the perfect little boy.
[00:01:26.600 --> 00:01:28.640]   And I have the perfect little girl, Remy.
[00:01:28.640 --> 00:01:40.320]   And I am about 99,000% convinced that my daughter thought my dreads were her father.
[00:01:40.320 --> 00:01:41.320]   Let me explain this to you.
[00:01:41.320 --> 00:01:44.800]   So I, you know, her being tiny and a baby, you know, I look over her and I see her, and
[00:01:44.800 --> 00:01:47.680]   every time I would see her, I would talk to her, and I would be animated, and I would
[00:01:47.680 --> 00:01:49.440]   smile, we'd be making eye contact.
[00:01:49.440 --> 00:01:53.880]   And I realized at some point that actually I'm making eye contact with her, but she's
[00:01:53.880 --> 00:01:54.880]   looking a little higher.
[00:01:54.880 --> 00:01:58.440]   And so I would like swing my dreads and just watch her eyes go there, and I'd like move
[00:01:58.440 --> 00:01:59.440]   over here.
[00:01:59.440 --> 00:02:00.440]   And my dreads were quite long.
[00:02:00.440 --> 00:02:03.000]   And I realized she loved my dreads.
[00:02:03.000 --> 00:02:06.960]   She thought her father were these beautiful dreadlocks that I had.
[00:02:06.960 --> 00:02:12.000]   And I refuse to let anything come between me and my daughter.
[00:02:12.000 --> 00:02:13.000]   So I cut them.
[00:02:13.000 --> 00:02:14.000]   And that's the story.
[00:02:14.000 --> 00:02:15.000]   So they're gone.
[00:02:15.000 --> 00:02:16.000]   They're not coming back.
[00:02:16.000 --> 00:02:17.000]   Remy now makes...
[00:02:17.000 --> 00:02:18.360]   Someone asked me this after the first service.
[00:02:18.360 --> 00:02:20.880]   They're like, "But does she actually make eye contact with you?"
[00:02:20.880 --> 00:02:22.560]   Yes, she does.
[00:02:22.560 --> 00:02:28.520]   She does make eye contact with me, and all is well again in the Armstrong household.
[00:02:28.520 --> 00:02:33.800]   But all three of us, my son, my wife, and I are adjusting to now being a family of four.
[00:02:33.800 --> 00:02:35.440]   Having a little girl has been fun.
[00:02:35.440 --> 00:02:38.720]   My son, he's three years old, and he is learning, man.
[00:02:38.720 --> 00:02:40.160]   He's never had a sibling before.
[00:02:40.160 --> 00:02:41.920]   He's the oldest, so he's learning.
[00:02:41.920 --> 00:02:43.960]   He's trying to figure out, "How do I engage?"
[00:02:43.960 --> 00:02:47.400]   He doesn't know, "How do I play with a tiny little baby?"
[00:02:47.400 --> 00:02:48.400]   He goes to school.
[00:02:48.400 --> 00:02:50.520]   He has all the energy in the world, and she's just like, "Man."
[00:02:50.520 --> 00:02:53.400]   So it's a bit of a journey for him.
[00:02:53.400 --> 00:02:57.160]   And I realize that he's been watching me.
[00:02:57.160 --> 00:02:59.880]   He's been watching me when I didn't realize he was watching me.
[00:02:59.880 --> 00:03:01.640]   He's been learning from me.
[00:03:01.640 --> 00:03:02.720]   He's been spying on me.
[00:03:02.720 --> 00:03:08.280]   A few weeks ago, I walked into our living room, and Remy's in her space, and I see,
[00:03:08.280 --> 00:03:11.960]   but I hear Elias over her little Moses basket.
[00:03:11.960 --> 00:03:14.400]   He's like, "How you doing, my little girl, girl?"
[00:03:14.400 --> 00:03:18.400]   In a high-pitched voice, and he's got his nose next to her nose, and he's tickling her
[00:03:18.400 --> 00:03:20.080]   feet, and he's doing all my mannerisms.
[00:03:20.080 --> 00:03:22.640]   And I'm like, "Yo, dude is stealing."
[00:03:22.640 --> 00:03:26.320]   First of all, "Girl, girl," that's what I say, okay?
[00:03:26.320 --> 00:03:30.320]   Kayla, my wife, is girl because she's number one, the number one woman in my life, so she's
[00:03:30.320 --> 00:03:31.320]   my girl.
[00:03:31.320 --> 00:03:36.240]   Remy is my second most important woman in my life, girl, girl, so she's my girl, girl.
[00:03:36.240 --> 00:03:37.360]   Elias doesn't know this.
[00:03:37.360 --> 00:03:40.600]   He's three years old, but he's referring to her as his girl, girl, and I'm just getting
[00:03:40.600 --> 00:03:42.960]   a little bit jealous and annoyed as a father.
[00:03:42.960 --> 00:03:44.200]   Like, pray for me.
[00:03:44.200 --> 00:03:46.000]   It's a whole thing.
[00:03:46.000 --> 00:03:50.480]   But I'm realizing he's catching on to the things that we are doing, and I'm not trying
[00:03:50.480 --> 00:03:51.480]   to be an example.
[00:03:51.480 --> 00:03:55.280]   He just happens to learn from me, and he's listening, and this is slightly problematic
[00:03:55.280 --> 00:03:56.760]   because he's in school now.
[00:03:56.760 --> 00:04:01.760]   And so every so often, he takes the things that he hears from home to school, so I'm
[00:04:01.760 --> 00:04:06.160]   already a pretty holy man, but just know I am being even more holy.
[00:04:06.160 --> 00:04:11.920]   When I stub my toe, I quote scripture just to make sure that Elias doesn't say anything
[00:04:11.920 --> 00:04:15.200]   inappropriate, and we get emails at small world.
[00:04:15.200 --> 00:04:21.760]   But I am now properly recognizing the impact and the example that I am to my son.
[00:04:21.760 --> 00:04:26.200]   You know, my wife and I are both pretty big examples for him.
[00:04:26.200 --> 00:04:27.360]   He copies what we do.
[00:04:27.360 --> 00:04:29.360]   He listens when we know he's listening.
[00:04:29.360 --> 00:04:33.680]   He listens when we don't know he's listening, and he's repeating after us, and we're pretty
[00:04:33.680 --> 00:04:36.640]   much the biggest example in his life.
[00:04:36.640 --> 00:04:42.760]   Now he, one day, will be the biggest example in Remy's life because he's the oldest, right?
[00:04:42.760 --> 00:04:45.400]   Are there any firstborns here?
[00:04:45.400 --> 00:04:46.760]   Anyone who's a firstborn and have siblings?
