
[00:00:00.000 --> 00:00:02.000]   [sighs]
[00:00:02.000 --> 00:00:09.460]   And so every,
[00:00:09.460 --> 00:00:11.800]   this is, you know what I'm saying,
[00:00:11.800 --> 00:00:13.240]   every service is so different.
[00:00:13.240 --> 00:00:14.880]   Like, I was up here for the 9/15
[00:00:14.880 --> 00:00:16.960]   and it was a very different way of,
[00:00:16.960 --> 00:00:19.040]   I don't know, just what it felt, but this,
[00:00:19.040 --> 00:00:21.440]   like I love that God is not like a carbon copy God.
[00:00:21.440 --> 00:00:23.680]   Like, he poured out his presence at the 9/15
[00:00:23.680 --> 00:00:24.920]   and we experienced him,
[00:00:24.920 --> 00:00:26.200]   but what we just experienced now
[00:00:26.200 --> 00:00:28.680]   was a fresh sense of his presence,
[00:00:28.680 --> 00:00:32.000]   specifically for those of you who are in the room
[00:00:32.000 --> 00:00:33.320]   and those who are watching online.
[00:00:33.320 --> 00:00:35.320]   So I wanna echo what Susannah just said.
[00:00:35.320 --> 00:00:38.440]   You might be holding that last piece of the puzzle.
[00:00:38.440 --> 00:00:39.280]   That's your free will,
[00:00:39.280 --> 00:00:44.280]   but God has a purpose for you physically being here right now.
[00:00:44.280 --> 00:00:45.560]   So don't miss that.
[00:00:45.560 --> 00:00:50.200]   Whatever's on your mind, whatever's on your heart,
[00:00:50.200 --> 00:00:52.000]   you don't have to ignore it,
[00:00:52.000 --> 00:00:53.160]   but press pause for a minute
[00:00:53.160 --> 00:00:55.880]   because I genuinely believe
[00:00:55.880 --> 00:00:58.600]   that God has gathered us here together today
[00:00:58.600 --> 00:01:00.160]   to speak to us.
[00:01:00.160 --> 00:01:04.680]   I believe he wants to set us free in our hearts,
[00:01:04.680 --> 00:01:05.680]   in our spirits.
[00:01:05.680 --> 00:01:07.200]   He wants to address things
[00:01:07.200 --> 00:01:10.680]   that have been sitting inside of you for a long time.
[00:01:10.680 --> 00:01:12.600]   He wants to bring hope.
[00:01:12.600 --> 00:01:14.800]   He wants to build our faith again.
[00:01:14.800 --> 00:01:18.280]   So we're gonna let him do that today.
[00:01:18.280 --> 00:01:22.800]   Have you ever started a project?
[00:01:22.800 --> 00:01:24.320]   Have you ever began a journey?
[00:01:24.320 --> 00:01:27.600]   Have you ever set out to do something
[00:01:27.600 --> 00:01:29.760]   that was big and meaningful,
[00:01:29.760 --> 00:01:32.200]   that was perhaps for other people?
[00:01:32.200 --> 00:01:35.520]   Have you ever began a journey or become a person
[00:01:35.520 --> 00:01:38.760]   or develop a thing so that you can go somewhere,
[00:01:38.760 --> 00:01:39.600]   do something?
[00:01:39.600 --> 00:01:40.960]   Have you ever started a journey
[00:01:40.960 --> 00:01:44.800]   and about halfway through or a quarter of the way through
[00:01:44.800 --> 00:01:46.080]   or a third of the way through,
[00:01:46.080 --> 00:01:48.720]   you start to run into some obstacles?
[00:01:48.720 --> 00:01:50.880]   Have you ever started to try and follow God into something
[00:01:50.880 --> 00:01:54.240]   and then obstacles show up and mountains are really tall
[00:01:54.240 --> 00:01:56.560]   and there's so many challenges between you
[00:01:56.560 --> 00:01:59.120]   and following whatever it is that God is calling you into
[00:01:59.120 --> 00:02:00.800]   or stepped into?
[00:02:00.800 --> 00:02:02.600]   Have you ever began something
[00:02:02.600 --> 00:02:06.080]   and had to just stop and not be able to complete it
[00:02:06.080 --> 00:02:09.880]   because the challenges and the struggle was too much?
[00:02:09.880 --> 00:02:12.840]   Unfortunately, this is my life.
[00:02:12.840 --> 00:02:14.640]   It happens all the time with me.
[00:02:14.640 --> 00:02:18.160]   Years ago, I, due to a good friend
[00:02:18.160 --> 00:02:21.960]   who was a vegan, now a vegetarian, Nathan Blister.
[00:02:21.960 --> 00:02:26.040]   Yeah, so he was trying to encourage me
[00:02:26.040 --> 00:02:28.040]   to think about how I eat and take care of my body
