
[00:00:00.000 --> 00:00:01.340]   Amen, awesome.
[00:00:01.340 --> 00:00:04.000]   All right, so I'm not gonna do that for everybody.
[00:00:04.000 --> 00:00:05.860]   Don't worry, we're good.
[00:00:05.860 --> 00:00:08.240]   I know that every time I get into the pulpit
[00:00:08.240 --> 00:00:11.040]   here at the Vine, I get super excited
[00:00:11.040 --> 00:00:13.900]   and I often will say to you, I'm so excited today.
[00:00:13.900 --> 00:00:17.560]   But I am genuinely really excited today
[00:00:17.560 --> 00:00:20.780]   for what I think the Lord wants to do in us in this moment,
[00:00:20.780 --> 00:00:23.160]   for what I think He wants to do in the weeks ahead
[00:00:23.160 --> 00:00:26.500]   as we start a new sermon series here today.
[00:00:26.500 --> 00:00:29.620]   I wanna teach actually over the next four weeks with you
[00:00:29.620 --> 00:00:33.420]   on the topic of personal transformation.
[00:00:33.420 --> 00:00:35.180]   And I'm really excited about this
[00:00:35.180 --> 00:00:37.560]   because I don't know how you feel
[00:00:37.560 --> 00:00:40.720]   as you've come into church today, as you've joined us online,
[00:00:40.720 --> 00:00:43.280]   whether you feel like life is the best
[00:00:43.280 --> 00:00:44.980]   that it's ever been for you,
[00:00:44.980 --> 00:00:47.640]   or whether you feel like there's pain and trauma
[00:00:47.640 --> 00:00:49.100]   and there's some sort of thing
[00:00:49.100 --> 00:00:51.600]   that's kind of a suffering in your life,
[00:00:51.600 --> 00:00:54.960]   whether you're feeling great or you're really struggling,
[00:00:54.960 --> 00:00:57.600]   the weight of Scripture would show us
[00:00:57.600 --> 00:01:01.020]   that one of the primary functions of the ministry of Jesus
[00:01:01.020 --> 00:01:03.500]   is to take us from who we are today
[00:01:03.500 --> 00:01:06.000]   and to move us to become more and more like Him.
[00:01:06.000 --> 00:01:10.300]   At the very heart of what is the ministry of Jesus,
[00:01:10.300 --> 00:01:12.560]   both the scriptural ministry,
[00:01:12.560 --> 00:01:15.220]   but also the ministry of Christ in the world today
[00:01:15.220 --> 00:01:17.760]   through the power of His presence and His Spirit
[00:01:17.760 --> 00:01:21.140]   is to take us from the people that we are right now
