
[00:00:00.000 --> 00:00:02.000]  謝謝Ivan,讓我們聽聽Ivan的演講
[00:00:02.000 --> 00:00:06.160]  新年快樂
[00:00:06.160 --> 00:00:08.400]  新年快樂
[00:00:08.400 --> 00:00:12.000]  新年
[00:00:12.000 --> 00:00:13.280]  新的一年
[00:00:13.280 --> 00:00:15.160]  是一個新的機會
[00:00:15.160 --> 00:00:16.640]  是一個新的機會
[00:00:16.640 --> 00:00:19.480]  元朗葡萄藤教會
[00:00:19.480 --> 00:00:21.600]  元朗的葡萄藤教會
[00:00:21.600 --> 00:00:26.640]  你即將進入一個新的季節
[00:00:26.640 --> 00:00:29.600]  你即將要進入一個新的季節裡
[00:00:30.600 --> 00:00:34.600]  這將不再是你所知的那樣
[00:00:34.600 --> 00:00:38.400]  這跟你之前認識的那個不一樣
[00:00:38.400 --> 00:00:41.600]  神說
[00:00:41.600 --> 00:00:45.840]  我會做一件新的事
[00:00:45.840 --> 00:00:48.840]  神說我會來做新的事
[00:00:48.840 --> 00:00:54.600]  作為一個跟葡萄藤教會有30年關係的人
[00:00:54.600 --> 00:00:58.360]  作為一個跟葡萄藤教會有30年關係的人
[00:00:58.480 --> 00:01:01.200]  我真是榮幸和榮幸
[00:01:01.200 --> 00:01:06.200]  能在這個特別的一天上說幾句話
[00:01:06.200 --> 00:01:08.680]  我真是榮幸能在這個特別的一天上
[00:01:08.680 --> 00:01:10.600]  能跟大家分享幾句
[00:01:10.600 --> 00:01:12.800]  我可以先說幾句嗎
[00:01:12.800 --> 00:01:15.280]  我可以先說幾句嗎
[00:01:15.280 --> 00:01:17.480]  今年真是一個很美好的一年
[00:01:17.480 --> 00:01:20.120]  今年真是一個很美好的一年
[00:01:20.120 --> 00:01:24.520]  從那些準備在EIS的幾個月
[00:01:24.520 --> 00:01:27.920]  當我們在EIS裡去預備的時間
[00:01:28.040 --> 00:01:31.840]  那些一起去行驅祈禱的時間
[00:01:31.840 --> 00:01:37.520]  那些一起去燒烤和燒烤的時間
[00:01:37.520 --> 00:01:42.840]  還有葡萄藤教會的
[00:01:42.840 --> 00:01:47.920]  當我們有意象主日的時候
[00:01:47.920 --> 00:01:49.640]  大家收回來的奉獻
[00:01:49.640 --> 00:01:53.840]  還有我們正式的開幕日
[00:01:54.560 --> 00:01:58.480]  還有這個美好的建築物
[00:01:58.480 --> 00:02:02.160]  還有這個美好的建築物
[00:02:02.160 --> 00:02:07.560]  我的第一句話,可能會被視為
[00:02:07.560 --> 00:02:11.800]  我對這個特別的一天有一點點的亡靈感
[00:02:11.800 --> 00:02:15.920]  但我現在說的話好像有點掃興一樣
[00:02:15.920 --> 00:02:20.680]  你可能會說我像在在這個特別的一天上
[00:02:20.680 --> 00:02:22.280]  在做一些濕潤的工作
[00:02:22.400 --> 00:02:24.760]  好像在這個特別的日子裡
[00:02:24.760 --> 00:02:28.480]  好像有點被迫著
[00:02:28.480 --> 00:02:32.280]  但我仍然要說出來
[00:02:32.280 --> 00:02:34.480]  就是
[00:02:34.480 --> 00:02:39.280]  教會不是一棟建築物
[00:02:39.280 --> 00:02:41.680]  我可以再說一次嗎
[00:02:41.680 --> 00:02:45.600]  教會不是一棟建築物
[00:02:45.600 --> 00:02:48.080]  教會不是一棟建築物
[00:02:48.440 --> 00:02:50.680]  耶穌用的希臘文
[00:02:50.680 --> 00:02:53.640]  我們用來翻譯為教會
[00:02:53.640 --> 00:02:54.840]  Ekklesia
[00:02:54.840 --> 00:02:59.880]  (英文)
[00:02:59.880 --> 00:03:02.760]  這和教會的建築物一點關係都沒有
[00:03:02.760 --> 00:03:06.440]  (英文)
[00:03:06.440 --> 00:03:08.280]  但我覺得這個對話
[00:03:08.280 --> 00:03:14.280]  只能夠描述很多人對教會的混亂
[00:03:14.400 --> 00:03:21.440]  (英文)
[00:03:21.440 --> 00:03:24.320]  但當我們一邊說的時候
[00:03:24.320 --> 00:03:26.920]  我們的語言令我們很混淆
[00:03:26.920 --> 00:03:29.720]  令我們以為教會是我們去的那棟建築物
[00:03:29.720 --> 00:03:31.840]  而不是我們自己本身
[00:03:31.840 --> 00:03:40.280]  (英文)
[00:03:40.400 --> 00:03:42.760]  所以無論我們在一棟很漂亮的
[00:03:42.760 --> 00:03:45.040]  水晶大教堂裡聚會
[00:03:45.040 --> 00:03:49.080]  還是在很小的小屋裡都不要緊
[00:03:49.080 --> 00:03:52.280]  (英文)
[00:03:52.280 --> 00:03:54.280]  教會就是我們
[00:03:54.280 --> 00:03:56.600]  (英文)
[00:03:56.600 --> 00:03:58.920]  教會是神的指紋
[00:03:58.920 --> 00:04:02.040]  (英文)
[00:04:02.040 --> 00:04:03.320]  我相信
[00:04:03.320 --> 00:04:06.800]  (英文)
[00:04:06.920 --> 00:04:08.280]  我們在這裡很順利
[00:04:08.280 --> 00:04:10.920]  (英文)
[00:04:10.920 --> 00:04:14.600]  是一個地方讓我們相聚走在一起
[00:04:14.600 --> 00:04:18.000]  (英文)
[00:04:18.000 --> 00:04:22.160]  第一就是讓我們去感謝神
[00:04:22.160 --> 00:04:28.520]  (英文)
[00:04:28.520 --> 00:04:32.640]  感謝神對葡萄臘教會是信實的
[00:04:32.640 --> 00:04:34.320]  祂對我們是很好的
[00:04:34.320 --> 00:04:36.000]  (英文)
[00:04:36.120 --> 00:04:37.720]  在元朗
[00:04:37.720 --> 00:04:40.800]  (英文)
[00:04:40.800 --> 00:04:44.000]  但同樣重要的
[00:04:44.000 --> 00:04:48.400]  (英文)
[00:04:48.400 --> 00:04:52.320]  就是在現在這個時間去尋求祂的同在
[00:04:52.320 --> 00:04:55.440]  (英文)
[00:04:55.440 --> 00:04:57.520]  以及祈求祂對未來
[00:04:57.520 --> 00:04:59.400]  在我們生命裡的指引
[00:04:59.400 --> 00:05:00.800]  (英文)
[00:05:00.800 --> 00:05:06.880]  這是教會歷史中最重要的時刻
[00:05:06.880 --> 00:05:11.800]  (英文)
[00:05:11.800 --> 00:05:18.000]  以百分之九十的香港人為例
[00:05:18.000 --> 00:05:21.120]  他們目前並不是任何教會的一部分
[00:05:21.120 --> 00:05:28.320]  (英文)
[00:05:28.440 --> 00:05:29.440]  在我們城市裡的許多人
[00:05:29.440 --> 00:05:32.360]  特別是年輕一代的人
[00:05:32.360 --> 00:05:33.560]  失去了希望
[00:05:33.560 --> 00:05:37.560]  (英文)
[00:05:37.560 --> 00:05:39.880]  我們看到年輕人的痛苦
[00:05:39.880 --> 00:05:41.480]  對於心理健康的問題
[00:05:41.480 --> 00:05:45.000]  以及對於自殺的年輕人的嚴重影響
[00:05:45.000 --> 00:05:54.520]  (英文)
[00:05:54.520 --> 00:05:57.920]  而貧窮人也開始變得更貧窮
[00:05:58.040 --> 00:06:01.840]  (英文)
[00:06:01.840 --> 00:06:03.640]  我們可以做些什麼呢
[00:06:03.640 --> 00:06:07.440]  (英文)
[00:06:07.440 --> 00:06:09.440]  我的朋友們,請聽我的話
[00:06:09.440 --> 00:06:12.040]  (英文)
[00:06:12.040 --> 00:06:16.160]  這座建築物是非常重要的
[00:06:16.160 --> 00:06:19.560]  (英文)
[00:06:19.560 --> 00:06:22.280]  這座建築物是非常重要的
[00:06:22.280 --> 00:06:25.840]  (英文)
[00:06:25.960 --> 00:06:29.880]  但不像是一個魚缸
[00:06:29.880 --> 00:06:34.080]  (英文)
[00:06:34.080 --> 00:06:36.960]  而是像救生艇的發射台
[00:06:36.960 --> 00:06:40.880]  (英文)
[00:06:40.880 --> 00:06:43.400]  像救生艇的發射台
[00:06:43.400 --> 00:06:47.360]  (英文)
[00:06:47.360 --> 00:06:50.360]  我看這座建築物是裝備中心
[00:06:50.360 --> 00:06:53.840]  (英文)
[00:06:53.960 --> 00:06:57.160]  裝備聖徒來舉行救生艇
[00:06:57.160 --> 00:06:59.000]  (英文)
[00:06:59.000 --> 00:07:03.760]  去裝備聖徒來預備救生艇
[00:07:03.760 --> 00:07:05.240]  然後開出去
[00:07:05.240 --> 00:07:07.120]  (英文)
[00:07:07.120 --> 00:07:10.760]  去發射到孤單的人身上
[00:07:10.760 --> 00:07:13.520]  (英文)
[00:07:13.520 --> 00:07:16.360]  去到失去盼望的人身上
[00:07:16.360 --> 00:07:22.440]  (英文)
[00:07:22.560 --> 00:07:27.440]  我相信在元朗有很多魚等著我們來收
[00:07:27.440 --> 00:07:31.760]  (英文)
[00:07:31.760 --> 00:07:36.080]  我今天宣告元朗是一個要來看魚的地方
[00:07:36.080 --> 00:07:40.480]  (英文)
[00:07:40.480 --> 00:07:43.280]  是一個大海洋
[00:07:43.280 --> 00:07:46.440]  有很多魚等著我們來看
[00:07:46.440 --> 00:07:49.840]  (英文)
[00:07:49.960 --> 00:07:52.000]  當我去禱告的時候
[00:07:52.000 --> 00:07:54.320]  我看到一幅圖畫裡有兩個的心
[00:07:54.320 --> 00:08:01.680]  (英文)
[00:08:01.680 --> 00:08:03.280]  有兩半
[00:08:03.280 --> 00:08:07.760]  其中一半是說到有些鷹在鷹巢裡
[00:08:07.760 --> 00:08:09.640]  (英文)
[00:08:09.640 --> 00:08:12.120]  這就是我今天所看到的圖畫
[00:08:12.120 --> 00:08:17.720]  (英文)
[00:08:17.840 --> 00:08:20.640]  我們在這個地方很安全
[00:08:20.640 --> 00:08:22.680]  在母鷹的懷抱之中
[00:08:22.680 --> 00:08:27.640]  (英文)
[00:08:27.640 --> 00:08:30.600]  我相信這幅圖畫能夠表達
[00:08:30.600 --> 00:08:32.520]  元朗葡萄藤是怎樣的
[00:08:32.520 --> 00:08:36.440]  (英文)
[00:08:36.440 --> 00:08:40.400]  你們已經成為了一個非常緊密的群體
[00:08:40.400 --> 00:08:43.960]  (英文)
[00:08:43.960 --> 00:08:45.160]  我很喜歡這裡
[00:08:45.160 --> 00:08:47.360]  你們可以繼續享受這個群體
[00:08:47.480 --> 00:08:49.280]  但在第二個場景裡
[00:08:49.280 --> 00:08:51.800]  (英文)
[00:08:51.800 --> 00:08:53.560]  鷹已經成長了
[00:08:53.560 --> 00:08:56.080]  (英文)
[00:08:56.080 --> 00:09:00.720]  我看到一群鷹從這個地方飛出來
[00:09:00.720 --> 00:09:04.440]  (英文)
[00:09:04.440 --> 00:09:08.120]  從鴻桑理到元朗
[00:09:08.120 --> 00:09:09.920]  香港和更遠的地方
[00:09:09.920 --> 00:09:14.680]  (英文)
[00:09:14.800 --> 00:09:19.640]  這個建築物就是那個孕育的地方
[00:09:19.640 --> 00:09:24.080]  (英文)
[00:09:24.080 --> 00:09:25.040]  我再重複一次
[00:09:25.040 --> 00:09:28.120]  這個建築物就是那個孕育的地方
[00:09:28.120 --> 00:09:32.720]  (英文)
[00:09:32.720 --> 00:09:34.640]  所以在鷹巢裡享受你的一天
[00:09:34.640 --> 00:09:36.680]  因為很快你們會在那裡飛
