
[00:00:00.000 --> 00:00:01.800]   Everyone says, "Amen."
[00:00:01.800 --> 00:00:02.640]   Amen, amen.
[00:00:02.640 --> 00:00:04.600]   Okay, can we take our worship team as always?
[00:00:04.600 --> 00:00:06.400]   (congregation applauding)
[00:00:06.400 --> 00:00:07.720]   Have a seat, have a seat.
[00:00:07.720 --> 00:00:10.440]   As always, we're incredibly full here.
[00:00:10.440 --> 00:00:12.120]   So as you sit down and you realize
[00:00:12.120 --> 00:00:14.780]   that you might have a seat next to you,
[00:00:14.780 --> 00:00:16.680]   maybe just raise your hand.
[00:00:16.680 --> 00:00:20.960]   Our host will try and come and place people in seats.
[00:00:20.960 --> 00:00:22.540]   We have a couple of seats here.
[00:00:22.540 --> 00:00:23.960]   There's one here.
[00:00:23.960 --> 00:00:25.160]   There's one here, is that one?
[00:00:25.160 --> 00:00:26.560]   There's one here, you guys.
[00:00:26.560 --> 00:00:28.160]   (clicking)
[00:00:28.160 --> 00:00:29.580]   Anyone else need a seat?
[00:00:29.580 --> 00:00:30.920]   There's some seats around.
[00:00:30.920 --> 00:00:34.960]   If you're new to The Vine, welcome.
[00:00:34.960 --> 00:00:35.780]   We're so glad you're here.
[00:00:35.780 --> 00:00:36.620]   My name's Andrew.
[00:00:36.620 --> 00:00:38.400]   I'm one of the pastors here,
[00:00:38.400 --> 00:00:40.080]   and we're glad that you guys are a part
[00:00:40.080 --> 00:00:41.280]   of what we're doing here at The Vine.
[00:00:41.280 --> 00:00:43.480]   And if you're joining us online,
[00:00:43.480 --> 00:00:45.800]   welcome for wherever it is that you're tuning in online.
[00:00:45.800 --> 00:00:48.360]   We're in week three of a four-week series
[00:00:48.360 --> 00:00:50.440]   that we're starting at the beginning of this year,
[00:00:50.440 --> 00:00:52.400]   where we're looking at this idea
[00:00:52.400 --> 00:00:55.760]   that there are four mindset shifts
[00:00:55.760 --> 00:00:58.300]   that we need as people
[00:00:58.300 --> 00:01:01.360]   if we're gonna transition from the year of 2024,
[00:01:01.360 --> 00:01:04.540]   which here at The Vine was a year of intimacy with Jesus,
[00:01:04.540 --> 00:01:07.080]   to a year of what we're saying 2025 is about,
[00:01:07.080 --> 00:01:09.760]   a year of harvest, a year of birthing, a year of action.
[00:01:09.760 --> 00:01:12.160]   If we're gonna move from a place of intimacy
[00:01:12.160 --> 00:01:13.800]   to a place of action,
[00:01:13.800 --> 00:01:17.680]   there are four mindset shifts that are needed
[00:01:17.680 --> 00:01:20.360]   for us to move into all that God has for this year.
[00:01:20.360 --> 00:01:21.400]   And so this series,
[00:01:21.400 --> 00:01:24.600]   we're basing in the lives of Samuel and David,
[00:01:24.600 --> 00:01:26.280]   and we're looking at a very critical time
[00:01:26.280 --> 00:01:27.900]   of biblical history,
[00:01:27.900 --> 00:01:30.400]   the time where at the end of Samuel's life,
[00:01:30.400 --> 00:01:32.480]   he finishes his work as a judge
[00:01:32.480 --> 00:01:34.220]   and he anoints first Saul to be king,
[00:01:34.220 --> 00:01:37.200]   and then he anoints David to be king.
[00:01:37.200 --> 00:01:40.480]   And then David begins this moment in his life
[00:01:40.480 --> 00:01:43.880]   where he's preparing himself to become the king
[00:01:43.880 --> 00:01:46.200]   that the Jewish people in the Old Testament speak of
[00:01:46.200 --> 00:01:48.600]   as this Davidic dynasty.
[00:01:48.600 --> 00:01:51.200]   This time where the bloodline of David himself
[00:01:51.200 --> 00:01:54.680]   will go all the way to bringing in Jesus Christ.
[00:01:54.680 --> 00:01:56.040]   That moment of history
[00:01:56.040 --> 00:01:58.400]   is what we're looking at over this series.
[00:01:58.400 --> 00:02:00.100]   And it's such a critical moment
[00:02:00.100 --> 00:02:02.460]   because there is a transition that happens
[00:02:02.460 --> 00:02:04.520]   for both Samuel and David
[00:02:04.520 --> 00:02:07.040]   from a place of deep intimacy with the Lord
[00:02:07.040 --> 00:02:09.180]   to a place of being used by him
[00:02:09.180 --> 00:02:13.060]   to use their story for his glory.
[00:02:13.060 --> 00:02:14.500]   And as we dive into this,
[00:02:14.500 --> 00:02:16.140]   as I was just saying a moment ago,
[00:02:16.140 --> 00:02:19.920]   it's so easy for us to end up living someone else's story.
[00:02:19.920 --> 00:02:22.500]   It was tempting for Samuel and for David
[00:02:22.500 --> 00:02:24.180]   to remain in the story
[00:02:24.180 --> 00:02:26.100]   that someone else had written for them
[00:02:26.100 --> 00:02:27.740]   rather than release themselves
[00:02:27.740 --> 00:02:30.580]   with courage and boldness and bravery
[00:02:30.580 --> 00:02:33.180]   into the story God was asking them to live.
[00:02:33.180 --> 00:02:35.060]   And I honestly wanna just say one more time,
[00:02:35.060 --> 00:02:36.260]   as I look over you guys,
[00:02:36.260 --> 00:02:37.900]   I have such a burden in my heart.
[00:02:37.900 --> 00:02:42.700]   I'm so excited about the potential that is in this room,
[00:02:42.700 --> 00:02:45.420]   about the stories that God is already writing
[00:02:45.420 --> 00:02:47.580]   on your lives and in your hearts.
[00:02:47.580 --> 00:02:49.040]   And I believe that we can be released
[00:02:49.040 --> 00:02:50.300]   into that story even more
[00:02:50.300 --> 00:02:52.960]   as we open ourselves to what happens here.
[00:02:53.880 --> 00:02:56.440]   In the first week of this series,
[00:02:56.440 --> 00:02:58.920]   we talked about what it is to have a right start,
[00:02:58.920 --> 00:03:02.720]   how we can position ourselves to begin the journey well.
[00:03:02.720 --> 00:03:05.160]   Last week, Ellison took us through this incredible message
