
[00:00:00.000 --> 00:00:02.000]  好,大家聖誕快樂呀
[00:00:02.000 --> 00:00:04.000]  (聖誕快樂)
[00:00:04.000 --> 00:00:07.000]  好好的回應,大家快不快樂呀?
[00:00:07.000 --> 00:00:08.000]  (快樂)
[00:00:08.000 --> 00:00:10.000]  快樂,這一刻快樂,是嗎?
[00:00:10.000 --> 00:00:13.000]  今天我們聖誕節,其實理應大家都是
[00:00:13.000 --> 00:00:15.000]  普世歡騰,我們說,是嗎?
[00:00:15.000 --> 00:00:17.000]  很快樂去慶祝聖誕
[00:00:17.000 --> 00:00:19.000]  是嗎?外面應該是充滿著聖誕氣氛
[00:00:19.000 --> 00:00:24.000]  教會都理應是普世歡欣地去慶祝聖誕節
[00:00:24.000 --> 00:00:27.000]  但當我們回顧2025年的香港
[00:00:27.000 --> 00:00:30.000]  我們環顧我們的社會
[00:00:30.000 --> 00:00:32.000]  上個星期,上個月呀
[00:00:32.000 --> 00:00:36.000]  上個月剛剛才發生一個令人心碎的災難
[00:00:36.000 --> 00:00:43.000]  我們見到社會上仍然充斥著很多不開心的事
[00:00:43.000 --> 00:00:44.000]  不開心的人,是嗎?
[00:00:44.000 --> 00:00:46.000]  有很多怨氣,有很多憤怒
[00:00:46.000 --> 00:00:50.000]  當我們說要慶祝聖誕的時候
[00:00:50.000 --> 00:00:55.000]  其實當中我們發現有一個很深的矛盾
[00:00:55.000 --> 00:00:58.000]  是嗎?當我們很想去慶祝
[00:00:58.000 --> 00:01:02.000]  但其實我們心裏面是很有掙扎的
[00:01:02.000 --> 00:01:04.000]  是嗎?可能有人會問
[00:01:04.000 --> 00:01:07.000]  這樣的環境我們怎樣去慶祝聖誕?
[00:01:07.000 --> 00:01:11.000]  甚至有人會問,還有甚麼值得慶祝?
[00:01:11.000 --> 00:01:14.000]  在我們個人的生命層面上
[00:01:14.000 --> 00:01:18.000]  可能其實大家生活都充滿著很多矛盾
[00:01:18.000 --> 00:01:22.000]  是嗎?我們很想去得到平安
[00:01:22.000 --> 00:01:24.000]  我們很想去做一個很平安的事
[00:01:24.000 --> 00:01:27.000]  但其實我們裏面充滿著憂慮
[00:01:27.000 --> 00:01:29.000]  是嗎?我們很想得到喜樂
[00:01:29.000 --> 00:01:32.000]  但生活仍然沉重
[00:01:32.000 --> 00:01:34.000]  我們很想渴望得到愛
[00:01:34.000 --> 00:01:37.000]  但正在經歷關係的破裂破碎
[00:01:37.000 --> 00:01:40.000]  我們很想每天都充滿希望地生活
[00:01:40.000 --> 00:01:46.000]  但彷彿我們好像逃離不了這個殘酷的現實
[00:01:46.000 --> 00:01:49.000]  這個矛盾就好像有一句說話所說
[00:01:49.000 --> 00:01:51.000]  The elephant in the room
[00:01:51.000 --> 00:01:55.000]  即是說其實大家都意識到有些東西在
[00:01:55.000 --> 00:01:57.000]  大家都知道有些問題
[00:01:57.000 --> 00:01:59.000]  但只好避而不談
[00:01:59.000 --> 00:02:01.000]  今日聖誕主日
[00:02:01.000 --> 00:02:05.000]  我希望和大家一起走入這個矛盾裏面
[00:02:05.000 --> 00:02:08.000]  因為聖誕的真正意義
[00:02:08.000 --> 00:02:10.000]  原來在這個矛盾裏面
[00:02:10.000 --> 00:02:15.000]  我們才能夠見到它真正完全地呈現、彰顯出來
[00:02:15.000 --> 00:02:20.000]  首先我們要很誠實去承認一個事實
[00:02:20.000 --> 00:02:23.000]  人生本身就是充滿矛盾
[00:02:23.000 --> 00:02:26.000]  我們不想上班
[00:02:26.000 --> 00:02:28.000]  但不上班就沒有錢
[00:02:28.000 --> 00:02:29.000]  我們有病要看醫生
[00:02:29.000 --> 00:02:31.000]  但看醫生不想吃藥打針
[00:02:31.000 --> 00:02:33.000]  這個是最低級的矛盾
[00:02:33.000 --> 00:02:35.000]  最低層次的矛盾
[00:02:35.000 --> 00:02:36.000]  但很實在
[00:02:36.000 --> 00:02:37.000]  我們上一層
[00:02:37.000 --> 00:02:39.000]  我們很想做好人
[00:02:39.000 --> 00:02:42.000]  但總是會做錯事
[00:02:42.000 --> 00:02:44.000]  我們想愛人如己
[00:02:44.000 --> 00:02:47.000]  但時不時都會自私自利
[00:02:47.000 --> 00:02:50.000]  我們想去要恕人
[00:02:50.000 --> 00:02:53.000]  但總是會成為一個很記仇的人
[00:02:53.000 --> 00:02:56.000]  我們很想完全有信心
[00:02:56.000 --> 00:02:59.000]  但總是會有很多事令我們很懷疑、很掙扎
[00:02:59.000 --> 00:03:01.000]  不知是不是真的
[00:03:01.000 --> 00:03:05.000]  這個正是史圖保羅在《羅馬書》七章十八節裏所說的
[00:03:05.000 --> 00:03:06.000]  立志為善由得我
[00:03:06.000 --> 00:03:09.000]  但行出離由不得我
[00:03:09.000 --> 00:03:11.000]  我們再上一個層面
[00:03:11.000 --> 00:03:13.000]  這個是超越我們個人層面
[00:03:13.000 --> 00:03:15.000]  在社會層面上的矛盾
[00:03:15.000 --> 00:03:17.000]  我們期望有社會公義
[00:03:17.000 --> 00:03:21.000]  但不義仍然繼續橫行
[00:03:21.000 --> 00:03:23.000]  我們期望有和睦
[00:03:23.000 --> 00:03:27.000]  但紛爭、衝突不斷發生
[00:03:27.000 --> 00:03:29.000]  我們期望有真理
[00:03:29.000 --> 00:03:32.000]  但謊言充斥著這個世界
[00:03:32.000 --> 00:03:34.000]  今年的聖誕這個矛盾
[00:03:34.000 --> 00:03:36.000]  好像特別尖銳
[00:03:36.000 --> 00:03:39.000]  特別是針對我們每一個人
[00:03:39.000 --> 00:03:40.000]  當我們想到
[00:03:40.000 --> 00:03:43.000]  聖誕應該是普天歡慶
[00:03:43.000 --> 00:03:45.000]  普天同慶的時候
[00:03:45.000 --> 00:03:46.000]  我們卻是見到
[00:03:46.000 --> 00:03:47.000]  在這個城市的周圍
[00:03:47.000 --> 00:03:50.000]  有很多傷痛的眼淚
[00:03:50.000 --> 00:03:53.000]  但正正是因為這個矛盾
[00:03:53.000 --> 00:03:54.000]  我們會更加明白
[00:03:54.000 --> 00:03:58.000]  為什麼耶穌要來到這個世界
[00:03:58.000 --> 00:04:00.000]  耶穌要來到這個世界
[00:04:00.000 --> 00:04:03.000]  就是為了這個矛盾而來
