
[00:00:00.000 --> 00:00:03.800]  今日我們講題是「同心合意敬拜」
[00:00:03.800 --> 00:00:06.800]  有三點我希望透過今天的訊息帶給大家
[00:00:06.800 --> 00:00:08.400]  第一點
[00:00:08.400 --> 00:00:09.800]  「救恩」
[00:00:09.800 --> 00:00:16.800]  一個「救恩」是敬拜的起始點
[00:00:16.800 --> 00:00:18.200]  當我們讀今天的經文
[00:00:18.200 --> 00:00:21.200]  你會發現這一段在希伯來書的經文裏面
[00:00:21.200 --> 00:00:26.000]  其實是上兩星期Chadman和Enon講到的延續
[00:00:26.000 --> 00:00:28.400]  我們一起看看經文
[00:00:28.400 --> 00:00:33.400]  希伯來書10章19到25節
[00:00:33.400 --> 00:00:34.800]  所以弟兄們
[00:00:34.800 --> 00:00:36.800]  既然我們靠著耶穌的血
[00:00:36.800 --> 00:00:39.800]  得以坦然進入至聖所
[00:00:39.800 --> 00:00:44.400]  是藉著祂給我們開了一條又新又活的路
[00:00:44.400 --> 00:00:45.400]  從萬子經過
[00:00:45.400 --> 00:00:48.000]  這萬子就是他的身體
[00:00:48.000 --> 00:00:50.200]  既然我們有一位偉大
[00:00:50.200 --> 00:00:52.600]  祭司治理神的家
[00:00:52.600 --> 00:00:56.000]  那麼我們該用誠心和充足的信心
[00:00:56.000 --> 00:00:58.600]  和以蒙潔淨無愧的良心
[00:00:58.600 --> 00:01:01.200]  和清水洗淨了的身體
[00:01:01.200 --> 00:01:02.600]  來親近神
[00:01:02.600 --> 00:01:05.600]  我們要堅守所宣認的指望
[00:01:05.600 --> 00:01:06.800]  毫不動搖
[00:01:06.800 --> 00:01:09.600]  因為應許我們的那位是信實的
[00:01:09.600 --> 00:01:11.200]  我們要彼此相顧
[00:01:11.200 --> 00:01:12.400]  激發愛心
[00:01:12.400 --> 00:01:13.600]  勉勵行善
[00:01:13.600 --> 00:01:14.600]  不可停止聚會
[00:01:14.600 --> 00:01:17.000]  好在那些停止慣了的人
[00:01:17.000 --> 00:01:19.000]  都要彼此勸勉
[00:01:19.000 --> 00:01:21.000]  既然知道那日子臨近
[00:01:21.000 --> 00:01:24.600]  就更當如此
[00:01:24.600 --> 00:01:27.200]  兩星期前Chadman提到
[00:01:27.200 --> 00:01:31.400]  耶穌是因為愛的緣故成為了那個代罪羔羊
[00:01:31.400 --> 00:01:33.800]  他成為了那個憲制
[00:01:33.800 --> 00:01:34.800]  亦因為如此
[00:01:34.800 --> 00:01:37.000]  我們才能成為那個
[00:01:37.000 --> 00:01:42.000]  可以去敬拜上帝的那個流動聖殿
[00:01:42.000 --> 00:01:44.000]  記不記得那個流動聖殿
[00:01:44.000 --> 00:01:45.600]  今天的經文同樣提到
