
[00:00:00.000 --> 00:00:02.880]  謝謝 Ivan,我們給 Ivan 一點掌聲吧
[00:00:02.880 --> 00:00:05.480]  我們今日的程度是
[00:00:05.480 --> 00:00:07.480]  在一件事上已經可以看得到
[00:00:07.480 --> 00:00:12.000]  話說,前幾個星期我全家都有紅眼症
[00:00:12.000 --> 00:00:14.000]  全部都病完,我都沒事
[00:00:14.000 --> 00:00:16.000]  都沒事,幾個星期
[00:00:16.000 --> 00:00:18.480]  然後剛剛這個星期 Ivan 都有紅眼症
[00:00:18.480 --> 00:00:22.280]  他病完之後,昨晚我就開始眼睛有點不舒服了
[00:00:22.280 --> 00:00:26.680]  我們今日的程度已經在這個位置流露了出來
[00:00:26.680 --> 00:00:32.680]  首先很想感謝大家的愛和支持
[00:00:32.680 --> 00:00:37.280]  請大家繼續為我們這個計劃,為我們的教會禱告
[00:00:37.280 --> 00:00:43.680]  我們正在學習如何去服侍在我們這個城市裏面年輕的一代
[00:00:43.680 --> 00:00:47.680]  在過去幾個星期裏,我覺得這件事是很巧合的
[00:00:47.680 --> 00:00:51.480]  無獨有偶,這幾個星期,這個港獨的系列
[00:00:51.480 --> 00:00:53.480]  我們圍繞著聖經裏面的一個人
[00:00:53.480 --> 00:00:56.880]  而在之前幾個星期裏,我在這裏看的就是這個人
[00:00:56.880 --> 00:01:00.880]  他在他17歲,到今天我們會說到30歲
[00:01:00.880 --> 00:01:04.280]  這個年輕時期,這個青年時期的時候
[00:01:04.280 --> 00:01:07.280]  他生命裏面經歷的事情,他遭遇的事情
[00:01:07.280 --> 00:01:13.080]  今日我們會來看他大約30歲的時候發生的事情
[00:01:13.080 --> 00:01:16.680]  不過我們知道儘管這個人約瑟他生活在幾千年前
[00:01:16.680 --> 00:01:18.280]  在一個很遙遠的角度
[00:01:18.280 --> 00:01:21.080]  A long time ago in a galaxy far far away
[00:01:21.080 --> 00:01:23.280]  雖然他生活在一個很遙遠的角度
[00:01:23.280 --> 00:01:26.480]  一個很遙遠的文化,在一個很遙遠的時間裏面
[00:01:26.480 --> 00:01:29.480]  但我們知道他生命裏面經歷的掙扎
[00:01:29.480 --> 00:01:31.480]  他生命裏面經歷的困難
[00:01:31.480 --> 00:01:34.880]  其實和我們今時今日在這個城市裏面
[00:01:34.880 --> 00:01:37.280]  在這個時間裏面,我們自己經歷
[00:01:37.280 --> 00:01:40.880]  或者我們的年輕人所經歷的掙扎和困難
[00:01:40.880 --> 00:01:42.480]  其實都是很相似
[00:01:42.480 --> 00:01:50.280]  約瑟的故事可能都會和我們的生命的故事有一個共鳴
[00:01:50.280 --> 00:01:53.280]  那些生命裏面的掙扎和破碎
[00:01:53.280 --> 00:01:55.080]  這些生命的掙扎和破碎
[00:01:55.080 --> 00:01:58.080]  有時怎樣都會塑造了我們自己的身份
[00:01:58.080 --> 00:02:00.080]  或者成為我們的一部份
[00:02:00.080 --> 00:02:02.480]  例如有些人當他不斷去喝酒的時候
[00:02:02.480 --> 00:02:05.080]  慢慢他會有個名字就是那個叫醉酒
[00:02:05.080 --> 00:02:06.480]  英文叫做Alcoholic
[00:02:06.480 --> 00:02:08.480]  這件事會變成了一個身份
[00:02:08.480 --> 00:02:11.280]  那些不停去不能夠
[00:02:11.280 --> 00:02:14.680]  在他的不安全感裏面不能夠停止去說謊的人
[00:02:14.680 --> 00:02:17.280]  那些人會給一個名字叫做謊言症
[00:02:17.280 --> 00:02:20.680]  我們會發現我們生命裏面的破碎和掙扎
[00:02:20.680 --> 00:02:24.080]  會慢慢地成為我們生命裏面的一部份
[00:02:24.080 --> 00:02:26.280]  或者成為我們身份的一部份
[00:02:26.280 --> 00:02:31.480]  這就是約瑟他生命裏面去經歷的
[00:02:31.480 --> 00:02:33.480]  都是我們生命裏面去經歷的事
[00:02:33.480 --> 00:02:38.080]  在我18歲那一年考A級
[00:02:38.080 --> 00:02:41.480]  考到最後一科是要考中文的oral
[00:02:41.480 --> 00:02:43.080]  即是中文的口試
[00:02:43.080 --> 00:02:44.480]  中文的oral A level
[00:02:44.480 --> 00:02:45.680]  我不知道DS現在是怎樣
[00:02:45.680 --> 00:02:48.080]  我沒有考過中文A level的oral分兩部分
[00:02:48.080 --> 00:02:49.880]  第一部份是他給你一條題目
[00:02:49.880 --> 00:02:50.880]  十分鐘時間準備
[00:02:50.880 --> 00:02:53.080]  然後三分鐘你要做一個短講
[00:02:53.080 --> 00:02:57.080]  第二部份就是你要去做一個小組的討論
[00:02:57.080 --> 00:02:59.480]  當我去到市場裏面的時候
[00:02:59.480 --> 00:03:01.880]  我收到一張字條
[00:03:01.880 --> 00:03:04.280]  講了我那條題目是甚麼
[00:03:04.280 --> 00:03:06.880]  我那條題目是在這裏
[00:03:06.880 --> 00:03:12.080]  給我同年級同年的我最好的一份禮物
[00:03:12.080 --> 00:03:15.080]  三分鐘開始的時候
[00:03:15.080 --> 00:03:16.680]  我第一句說話是這樣說
[00:03:16.680 --> 00:03:19.880]  如果可以的話
[00:03:19.880 --> 00:03:22.680]  對於三歲的我來講
[00:03:22.680 --> 00:03:25.680]  最好的禮物一定是我媽媽
[00:03:25.680 --> 00:03:30.280]  我知道當我說完這句說話之後
[00:03:30.280 --> 00:03:32.480]  全場的觀眾就立刻所有人看著我
[00:03:32.480 --> 00:03:34.080]  全場的觀眾其實只有兩個
[00:03:34.080 --> 00:03:35.680]  一男一女的考官
[00:03:35.680 --> 00:03:38.480]  兩個立刻聚精會神地看著我
[00:03:38.480 --> 00:03:39.480]  三分鐘的時間裏面
[00:03:39.480 --> 00:03:42.880]  我就開始由我小時候的人生開始去講起
[00:03:42.880 --> 00:03:44.280]  怎樣在我三歲的時候
[00:03:44.280 --> 00:03:46.480]  我媽媽因為癌症離開了這個世界
[00:03:46.480 --> 00:03:47.480]  然後
[00:03:47.480 --> 00:03:49.480]  thanks to my youth pastor
[00:03:49.480 --> 00:03:51.080]  即是我的青年的牧者
[00:03:51.080 --> 00:03:53.280]  他在我年輕的時候
[00:03:53.280 --> 00:03:54.480]  在我們中學的時候
