
[00:00:00.000 --> 00:00:02.000]   Amazing, amazing.
[00:00:02.000 --> 00:00:05.000]   Well, welcome to The Vine once again.
[00:00:05.000 --> 00:00:07.000]   We're so glad that you're with us.
[00:00:07.000 --> 00:00:09.000]   It's something that we've been sensing as a leadership,
[00:00:09.000 --> 00:00:12.000]   this pastoral presence of the Holy Spirit with us.
[00:00:12.000 --> 00:00:15.000]   And I think we felt that really deeply this morning.
[00:00:15.000 --> 00:00:18.000]   I know that we're going to continue to feel that deeply
[00:00:18.000 --> 00:00:21.000]   as I invite Susanna to come and to be with us.
[00:00:21.000 --> 00:00:24.000]   And I'm going to need to grab this.
[00:00:24.000 --> 00:00:26.000]   Can we stretch out our hands?
[00:00:26.000 --> 00:00:29.000]   Susanna will be familiar to many of us here at The Vine,
[00:00:29.000 --> 00:00:30.000]   but if you're relatively new,
[00:00:30.000 --> 00:00:32.000]   Susanna is one of our elders here at the church.
[00:00:32.000 --> 00:00:37.000]   We have an amazing group of men and women that lead this church spiritually
[00:00:37.000 --> 00:00:40.000]   and govern this church diligently.
[00:00:40.000 --> 00:00:42.000]   Susanna has been doing that, I don't know what it is,
[00:00:42.000 --> 00:00:44.000]   nine years or something like that.
[00:00:44.000 --> 00:00:48.000]   And she's been an incredible blessing to Chris and I and to I know many of you.
[00:00:48.000 --> 00:00:49.000]   And she has a real pastoral gift.
[00:00:49.000 --> 00:00:52.000]   And I know that what's on her heart today is important to all of us.
[00:00:52.000 --> 00:00:55.000]   I'm going to show up and pray for you in Jesus' name.
[00:00:55.000 --> 00:00:56.000]   Let's pray.
[00:00:56.000 --> 00:01:00.000]   Father, we just thank you so much for Susanna Glenn, the kids,
[00:01:00.000 --> 00:01:06.000]   for the mantle of authority that is placed upon Susanna here at The Vine,
[00:01:06.000 --> 00:01:12.000]   her pastoral gift to teach and to share out of what you've done in her life.
[00:01:12.000 --> 00:01:15.000]   Lord, we open up our hearts to all that you have to say to us today
[00:01:15.000 --> 00:01:17.000]   through Psalm 27.
[00:01:17.000 --> 00:01:18.000]   We thank you for this in Jesus' name.
[00:01:18.000 --> 00:01:19.000]   Amen.
[00:01:19.000 --> 00:01:24.000]   Good morning.
[00:01:24.000 --> 00:01:28.000]   I get the privilege of continuing this series on waiting.
[00:01:28.000 --> 00:01:33.000]   And today we're looking at the gift of waiting, pursuit, and presence.
[00:01:33.000 --> 00:01:37.000]   And we're going to continue to explore Psalm 27 and we're going to focus in
[00:01:37.000 --> 00:01:40.000]   on verses four to six today.
[00:01:40.000 --> 00:01:45.000]   One thing I ask from the Lord, this only do I seek,
[00:01:45.000 --> 00:01:52.000]   that I may dwell in the house of the Lord all the days of my life,
[00:01:52.000 --> 00:01:56.000]   to gaze on the beauty of the Lord and to seek him in his temple.
[00:01:56.000 --> 00:02:02.000]   For in the day of trouble he will keep me safe in his dwelling.
[00:02:02.000 --> 00:02:10.000]   He will hide me in the shelter of his sacred tent and set me high upon a rock.
[00:02:10.000 --> 00:02:14.000]   Then my head will be exalted above the enemies who surround me.
[00:02:14.000 --> 00:02:19.000]   At his sacred tent I will sacrifice with shouts of joy.
[00:02:19.000 --> 00:02:24.000]   I will sing and make music to the Lord.
[00:02:24.000 --> 00:02:32.000]   Three weeks ago a friend of mine invited me to a float experience.
[00:02:32.000 --> 00:02:35.000]   You enter a large -- you can see up here a picture of it.
[00:02:35.000 --> 00:02:42.000]   You enter a large domed futuristic capsule which is filled with warm water
[00:02:42.000 --> 00:02:49.000]   that has an extremely high concentration of Epsom salts diluted in it.
[00:02:49.000 --> 00:02:51.000]   The pod has a lid.
[00:02:51.000 --> 00:02:52.000]   You enter.
[00:02:52.000 --> 00:02:54.000]   You lie down.
[00:02:54.000 --> 00:02:57.000]   You shut the lid.
[00:02:57.000 --> 00:03:01.000]   And when you lay down, you are very buoyant because of the Epsom salts
[00:03:01.000 --> 00:03:05.000]   that are diluted in the water.
[00:03:05.000 --> 00:03:13.000]   And then you float for an hour in complete darkness and quiet.
[00:03:13.000 --> 00:03:19.000]   Some of you who are claustrophobic are going, "Oh, I can't think of anything else."
[00:03:19.000 --> 00:03:22.000]   There's nothing to distract you.
[00:03:22.000 --> 00:03:26.000]   There's nothing to do but wait.
[00:03:26.000 --> 00:03:31.000]   And so knowing I was going to speak today on the topic of waiting,
[00:03:31.000 --> 00:03:35.000]   I started a conversation with God.
[00:03:35.000 --> 00:03:39.000]   And I said, "What's the deal with waiting?
[00:03:39.000 --> 00:03:43.000]   Why is it so important?"
[00:03:43.000 --> 00:03:48.000]   I feel like I'm a true Hong Konger now having said those questions.
[00:03:48.000 --> 00:03:49.000]   What's the deal with waiting?
[00:03:49.000 --> 00:03:52.000]   Why is it so important?
[00:03:52.000 --> 00:03:57.000]   This is what I heard in response to my questions.
[00:03:57.000 --> 00:04:04.000]   We wait for what we value.
[00:04:04.000 --> 00:04:07.000]   We pursue what we value.
[00:04:07.000 --> 00:04:14.000]   Andrew said in week one that in this world no one likes to wait.
[00:04:14.000 --> 00:04:23.000]   So when we do choose to wait to actively lean in, it's for something we truly value.
[00:04:23.000 --> 00:04:29.000]   God reminded me of a recent moment after church, my family and I,
[00:04:29.000 --> 00:04:32.000]   we went to Samson Restaurant.
[00:04:32.000 --> 00:04:35.000]   We wanted to have Thai food for lunch.
[00:04:35.000 --> 00:04:40.000]   But when we got there, there was a big - you know what it is, right?
[00:04:40.000 --> 00:04:43.000]   A big queue, a big line.
[00:04:43.000 --> 00:04:48.000]   Because it has incredible Thai food and everybody knows it.
[00:04:48.000 --> 00:04:55.000]   We joined the line and we started waiting, anticipating the yummy food that we would have.
[00:04:55.000 --> 00:05:01.000]   But after a few minutes of not moving at all
[00:05:01.000 --> 00:05:07.000]   and looking at the long stretch of people in front of us,
[00:05:07.000 --> 00:05:10.000]   we decided to leave.
[00:05:10.000 --> 00:05:15.000]   We crossed the road, we entered a building, we went up a flight of stairs
[00:05:15.000 --> 00:05:19.000]   and we went into another Thai restaurant.
[00:05:19.000 --> 00:05:21.000]   There was no wait.
[00:05:21.000 --> 00:05:24.000]   There was plenty of tables.
[00:05:24.000 --> 00:05:28.000]   And very soon we had food on the table and we were eating.
[00:05:28.000 --> 00:05:37.000]   However, there was a price to us not waiting.
[00:05:37.000 --> 00:05:44.000]   I've eaten the food of Samson's before and I can tell you it is really good.
[00:05:44.000 --> 00:05:48.000]   And I've now eaten the food of this other Thai place.
[00:05:48.000 --> 00:05:51.000]   And the food was nowhere near as good.
[00:05:51.000 --> 00:05:56.000]   It filled us up, but it was nowhere near as good.
[00:05:56.000 --> 00:06:05.000]   And God said to me, "Susanna, when you lose sight of the value of something, you stop waiting.
[00:06:05.000 --> 00:06:11.000]   And you start to pursue quicker alternative substitutes.
[00:06:11.000 --> 00:06:16.000]   Alternative routes even that are not as good.
[00:06:16.000 --> 00:06:20.000]   You settle for lesser versions."
[00:06:20.000 --> 00:06:26.000]   Andrew spoke to us recently about how many of us had created lesser versions of Jesus.
[00:06:26.000 --> 00:06:29.000]   You know, the Jesus that kind of fits with our worldview,
[00:06:29.000 --> 00:06:35.000]   that makes us feel comfortable and doesn't challenge us to change.
[00:06:35.000 --> 00:06:40.000]   This is what happens when we don't wait on Jesus.
[00:06:40.000 --> 00:06:50.000]   Lying in that pod, I felt convicted that I had lost sight of the value of Jesus.
[00:06:50.000 --> 00:06:56.000]   Lost sight of the value of actively slowing down and waiting.
[00:06:56.000 --> 00:07:07.000]   And by losing sight of the value of waiting for Jesus, my life was being filled up with substitutes.
[00:07:07.000 --> 00:07:12.000]   I was pursuing lesser things.
[00:07:12.000 --> 00:07:20.000]   God gave me a taste in that pod of what it's like when we truly wait.
[00:07:20.000 --> 00:07:23.000]   He reminded me of my worth.
[00:07:23.000 --> 00:07:28.000]   He realigned my identity to match how he saw me.
[00:07:28.000 --> 00:07:34.000]   He encouraged me to believe in the more.
[00:07:34.000 --> 00:07:39.000]   You see, when we have a lesser version of Jesus,
[00:07:39.000 --> 00:07:47.000]   we get contained because it's like we put him in this box that we can handle.
[00:07:47.000 --> 00:07:53.000]   And what also gets contained is your creativity, your belief,
[00:07:53.000 --> 00:07:57.000]   your understanding of what he's capable of doing.
[00:07:57.000 --> 00:08:03.000]   And the real Jesus that I encountered in the waiting in that pod,
[00:08:03.000 --> 00:08:09.000]   he blew out the edges of my dreaming.
[00:08:09.000 --> 00:08:15.000]   And anticipation for the future was reignited in me.
[00:08:15.000 --> 00:08:19.000]   Waiting is for our benefit.
[00:08:19.000 --> 00:08:24.000]   Psalm 103, 14 says, "For he knows our frame.
[00:08:24.000 --> 00:08:28.000]   He remembers that we are dust."
[00:08:28.000 --> 00:08:30.000]   God compassionately understands us.
[00:08:30.000 --> 00:08:32.000]   He created us.
[00:08:32.000 --> 00:08:37.000]   He understands our limitations and our frailties.
[00:08:37.000 --> 00:08:41.000]   This verse, he remembers that we are dust.
[00:08:41.000 --> 00:08:47.000]   It makes me smile because dust gets everywhere.
[00:08:47.000 --> 00:08:49.000]   It flies off in every direction.
[00:08:49.000 --> 00:08:50.000]   It swirls.
[00:08:50.000 --> 00:08:54.000]   It clings to things it shouldn't.
[00:08:54.000 --> 00:08:57.000]   Have you ever run your finger across something in your home and gone,
[00:08:57.000 --> 00:09:02.000]   "Ugh, how did dust get here?"
[00:09:02.000 --> 00:09:08.000]   It makes me smile because it's such an accurate depiction of us.
[00:09:08.000 --> 00:09:13.000]   Yes, God made us from the dust, but the way we live in this modern world,
[00:09:13.000 --> 00:09:20.000]   with our scattered thoughts, our constant movement, our distractions,
[00:09:20.000 --> 00:09:26.000]   our connection and clinging to things that we shouldn't.
[00:09:26.000 --> 00:09:33.000]   God knows this about us and he whispers, "Be still."
