
[00:00:00.000 --> 00:00:02.000]   Have a seat.
[00:00:02.000 --> 00:00:08.440]   So in this penultimate week of our Exodus series,
[00:00:08.440 --> 00:00:12.600]   this saga of a series that we've been in for 25 weeks or whatever it is,
[00:00:12.600 --> 00:00:18.800]   we come to the moment where Israel finally departs from Mount Sinai
[00:00:18.800 --> 00:00:21.600]   and begins to head towards the Promised Land,
[00:00:21.600 --> 00:00:26.000]   a place that has been promised to them for generations and generations.
[00:00:26.300 --> 00:00:31.800]   Up to this point in the narrative, Israel has actually been camped at Mount Sinai for a year.
[00:00:31.800 --> 00:00:33.800]   They've been there for almost a year.
[00:00:33.800 --> 00:00:35.600]   And when they arrived at Mount Sinai,
[00:00:35.600 --> 00:00:37.800]   we've seen over the last number of weeks here at the Vine
[00:00:37.800 --> 00:00:41.500]   that they arrived free but stripped of their identity.
[00:00:41.500 --> 00:00:45.300]   They didn't really know who they were now called to be in freedom.
[00:00:45.300 --> 00:00:49.000]   And we've been seeing in this series that that's so often the case for us,
[00:00:49.000 --> 00:00:51.300]   that Christ frees us from our sin,
[00:00:51.300 --> 00:00:54.800]   but we find ourselves wondering who are we now in this freedom?
[00:00:54.800 --> 00:00:57.500]   How should we now live in our freedom?
[00:00:57.500 --> 00:01:01.700]   And we saw that God began to speak to Israel deeply about that journey
[00:01:01.700 --> 00:01:03.900]   that they're in now to discover who they truly are.
[00:01:03.900 --> 00:01:06.000]   He spoke to them about being a holy nation,
[00:01:06.000 --> 00:01:08.800]   about being a kingdom of priests.
[00:01:08.800 --> 00:01:12.500]   He spoke to them about the idea of a law that should be amongst them,
[00:01:12.500 --> 00:01:15.800]   a law that we come to understand as the Ten Commandments and the Mosaic Law,
[00:01:15.800 --> 00:01:20.800]   but it's a law that at its very core is structured to help us to have a relationship with God,
[00:01:20.800 --> 00:01:22.200]   a relationship with ourselves,
[00:01:22.200 --> 00:01:24.600]   and then a relationship with the people around us.
[00:01:24.800 --> 00:01:27.200]   And out of all of this identity forming Israel,
[00:01:27.200 --> 00:01:30.200]   who are trying to be by God shaped into a people
[00:01:30.200 --> 00:01:32.700]   that could be his hands and feet in the world,
[00:01:32.700 --> 00:01:35.000]   Israel struggles straight away.
[00:01:35.000 --> 00:01:37.800]   And we saw a few weeks ago that they fall into idolatry,
[00:01:37.800 --> 00:01:40.000]   the second commandment that God says,
[00:01:40.000 --> 00:01:41.800]   "Don't make an idol, don't make an image."
[00:01:41.800 --> 00:01:45.000]   They fall into that reality very quickly.
[00:01:45.000 --> 00:01:46.400]   And in that place of idolatry,
[00:01:46.400 --> 00:01:51.500]   they begin to live out an identity that wasn't the identity that God had called them to be.
