
[00:00:00.000 --> 00:00:01.920]  電影姊妹,其實今天的分享
[00:00:01.920 --> 00:00:06.000]  是延續上星期Pastor Chapman的分享
[00:00:06.000 --> 00:00:08.600]  因為我今天的分享
[00:00:08.600 --> 00:00:11.600]  其實是跟他上星期說到的
[00:00:11.600 --> 00:00:13.760]  《加拿大書》第五章的分享
[00:00:13.760 --> 00:00:15.920]  可以說是上下集
[00:00:15.920 --> 00:00:18.800]  因為上星期Pastor Chapman
[00:00:18.800 --> 00:00:22.040]  說到關於自由的問題
[00:00:22.040 --> 00:00:23.000]  對吧?電影姊妹
[00:00:23.000 --> 00:00:24.680]  他說到自由有兩方面
[00:00:24.680 --> 00:00:27.320]  一方面是negative freedom
[00:00:27.320 --> 00:00:29.080]  即是消極的自由
[00:00:29.160 --> 00:00:30.720]  電影姊妹,記得他說甚麼嗎
[00:00:30.720 --> 00:00:33.200]  先溫習一下
[00:00:33.200 --> 00:00:35.400]  他說到消極自由
[00:00:35.400 --> 00:00:38.720]  其實是指當我們理解自由時
[00:00:38.720 --> 00:00:40.880]  我們會第一時間想到一件事
[00:00:40.880 --> 00:00:43.800]  自由就是甚麼都不用理會
[00:00:43.800 --> 00:00:45.960]  我怎樣做都可以
[00:00:45.960 --> 00:00:48.520]  我沒有任何束縛
[00:00:48.520 --> 00:00:50.880]  在我實踐自由的時候
[00:00:50.880 --> 00:00:53.200]  這就叫做negative freedom
[00:00:53.200 --> 00:00:54.600]  消極的自由
[00:00:54.600 --> 00:00:55.440]  但很多時候
[00:00:55.440 --> 00:00:58.040]  當我們從這種角度理解自由時
[00:00:58.120 --> 00:01:01.680]  你會發覺很容易誤解自由的意思
[00:01:01.680 --> 00:01:02.560]  我們會覺得
[00:01:02.560 --> 00:01:06.640]  即是我做某件事或做任何事時
[00:01:06.640 --> 00:01:08.240]  我不需要理會後果
[00:01:08.240 --> 00:01:12.880]  亦不需要為自己的行為負責
[00:01:12.880 --> 00:01:16.480]  很多時候會趨向這種情況發生
[00:01:16.480 --> 00:01:19.040]  所以上星期Chapman分享時
[00:01:19.040 --> 00:01:21.720]  他說做父母很怕小朋友
[00:01:21.720 --> 00:01:24.960]  很想履行他的消極自由
[00:01:24.960 --> 00:01:26.200]  因為當他到處走時
[00:01:26.280 --> 00:01:27.760]  就會很害怕,會死火
[00:01:27.760 --> 00:01:29.040]  如果他跌倒又怎麼辦
[00:01:29.040 --> 00:01:31.120]  如果他撞傷又怎麼辦
[00:01:31.120 --> 00:01:34.840]  當然,除了negative freedom之外
[00:01:34.840 --> 00:01:36.760]  其實自由有另一個理解
[00:01:36.760 --> 00:01:38.960]  就是positive freedom
