
[00:00:00.000 --> 00:00:00.840]   - Amen.
[00:00:00.840 --> 00:00:02.760]   - Amen, thank you Carla.
[00:00:02.760 --> 00:00:04.380]   Good morning everybody.
[00:00:04.380 --> 00:00:07.120]   How are you guys doing?
[00:00:07.120 --> 00:00:09.420]   Good, well we are starting a brand new series
[00:00:09.420 --> 00:00:12.460]   and I wanna kick this off by telling you a story
[00:00:12.460 --> 00:00:15.140]   of, I think, when was it?
[00:00:15.140 --> 00:00:18.920]   July 3rd, 2018.
[00:00:18.920 --> 00:00:22.960]   I had this experience, this really big,
[00:00:22.960 --> 00:00:25.760]   life-changing, life-altering,
[00:00:25.760 --> 00:00:27.880]   hit me at my core kind of experience.
[00:00:27.880 --> 00:00:29.960]   An experience, an encounter actually,
[00:00:29.960 --> 00:00:33.160]   that has stayed with me every day,
[00:00:33.160 --> 00:00:34.620]   literally every day since.
[00:00:34.620 --> 00:00:37.400]   It has shaped who I am in so many ways.
[00:00:37.400 --> 00:00:39.520]   It has given me things to think about.
[00:00:39.520 --> 00:00:43.360]   It was unexpected, things didn't go according to plan,
[00:00:43.360 --> 00:00:44.320]   but it stuck with me.
[00:00:44.320 --> 00:00:47.480]   I wanna share with you about the time I had dinner
[00:00:47.480 --> 00:00:48.680]   with Pastor Jethro.
[00:00:48.680 --> 00:00:51.160]   Who's sitting over there?
[00:00:51.160 --> 00:00:52.680]   So let me tell you about Jethro.
[00:00:52.680 --> 00:00:55.040]   Back in 2018, I was new to the Vine.
[00:00:55.040 --> 00:00:58.160]   I'd been here for a few months maybe.
[00:00:58.160 --> 00:01:00.640]   I was a worship pastor and I was learning the ropes
[00:01:00.640 --> 00:01:02.160]   and trying to get to know everyone here.
[00:01:02.160 --> 00:01:04.060]   So Jethro was a core team member.
[00:01:04.060 --> 00:01:06.600]   He was like the best keyboard player on the team.
[00:01:06.600 --> 00:01:08.080]   And I'm like, I'm gonna get to know Jethro.
[00:01:08.080 --> 00:01:10.320]   I'm gonna learn some things about this team.
[00:01:10.320 --> 00:01:11.580]   So I ask him to dinner.
[00:01:11.580 --> 00:01:12.960]   And we're texting back and forth,
[00:01:12.960 --> 00:01:14.240]   like us young people do.
[00:01:14.240 --> 00:01:16.880]   And I'm like, yo Jeth, let's have dinner.
[00:01:16.880 --> 00:01:18.160]   He's like, all right, cool.
[00:01:18.160 --> 00:01:19.720]   Where do you wanna go?
[00:01:19.720 --> 00:01:21.200]   So this is my version of the story.
[00:01:21.200 --> 00:01:23.500]   You can fact check me later if Jethro says otherwise.
[00:01:23.500 --> 00:01:26.200]   But what happened was, I texted him.
[00:01:26.200 --> 00:01:28.340]   I'm like, LCK, okay?
[00:01:28.340 --> 00:01:30.760]   Now, if you spend all your time on Hong Kong Island,
[00:01:30.760 --> 00:01:31.740]   you don't know what LCK is.
[00:01:31.740 --> 00:01:34.000]   But if you ever go to Kowloon,
[00:01:34.000 --> 00:01:36.360]   LCK stands for Lai Chi Kok, right?
[00:01:36.360 --> 00:01:37.400]   That's where I used to live.
[00:01:37.400 --> 00:01:38.240]   That was my hood.
[00:01:38.240 --> 00:01:39.640]   All the CIS teachers are clapping
[00:01:39.640 --> 00:01:41.640]   'cause that's their hood as well.
[00:01:41.640 --> 00:01:43.420]   So I say, LCK, okay?
[00:01:43.420 --> 00:01:45.600]   And that was the last of kind of
[00:01:45.600 --> 00:01:47.480]   what I thought the conversation was.
[00:01:47.480 --> 00:01:50.060]   I don't know, about like 30, 45 minutes, an hour later,
[00:01:50.060 --> 00:01:51.880]   I get a message from Jethro and it says,
[00:01:51.880 --> 00:01:53.140]   I'm in Wan Chai.
[00:01:53.140 --> 00:01:55.200]   I'm like, what's wrong with Jethro, right?
[00:01:55.200 --> 00:01:56.200]   Like, I'm just getting to know him.
[00:01:56.200 --> 00:01:57.640]   I'm like, what's his issue?
[00:01:57.640 --> 00:01:58.760]   So I look at my phone and I'm like,
[00:01:58.760 --> 00:01:59.600]   why are you in Wan Chai?
[00:01:59.600 --> 00:02:01.400]   He goes, dinner, dot, dot, dot, question mark,
[00:02:01.400 --> 00:02:03.180]   with a little creepy eye emoji.
[00:02:03.180 --> 00:02:05.640]   So then I go back and I'm like,
[00:02:05.640 --> 00:02:07.200]   why does he think we're supposed to be in?
[00:02:07.200 --> 00:02:08.120]   So I go back to my messages.
[00:02:08.120 --> 00:02:09.680]   I'm like, about to call him out,
[00:02:09.680 --> 00:02:10.800]   be like, buddy, learn how to read.
[00:02:10.800 --> 00:02:12.760]   So I'm scrolling through and I'm like,
[00:02:12.760 --> 00:02:17.520]   oh no, I realized that I had been a victim of autocorrect.
[00:02:17.520 --> 00:02:20.600]   See, I had typed LCK, okay, right?
[00:02:20.600 --> 00:02:21.760]   So LCK, okay.
[00:02:22.640 --> 00:02:26.320]   What came out was, pick, P-I-C-K.
[00:02:26.320 --> 00:02:28.080]   So Jethro did that, he picked.
[00:02:28.080 --> 00:02:29.560]   And he picked Wan Chai.
[00:02:29.560 --> 00:02:33.480]   And I was in, and apparently I actually agreed to this.
[00:02:33.480 --> 00:02:35.640]   So he went back and read the messages
[00:02:35.640 --> 00:02:37.600]   and apparently I'm not thinking when I'm responding.
[00:02:37.600 --> 00:02:39.480]   He's like, yeah, yeah, sure, sure, sure, whatever.
[00:02:39.480 --> 00:02:41.200]   So I'd actually agreed to the thumbs up
[00:02:41.200 --> 00:02:42.400]   to coming to Wan Chai.
[00:02:42.400 --> 00:02:45.100]   And I'm standing in Lai Chi Kok MTR waiting for Jethro.
[00:02:45.100 --> 00:02:46.440]   He's in Wan Chai waiting for me.
[00:02:46.440 --> 00:02:48.840]   And Jethro, being the saint that he is,
[00:02:48.840 --> 00:02:52.400]   leaves Wan Chai and goes all the way to Lai Chi Kok.
[00:02:52.400 --> 00:02:55.480]   Let me explain, he was in Science Park up in Taipo,
[00:02:55.480 --> 00:02:59.120]   came all the way down to, oh, yes, feel bad for him.
[00:02:59.120 --> 00:03:01.360]   I'm a terrible friend, that's the moral of the story.
[00:03:01.360 --> 00:03:04.440]   But regardless, this has never left me
[00:03:04.440 --> 00:03:08.420]   because Jethro to this day still judges me for my typos,
[00:03:08.420 --> 00:03:11.540]   regularly coming at me about the typos that I have,
[00:03:11.540 --> 00:03:14.520]   whether it's in the WhatsApp message or in like an email,
[00:03:14.520 --> 00:03:16.240]   anything, he's always looking at my typos.
[00:03:16.240 --> 00:03:18.200]   It's the one thing he focuses on.
[00:03:18.200 --> 00:03:21.160]   To the point where my birthday was this past Thursday.
[00:03:21.160 --> 00:03:24.680]   I turn 34 and I'm excited and I get my first happy birthday
[00:03:24.680 --> 00:03:27.280]   and it's from my friend Jethro, which is great.
[00:03:27.280 --> 00:03:29.680]   But then online, so that everyone can see it,
[00:03:29.680 --> 00:03:31.640]   he posts this beautiful post.
[00:03:31.640 --> 00:03:34.400]   Thanks for coming into my life and staying into my life.
[00:03:34.400 --> 00:03:36.800]   But in that same post, he's like, I love you,
[00:03:36.800 --> 00:03:37.840]   typos and all.
[00:03:37.840 --> 00:03:40.280]   The shade, y'all.
[00:03:40.280 --> 00:03:42.480]   He just has not left me alone.
[00:03:42.480 --> 00:03:44.680]   This was not just an experience,
[00:03:44.680 --> 00:03:49.120]   it was an encounter with Jethro and with proofreading
[00:03:49.120 --> 00:03:50.520]   and with autocorrect.
[00:03:50.520 --> 00:03:52.720]   And let me just say, I have learned my lesson,
[00:03:52.720 --> 00:03:54.760]   or I try at least, I think I still have some typos
[00:03:54.760 --> 00:03:58.440]   here and there, but it stayed with me.
[00:03:58.440 --> 00:04:00.960]   I share this because it was more than an experience,
[00:04:00.960 --> 00:04:02.800]   it was an encounter, it's something that has,
[00:04:02.800 --> 00:04:03.760]   it has actually shaped me.
[00:04:03.760 --> 00:04:06.080]   I really do think about what I text and I do go back
[00:04:06.080 --> 00:04:07.720]   and if I'm meeting someone somewhere,
[00:04:07.720 --> 00:04:09.560]   I double check where it's at, right?
[00:04:09.560 --> 00:04:12.800]   It has stayed with me, it has shaped me in a certain way.
[00:04:12.800 --> 00:04:14.980]   And encounters do this to us all.
[00:04:14.980 --> 00:04:17.560]   When we have a big, meaningful encounter, it shapes us,
