
[00:00:00.000 --> 00:00:02.000]   How's everyone doing?
[00:00:02.000 --> 00:00:03.800]   (audience murmurs)
[00:00:03.800 --> 00:00:05.680]   Uh-oh, is it the weather?
[00:00:05.680 --> 00:00:06.640]   (audience murmurs)
[00:00:06.640 --> 00:00:08.240]   Do we have to pray for the weather?
[00:00:08.240 --> 00:00:10.320]   Please don't, I love this kind of weather.
[00:00:10.320 --> 00:00:12.160]   (audience laughs)
[00:00:12.160 --> 00:00:13.800]   I'm gonna spend Christmas in Singapore,
[00:00:13.800 --> 00:00:15.160]   I'm gonna miss this weather.
[00:00:15.160 --> 00:00:16.000]   (audience murmurs)
[00:00:16.000 --> 00:00:17.200]   (laughs)
[00:00:17.200 --> 00:00:21.000]   Anyway, anybody loves movie here?
[00:00:21.000 --> 00:00:23.660]   Okay, two of you, three of you, that's not too bad.
[00:00:23.660 --> 00:00:28.760]   I wanna give you a little bit of local culture
[00:00:28.760 --> 00:00:30.080]   sort of information.
[00:00:30.080 --> 00:00:32.320]   If you've been around town lately,
[00:00:32.320 --> 00:00:34.800]   if you've been walking on the streets
[00:00:34.800 --> 00:00:36.980]   or scrolling on social media,
[00:00:36.980 --> 00:00:38.720]   there's actually a local movie
[00:00:38.720 --> 00:00:40.200]   that's under the spotlight right now.
[00:00:40.200 --> 00:00:42.480]   It receives so much attention
[00:00:42.480 --> 00:00:46.720]   because it hit $80 million box office
[00:00:46.720 --> 00:00:48.040]   in just two weeks time.
[00:00:48.040 --> 00:00:50.840]   Just to give you a bit of context,
[00:00:50.840 --> 00:00:52.760]   in Hong Kong cinema history,
[00:00:52.760 --> 00:00:55.480]   there's only been one movie so far
[00:00:55.480 --> 00:00:58.280]   that has hit the 100 million mark,
[00:00:58.280 --> 00:01:01.640]   and this one, it's quite likely to be the second one.
[00:01:01.640 --> 00:01:03.640]   And so it receives a lot of attention,
[00:01:03.640 --> 00:01:05.560]   a lot of people are talking about it,
[00:01:05.560 --> 00:01:09.920]   and yeah, it has a very interesting name,
[00:01:09.920 --> 00:01:13.480]   interesting title, it's called "The Last Dance,"
[00:01:13.480 --> 00:01:16.760]   or "The Last Dance," for all my British friends here.
[00:01:16.760 --> 00:01:19.720]   (audience laughs)
[00:01:19.720 --> 00:01:23.200]   All right, it's actually about a Taoist priest
[00:01:23.200 --> 00:01:25.960]   and, or about a wedding planner
[00:01:25.960 --> 00:01:30.800]   who somehow entered into the funeral industry by chance,
[00:01:30.800 --> 00:01:33.200]   and he had to partner with this Taoist priest,
[00:01:33.200 --> 00:01:34.720]   and through this whole process,
