
[00:00:00.000 --> 00:00:02.000]   Please have a seat.
[00:00:02.000 --> 00:00:08.000]   And we continue the long night of Christmas Eve with the proclamation story.
[00:00:08.000 --> 00:00:13.000]   The light that was brought into the world, it changed everything.
[00:00:13.000 --> 00:00:20.000]   It illuminated not only the darkness of the world, but also the darkness in us.
[00:00:20.000 --> 00:00:28.000]   It saw that the dark despair in all of God's people was now illuminated to God.
[00:00:28.000 --> 00:00:32.000]   And God heard our wailing cry.
[00:00:32.000 --> 00:00:39.000]   God's light recognized the struggles, the hurt, the brokenness that we all carry
[00:00:39.000 --> 00:00:44.000]   and reached out a tender hand of grace towards us.
[00:00:44.000 --> 00:00:51.000]   The birth of Jesus was a light to the blackest of evil and the darkest of sin.
[00:00:51.000 --> 00:00:58.000]   It was a new hope to all of us and needed therefore to be proclaimed to all the world.
[00:00:58.000 --> 00:01:02.000]   And that proclamation happened just like this.
[00:01:02.000 --> 00:01:05.000]   Luke chapter 2 verse 8 to 20.
[00:01:05.000 --> 00:01:10.000]   In that region there were shepherds living in the field, keeping watch over their flock by night.
[00:01:10.000 --> 00:01:17.000]   Then an angel of the Lord stood before them, and the glory of the Lord shone around them, and they were terrified.
[00:01:17.000 --> 00:01:26.000]   But the angel said to them, "Do not be afraid, for see, I am bringing good news of great joy for all the people.
[00:01:26.000 --> 00:01:32.000]   To you is born in this day in the city of David a Savior who is the Messiah, the Lord.
[00:01:32.000 --> 00:01:38.000]   This will be a sign for you. You will find a child wrapped in bands of cloth and lying in a manger."
[00:01:38.000 --> 00:01:42.000]   And suddenly there was with the angel a multitude of the heavenly host,
[00:01:42.000 --> 00:01:49.000]   praising God and saying, "Glory to God in the highest heaven, and on earth peace among those who may favors."
[00:01:49.000 --> 00:01:54.000]   When the angels left them and went up to heaven, the shepherds said to one another,
[00:01:54.000 --> 00:02:00.000]   "Let us now go to Bethlehem and see the thing that has taken place which the Lord has made known to us."
[00:02:00.000 --> 00:02:05.000]   So they went with haste, and they found Mary and Joseph and a child lying in the manger.
[00:02:05.000 --> 00:02:09.000]   When they saw this, they made known what had been told them about the child,
[00:02:09.000 --> 00:02:12.000]   and all who heard it were amazed at what the shepherds told them.
[00:02:12.000 --> 00:02:16.000]   But Mary treasured all these words and pondered them in her heart.
[00:02:16.000 --> 00:02:23.000]   The shepherds returned, glorifying and praising God for all they had heard and seen as it had been told them."
[00:02:23.000 --> 00:02:28.000]   I wonder if you could imagine what it would have been like to be one of the shepherds in the fields that night,
[00:02:28.000 --> 00:02:32.000]   the very original Christmas Eve.
[00:02:32.000 --> 00:02:36.000]   Those shepherds were just going about their normal business, their normal day job.
[00:02:36.000 --> 00:02:39.000]   They were looking after sheep in the fields.
[00:02:39.000 --> 00:02:42.000]   They did that day in and day out. That's just what they did.
[00:02:42.000 --> 00:02:49.000]   In fact, they had to do it for months on end before the sheep were ready to be taken to likely the temple in Jerusalem.
[00:02:49.000 --> 00:02:53.000]   You have to remember Bethlehem is just six miles south of Jerusalem.
[00:02:53.000 --> 00:03:00.000]   It's likely that the sheep that the shepherds were tending were destined for the sacrifice in the temple itself.
[00:03:00.000 --> 00:03:06.000]   And so for months they'd been looking after these sheep because these sheep were their livelihood.
[00:03:06.000 --> 00:03:09.000]   These sheep were the reason why they could provide for their families.
[00:03:09.000 --> 00:03:16.000]   They looked after them until the time that they could sell them to the temple for the sacrifice that would take place there.
[00:03:16.000 --> 00:03:22.000]   And then on this long night, suddenly something changes for them.
[00:03:22.000 --> 00:03:26.000]   Imagine what it would be like for you if you were in your place of work.
[00:03:26.000 --> 00:03:30.000]   So think about you. If you're a teacher here, think about the classroom.
[00:03:30.000 --> 00:03:32.000]   If you're a CEO, think about the boardroom.
[00:03:32.000 --> 00:03:34.000]   If you're a pastor, think about church.
[00:03:34.000 --> 00:03:42.000]   Whatever it is that you do, think about being in that context, your normal place of work, and then the angels show up.
[00:03:42.000 --> 00:03:50.000]   They have the audacity to break into your work meeting and go, "I'm here and I'm about to change the world."
[00:03:50.000 --> 00:03:53.000]   A little bit inconvenient, perhaps.
[00:03:53.000 --> 00:03:59.000]   The Bible tells us that the shepherds were terrified, so overwhelmed.
[00:03:59.000 --> 00:04:04.000]   I mean, that seems a normal response to a chorus of angels around you.
[00:04:04.000 --> 00:04:06.000]   And the angels say this peculiar thing.
[00:04:06.000 --> 00:04:13.000]   "You don't need to be afraid because in Bethlehem, the town of David, a son has been born to you."
[00:04:13.000 --> 00:04:17.000]   A light, in other words, has come into the darkness.
[00:04:17.000 --> 00:04:29.000]   And the angels challenged the shepherds to leave behind their flocks and travel to Bethlehem and visit with the born Messiah.
[00:04:29.000 --> 00:04:32.000]   Now, that wasn't an easy decision.
[00:04:32.000 --> 00:04:35.000]   I mean, think about it for a sec from their perspective.
[00:04:35.000 --> 00:04:40.000]   They had spent months tending these sheep that were essentially their livelihood.
[00:04:40.000 --> 00:04:48.000]   And they knew day in, day out, they needed to be with them. Otherwise, the sheep had a tendency of wandering off.
[00:04:48.000 --> 00:04:55.000]   And here's an angel basically saying, "OK, leave behind all your livelihood. Go into Bethlehem."
[00:04:55.000 --> 00:05:02.000]   And that might take, what, 10 hours, 12 hours, maybe over 24 hours to go there, see the child come back.
[00:05:02.000 --> 00:05:09.000]   By the time you get back, the sheep are likely gone, your livelihood over.
[00:05:09.000 --> 00:05:12.000]   If I had been one of the shepherds, I would have got my buddies together and said,
[00:05:12.000 --> 00:05:17.000]   "OK, we're going to create a union here. Two of us are going to stay with the sheep, whilst the rest of us go into Bethlehem.
[00:05:17.000 --> 00:05:22.000]   We're going to see if the angels are speaking the truth. If they are, we'll come back and let you know. Got it?"
[00:05:22.000 --> 00:05:24.000]   But that's not what happened.
[00:05:24.000 --> 00:05:31.000]   These shepherds decided to get together, and they decided that they would leave their livelihood.
[00:05:31.000 --> 00:05:36.000]   They would sacrifice what was going to be sacrificed.
[00:05:36.000 --> 00:05:44.000]   That they were willing to give up all of that and what it represented, the provision that it represented,
