
[00:00:00.000 --> 00:00:02.760]   And good morning, everyone.
[00:00:02.760 --> 00:00:08.200]   As you can tell, we are entering a season of Advent.
[00:00:08.200 --> 00:00:10.160]   It's part of the church calendar.
[00:00:10.160 --> 00:00:15.960]   Advent, it's the four weeks time that that takes place.
[00:00:15.960 --> 00:00:19.200]   Ooh, okay, it's a bit loud.
[00:00:19.200 --> 00:00:23.280]   It's the four Sundays coming before Christmas.
[00:00:23.280 --> 00:00:29.160]   I knew about, I knew that I'm gonna preach today
[00:00:29.160 --> 00:00:32.360]   a couple months ago, and honestly, I was,
[00:00:32.360 --> 00:00:37.520]   I was quite excited, just to say,
[00:00:37.520 --> 00:00:39.240]   couple months ago when I knew that
[00:00:39.240 --> 00:00:44.160]   apparently this is a season everybody would enjoy a lot.
[00:00:44.160 --> 00:00:49.380]   But this is not how, not quite how I imagined
[00:00:49.380 --> 00:00:52.360]   we would kick off the season of Advent.
[00:00:52.360 --> 00:00:55.600]   This is not how I imagined we would be gathering
[00:00:55.600 --> 00:00:58.080]   after a week in a city.
[00:00:58.800 --> 00:01:02.360]   Where, to say the least, all of us,
[00:01:02.360 --> 00:01:06.680]   we all have been through emotionally, mentally,
[00:01:06.680 --> 00:01:10.280]   just watching the news, or maybe you know someone,
[00:01:10.280 --> 00:01:14.520]   but in different conditions where it's just
[00:01:14.520 --> 00:01:17.400]   a little bit too much for the entire city.
[00:01:17.400 --> 00:01:20.800]   And this is not how I imagined Advent would start
[00:01:20.800 --> 00:01:21.920]   for us this year.
[00:01:21.920 --> 00:01:24.640]   We have sat over a Christmas tree at home
[00:01:24.640 --> 00:01:26.480]   just like the Christmas tree here.
[00:01:26.480 --> 00:01:28.200]   It's all set.
[00:01:28.200 --> 00:01:31.800]   My Christmas Spotify playlist is all ready.
[00:01:31.800 --> 00:01:35.000]   Every day when I drive, when I'm with the girls,
[00:01:35.000 --> 00:01:38.120]   I was going to play some Christmas songs to them,
[00:01:38.120 --> 00:01:42.800]   songs like, "It's the Most Wonderful Time of the Year."
[00:01:42.800 --> 00:01:46.720]   I had a difficult time just even thinking
[00:01:46.720 --> 00:01:49.040]   about those lyrics, or just, you know.
[00:01:49.040 --> 00:01:52.960]   That doesn't just sit well with me anymore.
[00:01:53.920 --> 00:01:56.960]   And, you know, so many happened
[00:01:56.960 --> 00:01:59.280]   in just the last couple of days, right?
[00:01:59.280 --> 00:02:02.200]   What we used to, [coughs] sorry,
[00:02:02.200 --> 00:02:05.200]   you know, all these festive sentiments,
[00:02:05.200 --> 00:02:07.400]   or decoration and all that,
[00:02:07.400 --> 00:02:10.120]   they've been all thrown out the window just overnight.
[00:02:10.120 --> 00:02:13.760]   And, to say the least, you know,
[00:02:13.760 --> 00:02:17.640]   having gone through the last couple of days in a city,
[00:02:17.640 --> 00:02:19.480]   what we're feeling right now,
[00:02:19.480 --> 00:02:22.480]   it's probably quite different from what we would describe
[00:02:22.480 --> 00:02:27.480]   as festive, joyful, if not the opposite.
[00:02:27.480 --> 00:02:31.680]   Celebrations canceled, like activities,
[00:02:31.680 --> 00:02:33.880]   events were suspended, rescheduled.
[00:02:33.880 --> 00:02:37.320]   We're mourning as a city,
[00:02:37.320 --> 00:02:40.680]   regardless of whether we personally know someone
[00:02:40.680 --> 00:02:44.800]   who were caught in the tragedy,
[00:02:44.800 --> 00:02:47.880]   and overwhelmed by stories and updates
[00:02:47.880 --> 00:02:51.880]   and all these numbers that we read on news and social media.
[00:02:52.480 --> 00:02:55.840]   I know a lot of people were having a hard time,
[00:02:55.840 --> 00:02:58.840]   like just reading it, just watching all those news
[00:02:58.840 --> 00:03:00.920]   and stories and all that.
[00:03:00.920 --> 00:03:03.440]   But yet, at the same time, I don't know if I'm alone here,
[00:03:03.440 --> 00:03:07.640]   but I find it quite hard to disengage as well.
[00:03:07.640 --> 00:03:11.040]   I've been very disciplined with my social media
[00:03:11.040 --> 00:03:13.160]   in the last year or so.
[00:03:13.160 --> 00:03:15.640]   I set a timer on my phone every day.
[00:03:15.640 --> 00:03:18.240]   When the timer is up, I'll stop using it.
[00:03:18.240 --> 00:03:19.840]   I'll stop scrolling social media,
[00:03:19.840 --> 00:03:22.840]   but this week, it's the week that,
[00:03:22.840 --> 00:03:25.960]   in the last couple of days, I found myself keep reading.
[00:03:25.960 --> 00:03:27.720]   I just wanna read one more stories.
[00:03:27.720 --> 00:03:31.200]   I just wanna read like some more, one more piece of news.
[00:03:31.200 --> 00:03:32.640]   I just wanna know more.
[00:03:32.640 --> 00:03:38.160]   That's where I found myself in the last couple of days.
[00:03:38.160 --> 00:03:40.400]   Just couldn't help scrolling.
[00:03:40.400 --> 00:03:44.000]   This is nowhere near how I imagined Advent
[00:03:44.000 --> 00:03:46.320]   would kick off this year.
[00:03:47.160 --> 00:03:50.520]   But what if, and just what if,
[00:03:50.520 --> 00:03:55.560]   what if this is actually the right posture for Advent?
[00:03:55.560 --> 00:04:00.080]   And that's what I wanna talk about today, church.
[00:04:00.080 --> 00:04:03.960]   I know Advent has been strategically placed before Christmas
[00:04:03.960 --> 00:04:06.760]   and so it's always been the countdown to Christmas.
[00:04:06.760 --> 00:04:09.800]   It's always been the time where we start writing
[00:04:09.800 --> 00:04:12.960]   our shopping list if you haven't like started.
[00:04:12.960 --> 00:04:15.280]   You start thinking about your holiday plans
[00:04:15.280 --> 00:04:16.600]   if you haven't done so.
[00:04:16.600 --> 00:04:19.240]   It's the time you started like hearing
[00:04:19.240 --> 00:04:23.040]   all these Christmas songs, hearing all these like jingles,
[00:04:23.040 --> 00:04:24.680]   all these tunes, wherever you go,
[00:04:24.680 --> 00:04:28.120]   and you start feeling, oh, wow, it's the season.
[00:04:28.120 --> 00:04:29.360]   It's the time in the year.
[00:04:29.360 --> 00:04:30.520]   It's the time.
[00:04:30.520 --> 00:04:32.400]   Advent, when we look at that,
[00:04:32.400 --> 00:04:37.200]   we may think about Advent calendar that comes with chocolate.
[00:04:37.200 --> 00:04:41.460]   Maybe that's how we see this season in the church calendar.
[00:04:41.460 --> 00:04:45.960]   But our experience in the last couple of days
[00:04:45.960 --> 00:04:50.240]   just brought us to a whole different direction.
[00:04:50.240 --> 00:04:54.640]   But what if this tension that we are facing,
[00:04:54.640 --> 00:04:56.720]   that we're experiencing right now,
[00:04:56.720 --> 00:04:59.100]   this tension, that agonizing gap
[00:04:59.100 --> 00:05:02.600]   between the celebration we were looking forward to
[00:05:02.600 --> 00:05:05.920]   and the grief we are actually experiencing right now,
[00:05:05.920 --> 00:05:10.920]   what if this tension, it's what Advent is all about?
[00:05:12.920 --> 00:05:16.840]   You see, the very word Advent comes from the Latin word
[00:05:16.840 --> 00:05:21.720]   adventus, meaning coming or arrival, it's apparent.
[00:05:21.720 --> 00:05:25.000]   To the church, it has dual meaning.
[00:05:25.000 --> 00:05:28.120]   On one hand, we look back with gratitude
[00:05:28.120 --> 00:05:32.460]   to the first coming of Jesus in the history in Bethlehem,
[00:05:32.460 --> 00:05:35.720]   while at the same time, we also look forward
[00:05:35.720 --> 00:05:39.220]   with anticipation to his second coming
[00:05:39.220 --> 00:05:42.500]   as judge and king at the end of time.
[00:05:42.500 --> 00:05:47.080]   The Swiss theologian, Karl Barth, wrote something like this.
[00:05:47.080 --> 00:05:50.260]   He says, "The time of the community," which is a church,
[00:05:50.260 --> 00:05:54.980]   "is the time of the interval between the first
[00:05:54.980 --> 00:05:57.820]   "and the second coming of Jesus Christ.
[00:05:57.820 --> 00:06:00.760]   "It is a time of the not yet."
[00:06:00.760 --> 00:06:03.000]   I know you've heard a lot about this term here.
[00:06:03.000 --> 00:06:08.000]   He called this time, he says, "This is between the times,"
[00:06:08.000 --> 00:06:12.520]   which means the church has always existed
[00:06:12.520 --> 00:06:14.520]   in this between the times.
[00:06:14.520 --> 00:06:18.240]   We've always existed in a period, just like Advent,
[00:06:18.240 --> 00:06:20.880]   from the first coming to the second coming.
[00:06:20.880 --> 00:06:23.780]   We're always stuck in the middle.
[00:06:23.780 --> 00:06:27.200]   In other words, we have always been living
[00:06:27.200 --> 00:06:30.360]   in the tension between the two adventists.
[00:06:30.360 --> 00:06:34.840]   We've always been living, every generation of the church
[00:06:34.840 --> 00:06:38.520]   has always been stuck in this period
[00:06:38.520 --> 00:06:40.720]   where there are the two comings of Jesus.
[00:06:40.720 --> 00:06:43.800]   We've always been experiencing that Jesus
[00:06:43.800 --> 00:06:46.480]   has already brought his kingdom on earth,
[00:06:46.480 --> 00:06:49.560]   but not yet fully realized.
[00:06:49.560 --> 00:06:54.560]   The victory is secure, but the enemy is not yet destroyed.
[00:06:54.560 --> 00:06:57.920]   We don't live as though we were already raised
[00:06:57.920 --> 00:07:00.000]   from the dead, we're not there yet.
[00:07:00.000 --> 00:07:03.320]   We're yet to see and taste the place
[00:07:03.320 --> 00:07:07.040]   that there is no more tears, there's no more suffering,
[00:07:07.040 --> 00:07:09.000]   there's no more pain.
[00:07:09.000 --> 00:07:11.420]   We're just simply not there yet.
[00:07:11.420 --> 00:07:16.760]   Advent, it's all about living in the tension
[00:07:16.760 --> 00:07:21.480]   that is created by the faith in that which is yet to come.
[00:07:21.480 --> 00:07:23.520]   Let me say that again.
[00:07:23.520 --> 00:07:26.960]   Advent, it's all about living in that tension
[00:07:26.960 --> 00:07:30.360]   that is created by the faith, because we put our faith
[00:07:30.360 --> 00:07:33.920]   in that final ending, in the second coming of Jesus,
[00:07:33.920 --> 00:07:38.780]   because we put our faith there, so it creates a tension.
[00:07:38.780 --> 00:07:42.640]   This tension has to do with our faith.
[00:07:42.640 --> 00:07:45.480]   We know it's coming, but it's not here yet,
[00:07:45.480 --> 00:07:47.560]   so we're sensing that tension.
[00:07:47.560 --> 00:07:49.120]   We know there shouldn't be tears,
[00:07:49.120 --> 00:07:50.480]   we know there shouldn't be pain,
[00:07:50.480 --> 00:07:51.800]   we know there shouldn't be suffering,
[00:07:51.800 --> 00:07:53.500]   we know that there shouldn't be separation,
[00:07:53.500 --> 00:07:56.600]   but in reality, that's what we saw
[00:07:56.600 --> 00:07:57.800]   in the last couple of days.
[00:07:57.800 --> 00:08:01.240]   That's what even we could have been experiencing,
[00:08:01.240 --> 00:08:04.000]   if not our entire life, at least in the last couple of days.
[00:08:04.000 --> 00:08:06.460]   That's the story of this city.
[00:08:06.460 --> 00:08:10.920]   In faith, we believe the age to come
[00:08:10.920 --> 00:08:14.280]   where Jesus is Lord and King, but in our daily life right now
[00:08:14.280 --> 00:08:17.500]   we're experiencing the present evil,
[00:08:17.500 --> 00:08:21.180]   an evil age ruled by sin and death.
[00:08:21.180 --> 00:08:23.480]   Therefore, we live in the tension
[00:08:23.480 --> 00:08:28.040]   between light and darkness, future and present,
[00:08:28.040 --> 00:08:30.760]   and the way things ought to be,
[00:08:30.760 --> 00:08:32.960]   and the way things they are right now.
[00:08:32.960 --> 00:08:38.840]   No one should smoke in the construction site
[00:08:38.840 --> 00:08:41.640]   if that's in the perfect world.
[00:08:41.640 --> 00:08:45.080]   The construction material should have been fire resistant
[00:08:45.080 --> 00:08:47.040]   in the perfect world.
[00:08:47.040 --> 00:08:49.760]   The fire alarms should be ringing out loud
[00:08:49.760 --> 00:08:53.200]   in the perfect world, except none of those were true.
[00:08:54.200 --> 00:08:59.200]   Therefore, Advent begins in the dark.
[00:08:59.200 --> 00:09:01.300]   Advent begins in the dark.
[00:09:01.300 --> 00:09:03.860]   It means the season does not start
[00:09:03.860 --> 00:09:07.720]   with the artificial cheer of Christmas preparation.
[00:09:07.720 --> 00:09:10.120]   Yes, we're there, Christmas is coming,
[00:09:10.120 --> 00:09:12.560]   but with a brutally honest look
[00:09:12.560 --> 00:09:14.880]   at the brokenness of the world.
[00:09:14.880 --> 00:09:16.040]   Let me say this again.
[00:09:16.040 --> 00:09:20.180]   We're here in Advent, we're staring at the dark.
[00:09:20.180 --> 00:09:23.360]   We're here because we have to be brutally honest
[00:09:23.360 --> 00:09:26.000]   to look at the brokenness of the world
[00:09:26.000 --> 00:09:29.000]   instead of just enjoying some artificial cheer.
[00:09:29.000 --> 00:09:30.280]   Yes, Christmas.
[00:09:30.280 --> 00:09:35.520]   It's a theological refusal to light a candle of hope
[00:09:35.520 --> 00:09:40.280]   until we have first acknowledged the death of the shadow
[00:09:40.280 --> 00:09:42.080]   of the darkness that we're facing,
[00:09:42.080 --> 00:09:44.720]   the shadow of the darkness that we are in.
[00:09:44.720 --> 00:09:47.820]   In the Bible, there are two layers of meanings
[00:09:47.820 --> 00:09:50.920]   when it comes to the idea of darkness.
[00:09:50.920 --> 00:09:52.700]   The first layer is this.
[00:09:52.700 --> 00:09:57.120]   It simply means the evil and all the untold suffering
