
[00:00:00.000 --> 00:00:02.000]  謝謝Ivan,給Ivan掌聲
[00:00:02.000 --> 00:00:04.000]  (掌聲)
[00:00:04.000 --> 00:00:10.000]  在我和Rosin這麼多年一起的時間
[00:00:10.000 --> 00:00:13.000]  不用看了,這堂崇拜她是會的企劃師
[00:00:13.000 --> 00:00:16.000]  在我們這麼多年一起的時間裡
[00:00:16.000 --> 00:00:19.000]  她送過兩枝筆給我
[00:00:19.000 --> 00:00:21.000]  先拿出來
[00:00:21.000 --> 00:00:23.000]  第一枝筆是
[00:00:23.000 --> 00:00:27.000]  不是第一枝,其中一枝筆是非常漂亮
[00:00:27.000 --> 00:00:31.000]  很精美的,不知道有沒有人知道這個品牌叫Monblanc
[00:00:31.000 --> 00:00:33.000]  墨水筆的品牌
[00:00:33.000 --> 00:00:38.000]  因為剛好那段時間她看到我開始嘗試用墨水筆來寫
[00:00:38.000 --> 00:00:41.000]  好像有點文化,就這樣扮一下
[00:00:41.000 --> 00:00:43.000]  她就送了這枝筆給我
[00:00:43.000 --> 00:00:45.000]  不過,今天不是要說這枝筆
[00:00:45.000 --> 00:00:48.000]  今天想說的是另一枝
[00:00:48.000 --> 00:00:50.000]  是這一枝筆
[00:00:50.000 --> 00:00:52.000]  給大家看一下
[00:00:52.000 --> 00:00:54.000]  嘩!
[00:00:54.000 --> 00:00:59.000]  這枝筆,我相信最快吸引到大家的眼球
[00:00:59.000 --> 00:01:01.000]  一定是這枝筆的頂部
[00:01:01.000 --> 00:01:03.000]  這粒疑似鑽石的物體
[00:01:03.000 --> 00:01:05.000]  首先,放心
[00:01:05.000 --> 00:01:07.000]  我可以跟大家說
[00:01:07.000 --> 00:01:09.000]  這粒東西,我可以100%向你保證
[00:01:09.000 --> 00:01:11.000]  是假的
[00:01:11.000 --> 00:01:13.000]  (笑聲)
[00:01:13.000 --> 00:01:17.000]  這枝筆是在
[00:01:17.000 --> 00:01:22.000]  當年我從香港帶著一粒真鑽石
[00:01:22.000 --> 00:01:24.000]  去到新加坡
[00:01:24.000 --> 00:01:28.000]  單膝跪下向她問了我人生中最重要的問題之後
[00:01:28.000 --> 00:01:30.000]  然後
[00:01:30.000 --> 00:01:32.000]  過了兩星期左右
[00:01:32.000 --> 00:01:34.000]  她就買了這枝筆送給我
[00:01:34.000 --> 00:01:36.000]  就好像她可以這樣曬的時候
[00:01:36.000 --> 00:01:38.000]  我也可以拿東西出來曬一下
[00:01:38.000 --> 00:01:40.000]  就是這枝筆
[00:01:40.000 --> 00:01:42.000]  說起鑽石戒指
[00:01:42.000 --> 00:01:46.000]  我不知道各位在座已婚的弟兄
[00:01:46.000 --> 00:01:48.000]  說起鑽石戒指
[00:01:48.000 --> 00:01:50.000]  你會不會還記得起
[00:01:50.000 --> 00:01:52.000]  或者感受到那種錢包
[00:01:52.000 --> 00:01:54.000]  赤赤痛的感覺
[00:01:54.000 --> 00:01:56.000]  有人曾經跟我說過
[00:01:56.000 --> 00:01:58.000]  好像我其中一個mentor
[00:01:58.000 --> 00:02:00.000]  他說買鑽石戒指
[00:02:00.000 --> 00:02:02.000]  求婚那種一定要是你薪金的
[00:02:02.000 --> 00:02:04.000]  不知道多少倍
[00:02:04.000 --> 00:02:06.000]  說這些數字嚇我
[00:02:06.000 --> 00:02:08.000]  在我尋找完美的鑽石戒指
[00:02:08.000 --> 00:02:10.000]  求婚戒指的旅程中
[00:02:10.000 --> 00:02:12.000]  我一開始的時候
[00:02:12.000 --> 00:02:14.000]  聽到有朋友結婚
[00:02:14.000 --> 00:02:16.000]  我年輕的時候
[00:02:16.000 --> 00:02:18.000]  我身邊有朋友結婚
[00:02:18.000 --> 00:02:20.000]  他們說買一枝求婚戒指
[00:02:20.000 --> 00:02:22.000]  大約是這個錢包
[00:02:22.000 --> 00:02:24.000]  我就記住了
[00:02:24.000 --> 00:02:26.000]  然後到我自己也要去找一枝戒指的時候
[00:02:26.000 --> 00:02:28.000]  我不知道弟兄們
[00:02:28.000 --> 00:02:30.000]  你們有沒有試過
[00:02:30.000 --> 00:02:32.000]  開始有人走過來
[00:02:32.000 --> 00:02:34.000]  我認識人 我介紹給你
[00:02:34.000 --> 00:02:36.000]  於是我就有第一個
[00:02:36.000 --> 00:02:38.000]  介紹給我的人
[00:02:38.000 --> 00:02:40.000]  我就拿了他的電話號碼
[00:02:40.000 --> 00:02:42.000]  發訊息給他
[00:02:42.000 --> 00:02:44.000]  你好 我是誰誰的朋友想要
[00:02:44.000 --> 00:02:46.000]  他就發了幾款不同的戒指
[00:02:46.000 --> 00:02:48.000]  我看過銀碼的時候
[00:02:48.000 --> 00:02:50.000]  最便宜的那一款
[00:02:50.000 --> 00:02:52.000]  為什麼都是我朋友那一款的雙倍
[00:02:52.000 --> 00:02:54.000]  我說不要緊
[00:02:54.000 --> 00:02:56.000]  過了一段時間之後
[00:02:56.000 --> 00:02:58.000]  又有另一個朋友跟我說
[00:02:58.000 --> 00:03:00.000]  他又認識另一間店舖
[00:03:00.000 --> 00:03:02.000]  賣鑽石戒指
[00:03:02.000 --> 00:03:04.000]  不過這間是要上樓
[00:03:04.000 --> 00:03:06.000]  去到他那間商業大廈
[00:03:06.000 --> 00:03:08.000]  店舖裡面來看
[00:03:08.000 --> 00:03:10.000]  於是我就坐電梯
[00:03:10.000 --> 00:03:12.000]  進去店舖裡面看
[00:03:12.000 --> 00:03:14.000]  一坐下的時候
[00:03:14.000 --> 00:03:16.000]  店員拿了第一款出來
[00:03:16.000 --> 00:03:18.000]  為什麼這款是上一款
[00:03:18.000 --> 00:03:20.000]  上一個訊息
[00:03:20.000 --> 00:03:22.000]  最貴的那一款雙倍
[00:03:22.000 --> 00:03:26.000]  在這個時候
[00:03:26.000 --> 00:03:28.000]  我問了自己一個
[00:03:28.000 --> 00:03:30.000]  非常誠實的問題
[00:03:30.000 --> 00:03:32.000]  是不是時候找個理由
[00:03:32.000 --> 00:03:34.000]  借尿頓也好 找個理由走就算了
[00:03:34.000 --> 00:03:36.000]  然後有另一個問題
