
[00:00:00.000 --> 00:00:02.240]   Thank you, Ivan.
[00:00:02.240 --> 00:00:05.920]   Do I-- is this here OK?
[00:00:05.920 --> 00:00:07.760]   OK.
[00:00:07.760 --> 00:00:09.200]   All right, good morning.
[00:00:09.200 --> 00:00:09.920]   My name is Justin.
[00:00:09.920 --> 00:00:12.360]   I'm one of the pastors at the Vine Wan Chai,
[00:00:12.360 --> 00:00:14.160]   but I've been here a couple of times.
[00:00:14.160 --> 00:00:16.280]   I was here three weeks ago.
[00:00:16.280 --> 00:00:17.840]   My wife Patsy here.
[00:00:17.840 --> 00:00:19.520]   We're here together with our children.
[00:00:19.520 --> 00:00:21.160]   So thank you for having us.
[00:00:21.160 --> 00:00:22.440]   Thank you, Tim, for having us.
[00:00:22.440 --> 00:00:24.160]   Wherever you are, I know you're watching.
[00:00:24.160 --> 00:00:26.040]   Just want to say hi to you and Chris and Elle.
[00:00:26.040 --> 00:00:27.840]   Hopefully, you're having a good time.
[00:00:27.840 --> 00:00:29.140]   We miss you.
[00:00:29.140 --> 00:00:33.440]   And so yeah, before we start, I would like to pray for us.
[00:00:33.440 --> 00:00:35.120]   So I'm just going to pray again.
[00:00:35.120 --> 00:00:36.880]   Not saying that you're praying.
[00:00:36.880 --> 00:00:38.560]   But anyways, I just want to pray for us
[00:00:38.560 --> 00:00:39.680]   to receive today's word.
[00:00:39.680 --> 00:00:42.400]   So would you pray with me?
[00:00:42.400 --> 00:00:46.880]   Lord, we ask you to give us a humble heart, a listening
[00:00:46.880 --> 00:00:50.680]   heart, a receptive heart this morning.
[00:00:50.680 --> 00:00:52.760]   Father, I know all of us are going
[00:00:52.760 --> 00:00:53.840]   through different seasons.
[00:00:53.840 --> 00:00:56.140]   We're going through different obstacles.
[00:00:56.140 --> 00:00:58.800]   We're going through different things in our lives
[00:00:58.800 --> 00:01:01.360]   where holding and juggling different things.
[00:01:01.360 --> 00:01:03.120]   And so Lord, you know that.
[00:01:03.120 --> 00:01:07.680]   And so we just ask you to speak a specific word to each of us
[00:01:07.680 --> 00:01:10.040]   here tonight, today, this morning.
[00:01:10.040 --> 00:01:11.600]   Father, in your name we pray.
[00:01:11.600 --> 00:01:13.720]   Amen.
[00:01:13.720 --> 00:01:16.320]   So I found this out this week.
[00:01:16.320 --> 00:01:22.080]   My friend told me that Yuen Long used to be and still is
[00:01:22.080 --> 00:01:25.200]   a very rich land for farming.
[00:01:25.200 --> 00:01:28.000]   And I know for those of us who live in Yuen Long,
[00:01:28.000 --> 00:01:28.960]   we work in Yuen Long.
[00:01:28.960 --> 00:01:33.120]   This is a specialty, especially before the 1980s.
[00:01:33.120 --> 00:01:35.600]   There were so many plots of vegetable land.
[00:01:35.600 --> 00:01:37.840]   There were grains of rice.
[00:01:37.840 --> 00:01:39.720]   And this rice and the grain would
[00:01:39.720 --> 00:01:41.840]   feed Yuen Long, the people of Yuen Long,
[00:01:41.840 --> 00:01:43.440]   but also the people of Hong Kong.
[00:01:43.440 --> 00:01:47.440]   And so I bring this up not just as a trivial, interesting fact,
[00:01:47.440 --> 00:01:50.600]   but I bring this up because it's profound for us today
[00:01:50.600 --> 00:01:52.840]   to worship together knowing that we
[00:01:52.840 --> 00:01:57.880]   sit on a historically rich land for farming.
[00:01:57.880 --> 00:02:01.160]   And today we are going to talk about farming.
[00:02:01.160 --> 00:02:05.480]   We're talking about the parable of the sower, the seeds,
[00:02:05.480 --> 00:02:07.000]   and the soil.
[00:02:07.000 --> 00:02:12.320]   And I titled today's message, A Parable on Grace and Listening.
[00:02:12.320 --> 00:02:15.040]   So right now, I just want to ask you to read with me.
[00:02:15.040 --> 00:02:18.520]   I'm going to read Mark chapter 4, verse 1 to 20.
[00:02:18.520 --> 00:02:23.080]   So I ask you to follow along with me.
[00:02:23.080 --> 00:02:27.960]   Verse 1, "Again, Jesus began to teach by the sea.
[00:02:27.960 --> 00:02:30.760]   And such a very large crowd gathered to him
[00:02:30.760 --> 00:02:33.400]   that he got into a boat on the sea and sat down.
[00:02:33.400 --> 00:02:37.640]   And the whole crowd was by the sea on the land.
[00:02:37.640 --> 00:02:40.400]   And he was teaching the many things in parables
[00:02:40.400 --> 00:02:44.120]   and was saying to them in his teaching, listen to this.
[00:02:44.120 --> 00:02:47.200]   Behold, the sower went out to sow.
[00:02:47.200 --> 00:02:50.640]   As he was sowing, some seed fell beside the road,
[00:02:50.640 --> 00:02:53.160]   and the birds came and ate it up.
[00:02:53.160 --> 00:02:55.720]   Other seed fell on the rocky ground
[00:02:55.720 --> 00:02:57.760]   where it did not have much soil.
[00:02:57.760 --> 00:03:00.120]   And immediately it sprang up because it
[00:03:00.120 --> 00:03:02.880]   had no depth of soil.
[00:03:02.880 --> 00:03:05.640]   And when the sun had risen, it was scorched.
[00:03:05.640 --> 00:03:09.400]   And because it had no root, it withered away.
[00:03:09.400 --> 00:03:11.400]   Other seed fell among the thorns,
[00:03:11.400 --> 00:03:13.440]   and the thorns came up and choked it,
[00:03:13.440 --> 00:03:15.560]   and it yielded no crop.
[00:03:15.560 --> 00:03:18.200]   Other seeds fell into the good soil.
[00:03:18.200 --> 00:03:20.320]   And as they grew up and increased,
[00:03:20.320 --> 00:03:23.400]   they yielded a crop and produced 30, 60,
[00:03:23.400 --> 00:03:25.840]   and 100 times as much.
[00:03:25.840 --> 00:03:30.400]   And he was saying, he who has ears to hear, let him hear.
[00:03:30.400 --> 00:03:31.220]   Verse 10.
[00:03:31.220 --> 00:03:35.400]   As soon as Jesus was alone, his followers,
[00:03:35.400 --> 00:03:37.000]   along with the 12 disciples,
[00:03:37.000 --> 00:03:39.720]   began asking him about the parables.
[00:03:39.720 --> 00:03:42.840]   And he was saying to them, to you has been given
[00:03:42.840 --> 00:03:45.040]   the mystery of the kingdom of God.
[00:03:45.040 --> 00:03:49.060]   But for those who are outside, everything comes in parables.
[00:03:49.060 --> 00:03:53.600]   So that while seeing, they may see, and not perceive.
[00:03:53.600 --> 00:03:57.920]   And while hearing, they may hear and not understand.
[00:03:57.920 --> 00:03:59.800]   Otherwise, they might return,
[00:03:59.800 --> 00:04:01.360]   and it would be forgiven them.
[00:04:01.360 --> 00:04:03.560]   Verse 13.
[00:04:03.560 --> 00:04:08.400]   And Jesus said to them, do you not understand this parable?
[00:04:08.400 --> 00:04:11.160]   How will you understand all the parables?
[00:04:11.160 --> 00:04:13.200]   The sower sows the word.
[00:04:13.200 --> 00:04:15.440]   These are the ones who are beside the road
[00:04:15.440 --> 00:04:16.800]   where the word is sown.
[00:04:16.800 --> 00:04:19.500]   And when they hear, immediately Satan comes
[00:04:19.500 --> 00:04:23.540]   and takes away the word which had been sown in them.
[00:04:23.540 --> 00:04:26.260]   And in a similar way, these are the ones
[00:04:26.260 --> 00:04:28.660]   sown with seed on the rocky places,
[00:04:28.660 --> 00:04:30.100]   who when they hear the word,
[00:04:30.100 --> 00:04:32.180]   immediately receive it with joy,
[00:04:32.180 --> 00:04:35.460]   and yet they have no firm rooting in themselves,
[00:04:35.460 --> 00:04:37.420]   but are only temporary.
[00:04:37.420 --> 00:04:40.200]   Then when affliction or persecution occurs
[00:04:40.200 --> 00:04:44.300]   because of the word, immediately they fall away.
[00:04:44.300 --> 00:04:45.280]   Verse 18.
[00:04:46.180 --> 00:04:49.820]   And others are the ones sown with seed among the thorns.
[00:04:49.820 --> 00:04:52.060]   These are the ones who have heard the word,
[00:04:52.060 --> 00:04:53.460]   but the worries of the world,
[00:04:53.460 --> 00:04:55.460]   and the deceitfulness of wealth,
[00:04:55.460 --> 00:04:57.300]   and the desires for other things
[00:04:57.300 --> 00:05:00.400]   enter and choke the word, and it becomes unfruitful.
[00:05:00.400 --> 00:05:04.900]   And those are the ones sown with seed on the good soil,
[00:05:04.900 --> 00:05:06.840]   and they hear the word and accept it,
[00:05:06.840 --> 00:05:11.040]   and bear fruit 30, 60, and 100 times as much.
[00:05:12.780 --> 00:05:16.440]   So this passage may be familiar to many of us.
[00:05:16.440 --> 00:05:18.660]   We've maybe heard it many times,
[00:05:18.660 --> 00:05:20.460]   but this morning I ask,
[00:05:20.460 --> 00:05:23.540]   no matter how many times you've heard this,
[00:05:23.540 --> 00:05:25.700]   Jesus begins and ends this parable
[00:05:25.700 --> 00:05:29.220]   with a very profound and straightforward command.
[00:05:29.220 --> 00:05:32.980]   He says, "Listen, church, listen to what I have to say.
[00:05:32.980 --> 00:05:36.100]   "I want you to listen and hear
