
[00:00:00.000 --> 00:00:03.000]  Thank you, 我哋俾啲掌聲Francesca好唔好呀
[00:00:03.000 --> 00:00:07.000]  好呀, 我喺度講個秘密俾大家聽先啦
[00:00:07.000 --> 00:00:11.000]  就係呢, 其實我都未報名一陣間去BBQ
[00:00:11.000 --> 00:00:15.000]  我都未報名, 係啦, 所以呢, 唔係, 個好消息係咩呢
[00:00:15.000 --> 00:00:18.000]  即係呢, 所以如果你都未報名嘅話呢, 我會同你一齊去嘅
[00:00:18.000 --> 00:00:21.000]  係啦, 我都未報名因為, 唔好意思唔好意思, 對唔住大佬
[00:00:21.000 --> 00:00:26.000]  係啦, 係, 好, 等我搬個舖街過嚟先
[00:00:26.000 --> 00:00:31.000]  啲蠟燭好靚呀真係
[00:00:31.000 --> 00:00:35.000]  出年嘅暑假呢, 2024年嘅暑假
[00:00:35.000 --> 00:00:41.000]  將會係呢, 神呼召我去進入全職服侍嘅20周年
[00:00:41.000 --> 00:00:44.000]  係啦, 唔好望住, 我覺得好似好老咁樣, 係啦
[00:00:44.000 --> 00:00:47.000]  喺2004年嘅時候呢, 當年我16歲
[00:00:47.000 --> 00:00:49.000]  一陣一陣我數一計啦, 咁呀
[00:00:49.000 --> 00:00:53.000]  嗰年我啱考完會考, 然後呢, 我嘅傳導人帶咗我去
[00:00:53.000 --> 00:00:57.000]  同埋我教育嘅弟兄姊妹, 我哋一齊去咗個夏季營嗰度
[00:00:57.000 --> 00:01:01.000]  一個喺烏溪沙嗰度, 好多嘅年青人一路喺度去敬拜
[00:01:01.000 --> 00:01:03.000]  一路去呢聽神嘅訊息
[00:01:03.000 --> 00:01:07.000]  我仲記得啲啲嗰啲講完講嗰啲咩啲啲啦咁樣
[00:01:07.000 --> 00:01:09.000]  我好記得呢裏面嗰個敬拜
[00:01:09.000 --> 00:01:13.000]  我好記得呢, 喺我敬拜嘅時候呢, 嗰幾日裏面
[00:01:13.000 --> 00:01:17.000]  我曾經見到一個呢, 好鮮明嘅一個畫面
[00:01:17.000 --> 00:01:21.000]  就係我見到呢, 耶穌佢向住我行埋嚟
[00:01:21.000 --> 00:01:24.000]  然後呢, 佢將佢嘅手去遞畀我睇
[00:01:24.000 --> 00:01:27.000]  佢畀我睇下佢手上面嗰個嘅釘痕
[00:01:27.000 --> 00:01:30.000]  唔知點解呢, 當我見到呢個圖畫嘅時候呢
[00:01:30.000 --> 00:01:32.000]  我嘅心裏面好感動呀
[00:01:32.000 --> 00:01:35.000]  我就開始喺度喊, 不斷喊, 不斷喊
[00:01:35.000 --> 00:01:40.000]  即係就係咁樣喊呀喊呀喊呀就過咗三四日嘅時間
[00:01:40.000 --> 00:01:42.000]  即係神嘅愛呢, 好似一個瀑布咁
[00:01:42.000 --> 00:01:45.000]  我由細到大, 即係十幾歲仔從來都冇試過
[00:01:45.000 --> 00:01:49.000]  神嘅愛不斷好似瀑布咁樣去湧入我嘅生命裏面
[00:01:49.000 --> 00:01:52.000]  就喺嗰個時間裏面, 我聽到, 即係喺我腦海裏面
[00:01:52.000 --> 00:01:55.000]  我聽到有一把聲音嚟問我, 佢話
[00:01:55.000 --> 00:01:59.000]  你願唔願意喺你餘下嘅人生裏面
[00:01:59.000 --> 00:02:03.000]  你嚟跟隨我, 嚟服侍我
[00:02:03.000 --> 00:02:05.000]  嗱, 講到呢度呢, 首先我要講多啲
[00:02:05.000 --> 00:02:07.000]  大家可能唔知道關於我嘅嘢
[00:02:07.000 --> 00:02:09.000]  我係點樣返教會嘅呢
[00:02:09.000 --> 00:02:13.000]  今日即係我以前教會嘅傳道人都喺度添姐
[00:02:13.000 --> 00:02:15.000]  好榮幸呀, 突然間講返呢樣嘢
[00:02:15.000 --> 00:02:20.000]  喺我出世冇幾耐之後呢, 我媽媽發現佢患咗癌症
[00:02:20.000 --> 00:02:24.000]  佢喺佢嘅病床喺醫院嘅時候有人向佢傳福音
[00:02:24.000 --> 00:02:29.000]  而事者, 佢帶埋, 即係我媽媽帶埋我爸爸同埋我一齊返到去教會裏面
[00:02:29.000 --> 00:02:34.000]  喺我三歲嘅時候, 我媽媽最後因為癌症佢離開咗
[00:02:34.000 --> 00:02:39.000]  所以由我三歲嗰一刻開始, 我人生裏面有一個嘅夢想
[00:02:39.000 --> 00:02:41.000]  就係我好想做一個醫生
[00:02:41.000 --> 00:02:45.000]  可以去幫到人, 去醫到人, 等佢哋唔使再經歷我經歷過嘅嘢
[00:02:45.000 --> 00:02:49.000]  所以呢, 即係喺我嘅人生自我細細個開始
[00:02:49.000 --> 00:02:52.000]  我只得呢個夢想, 呢個嘅我嘅理想, 我嘅志願
[00:02:52.000 --> 00:02:55.000]  我由細到大都一定會寫呢一樣嘢
[00:02:55.000 --> 00:03:00.000]  而喺我細個嘅時候, 我都係行喺呢個正確嘅道路上面
[00:03:00.000 --> 00:03:04.000]  即係我讀書嘅時候, 去到我中學嗰刻, 我喺新界, 即係我喺荃灣長大
[00:03:04.000 --> 00:03:08.000]  我當時喺一間叫做喺新界裏面都幾ok嘅中學裏面
