
[00:00:00.000 --> 00:00:02.720]  謝謝Yanis,我們給Yanis掌聲
[00:00:02.720 --> 00:00:04.720]  (掌聲)
[00:00:04.720 --> 00:00:05.720]  報名了嗎?
[00:00:05.720 --> 00:00:08.720]  剛才的VBS名額只有38個
[00:00:08.720 --> 00:00:11.720]  因為我已經報名了
[00:00:11.720 --> 00:00:14.720]  38個你們自己慢慢爭
[00:00:14.720 --> 00:00:20.720]  Yanis謝謝你為我們帶來更多活力
[00:00:20.720 --> 00:00:24.720]  你幫助我令我每天早上都要帶兒子回來
[00:00:24.720 --> 00:00:26.720]  我問他為什麼你要先回來
[00:00:26.720 --> 00:00:28.720]  他不肯和媽媽回來還是和我一起回來
[00:00:28.720 --> 00:00:31.720]  他說因為我可以見到Yanis姐姐
[00:00:31.720 --> 00:00:33.720]  (掌聲)
[00:00:33.720 --> 00:00:36.720]  真是太好了,謝謝
[00:00:36.720 --> 00:00:39.720]  如果大家復活節在這裡
[00:00:39.720 --> 00:00:41.720]  而你有印象的話
[00:00:41.720 --> 00:00:46.720]  可能會記得我和大家分享了當年我做消防的一些經歷
[00:00:46.720 --> 00:00:48.720]  今天我想和大家分享一點
[00:00:48.720 --> 00:00:51.720]  我消防之後做金融的一個故事
[00:00:51.720 --> 00:00:53.720]  首先大家聽到金融兩個字
[00:00:53.720 --> 00:00:56.720]  你知不知道金融是什麼意思
[00:00:56.720 --> 00:00:59.720]  金融,實不相瞞
[00:00:59.720 --> 00:01:03.720]  其實我大學學位是主修金融的
[00:01:03.720 --> 00:01:06.720]  但不知道為什麼來到這裡講神學
[00:01:06.720 --> 00:01:08.720]  Anyway,神的帶領是很奇妙的
[00:01:08.720 --> 00:01:13.720]  金融,就是資金融通
[00:01:13.720 --> 00:01:14.720]  資金融通是什麼呢?
[00:01:14.720 --> 00:01:16.720]  是在經濟的生活當中
[00:01:16.720 --> 00:01:20.720]  銀行,證券,保險業界,那些從業員
[00:01:20.720 --> 00:01:21.720]  或者是整個業界
[00:01:21.720 --> 00:01:26.720]  他將一個金融市場的主體,那個資金
[00:01:26.720 --> 00:01:32.720]  去借貸給其他市場主體的經濟生活
[00:01:32.720 --> 00:01:35.720]  我用人類明白的語言來和大家說一說
[00:01:35.720 --> 00:01:39.720]  我借錢給你,然後我相信你會幫我做一些事
[00:01:39.720 --> 00:01:43.720]  你幫我賺到一些錢,然後連本帶利地還給我
[00:01:43.720 --> 00:01:45.720]  這樣是不是清楚很多
[00:01:45.720 --> 00:01:47.720]  大家終於明白金融究竟是什麼意思了
[00:01:47.720 --> 00:01:51.720]  簡單來說,大家是說一個信字
[00:01:51.720 --> 00:01:54.720]  金融,大家是說一個信字
[00:01:54.720 --> 00:01:57.720]  話說我離開了消防大陸金融
[00:01:57.720 --> 00:01:59.720]  開始的時候我在證券行工作
[00:01:59.720 --> 00:02:02.720]  當時專門幫人炒賣股票
[00:02:02.720 --> 00:02:04.720]  幫那些人其實主要是自己
[00:02:04.720 --> 00:02:06.720]  自己在炒
[00:02:06.720 --> 00:02:09.720]  但之後我就開始幫人做一些IPO
[00:02:09.720 --> 00:02:11.720]  幫人上市
[00:02:11.720 --> 00:02:14.720]  然後去做一些買賣殼的交易
[00:02:14.720 --> 00:02:16.720]  大家知不知道什麼是買賣殼的交易
[00:02:16.720 --> 00:02:19.720]  明白就明白,不明白就來明白
[00:02:19.720 --> 00:02:21.720]  不重要
[00:02:21.720 --> 00:02:24.720]  不重要,你最重要知道一件事
[00:02:24.720 --> 00:02:26.720]  說一個信字
[00:02:26.720 --> 00:02:30.720]  當我去做這些交易的時候
[00:02:30.720 --> 00:02:37.720]  我曾經去幫一間創業板做IPO
[00:02:37.720 --> 00:02:40.720]  幫一間公司上市,是創業板
[00:02:40.720 --> 00:02:43.720]  我其中一個責任就是找最多的股東
