
[00:00:00.000 --> 00:00:03.200]   Amen, amen, amen.
[00:00:03.200 --> 00:00:06.680]   Well, I'm really excited that this afternoon
[00:00:06.680 --> 00:00:09.200]   we get to host one of our speakers
[00:00:09.200 --> 00:00:11.640]   that's been with us this whole weekend.
[00:00:11.640 --> 00:00:15.200]   And as I said earlier, we've had about 35 different speakers
[00:00:15.200 --> 00:00:19.880]   throughout the course of this time during the conference.
[00:00:19.880 --> 00:00:23.000]   And it's been such a joy to hear from different perspectives
[00:00:23.000 --> 00:00:25.840]   and just different people and different backgrounds.
[00:00:25.840 --> 00:00:28.480]   But each person brought their own story.
[00:00:28.480 --> 00:00:30.840]   Each person brought their own context.
[00:00:30.840 --> 00:00:33.480]   And one of the people that when we were thinking
[00:00:33.480 --> 00:00:35.040]   about curating this conference
[00:00:35.040 --> 00:00:37.480]   and wanting to make sure that we were hearing
[00:00:37.480 --> 00:00:39.440]   from the right voices,
[00:00:39.440 --> 00:00:40.960]   you can understand that there's so much
[00:00:40.960 --> 00:00:42.120]   that's happening around the world,
[00:00:42.120 --> 00:00:46.280]   but there's voices that we need to hear from
[00:00:46.280 --> 00:00:47.720]   at times like this.
[00:00:47.720 --> 00:00:52.720]   And Dr. Lamaman Soor was a person that we were led to.
[00:00:52.720 --> 00:00:55.400]   I actually, she was recommended to us
[00:00:55.400 --> 00:00:59.720]   by a good friend of ours who does work in the Middle East,
[00:00:59.720 --> 00:01:02.600]   a work of peace and reconciliation in the land there.
[00:01:02.600 --> 00:01:04.480]   And they said, look, you have to get this lady,
[00:01:04.480 --> 00:01:07.120]   you have to get her voice into the conference.
[00:01:07.120 --> 00:01:10.000]   And so I did the right thing and Googled,
[00:01:10.000 --> 00:01:11.960]   that's what you do these days.
[00:01:11.960 --> 00:01:15.760]   And sat and watched a talk that she gave on lament
[00:01:15.760 --> 00:01:17.480]   at a conference in the Middle East.
[00:01:17.480 --> 00:01:19.200]   And it just blew me away.
[00:01:19.200 --> 00:01:24.200]   And she's a Palestinian Christian based in Nazareth.
[00:01:25.200 --> 00:01:27.360]   She is a social scientist by background,
