
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:00:03.160 --> 00:00:05.820]   Ah, great.
[00:00:05.820 --> 00:00:08.740]   Who has plans for summer?
[00:00:08.740 --> 00:00:11.180]   Anyone got summer plans?
[00:00:11.180 --> 00:00:13.560]   Only Tim and maybe me.
[00:00:13.560 --> 00:00:16.780]   All right, yeah, my family, they're already in Singapore,
[00:00:16.780 --> 00:00:18.020]   but I love you guys too much,
[00:00:18.020 --> 00:00:19.900]   so I decided to stay with you all.
[00:00:19.900 --> 00:00:21.700]   (laughs)
[00:00:21.700 --> 00:00:23.660]   I do love you guys.
[00:00:23.660 --> 00:00:25.860]   And I would love to tell you a few things
[00:00:25.860 --> 00:00:27.580]   that's happening in church as well.
[00:00:27.580 --> 00:00:29.860]   So last week, just a praise report,
[00:00:29.860 --> 00:00:34.700]   we had our first ever Youth Ministry gathering last Sunday.
[00:00:34.700 --> 00:00:38.340]   And it was so fun, thanks to a lot of our volunteers,
[00:00:38.340 --> 00:00:40.840]   and it's been a great time.
[00:00:40.840 --> 00:00:43.980]   And we're gonna have the second one next week.
[00:00:43.980 --> 00:00:46.720]   So next Sunday, is it next week?
[00:00:46.720 --> 00:00:50.220]   Yes, next Sunday at 1.30 to 3.30.
[00:00:50.220 --> 00:00:52.740]   And I just want to tell you in advance,
[00:00:52.740 --> 00:00:54.420]   especially to our young people here,
[00:00:54.420 --> 00:00:57.420]   we do actually prepare lunch for you all.
[00:00:57.420 --> 00:01:00.240]   So I know some of you, last time you came after lunch,
[00:01:00.240 --> 00:01:03.820]   and we're so sorry, we just hope you come and join us
[00:01:03.820 --> 00:01:05.780]   for lunch, I'm talking to the young people here,
[00:01:05.780 --> 00:01:07.020]   by the way, yeah.
[00:01:07.020 --> 00:01:10.140]   And youth, according to Francesca last week,
[00:01:10.140 --> 00:01:12.220]   the definition of youth in this church,
[00:01:12.220 --> 00:01:14.620]   I know we're all very young, when I look around,
[00:01:14.620 --> 00:01:17.220]   you all are so young and energetic.
[00:01:17.220 --> 00:01:20.220]   But youth in our church means people who are
[00:01:20.220 --> 00:01:23.460]   in the age range of 13 to 18.
[00:01:23.460 --> 00:01:25.660]   I hope I got this right, 13 to 18, all right?
[00:01:25.660 --> 00:01:27.460]   I know all the ladies in this room are 18,
[00:01:27.460 --> 00:01:29.100]   I know that, I know that, okay.
[00:01:29.100 --> 00:01:31.100]   Maybe we have to set this a little bit lower then.
[00:01:31.100 --> 00:01:34.540]   Anyway, so if you have any young people around you,
[00:01:34.540 --> 00:01:36.780]   please scan this QR code, invite them,
[00:01:36.780 --> 00:01:38.700]   remind them we're providing lunch as well,
[00:01:38.700 --> 00:01:40.540]   so that's happening next week.
[00:01:40.540 --> 00:01:43.620]   And I'm gonna jump forward to September
[00:01:43.620 --> 00:01:46.100]   to tell you something exciting in advance.
[00:01:46.100 --> 00:01:51.100]   Our next baptism is happening at the end of September.
[00:01:52.260 --> 00:01:56.260]   So this is the date we have set for now.
[00:01:56.260 --> 00:01:58.140]   We may change it a little bit,
[00:01:58.140 --> 00:02:00.780]   but it should be around this time.
[00:02:00.780 --> 00:02:04.300]   And the baptism class will be on the 8th and the 15th.
[00:02:04.300 --> 00:02:06.700]   So we're telling you the dates in advance
[00:02:06.700 --> 00:02:09.260]   'cause we wanna invite especially those among us,
[00:02:09.260 --> 00:02:13.540]   if you have not been baptized, which we think you should be,
[00:02:13.540 --> 00:02:17.020]   because baptism audit means it's an outward symbol
[00:02:17.020 --> 00:02:19.180]   of something that is happening inside of you.
[00:02:19.180 --> 00:02:21.140]   If you follow Jesus in your heart,
[00:02:21.140 --> 00:02:23.740]   if you accept him as your Lord and Savior,
[00:02:23.740 --> 00:02:26.100]   then baptism is a way to tell the rest of the world,
[00:02:26.100 --> 00:02:28.700]   this is what you have chosen to do
[00:02:28.700 --> 00:02:30.380]   or to believe in your heart.
[00:02:30.380 --> 00:02:33.500]   So of course, there's so much more about baptism
[00:02:33.500 --> 00:02:35.940]   and about like what's about following Jesus
[00:02:35.940 --> 00:02:39.340]   that we would love to explain to you in the baptism class.
[00:02:39.340 --> 00:02:43.260]   And even if you're not sure whether you could get baptized
[00:02:43.260 --> 00:02:45.340]   for whatever reasons,
[00:02:45.340 --> 00:02:47.700]   we still would love to invite you to the baptism class
[00:02:47.700 --> 00:02:49.300]   if you haven't joined one before.
[00:02:49.300 --> 00:02:51.260]   You will learn so much more about baptism
[00:02:51.260 --> 00:02:54.020]   and faith and everything, and you can decide.
[00:02:54.020 --> 00:02:56.300]   And we do have people in the past,
[00:02:56.300 --> 00:02:59.220]   even they couldn't join the baptism for whatever reason,
[00:02:59.220 --> 00:03:00.740]   they came to the baptism class
[00:03:00.740 --> 00:03:03.660]   and we had a great time together, I think.
[00:03:03.660 --> 00:03:07.620]   So yeah, so sign up code here
[00:03:07.620 --> 00:03:10.060]   and we will keep reminding you
[00:03:10.060 --> 00:03:12.580]   so you have more time to think about it.
[00:03:12.580 --> 00:03:15.060]   Cool, and the next announcements,
[00:03:15.060 --> 00:03:19.820]   I wanna invite someone, one of my heroes up on the stage.
[00:03:19.820 --> 00:03:22.380]   These are the heroes that's always like
[00:03:22.380 --> 00:03:23.900]   work in the background.
[00:03:23.900 --> 00:03:27.580]   And can we give it up to Justin?
[00:03:27.580 --> 00:03:30.460]   He's gonna tell us a little bit about the production team.
[00:03:30.460 --> 00:03:35.300]   - Joseph, Joseph, good morning.
[00:03:35.300 --> 00:03:38.820]   If I'm one of your heroes, you need to look higher, man.
[00:03:38.820 --> 00:03:40.700]   All right, get some better role models.
[00:03:40.700 --> 00:03:41.820]   Yeah, I'm Justin,
[00:03:41.820 --> 00:03:45.020]   I'm in charge of the production team here at Vineyuan Long.
[00:03:45.020 --> 00:03:47.340]   And I don't know, some of you might be like,
[00:03:47.340 --> 00:03:48.260]   what is production?
[00:03:48.260 --> 00:03:50.260]   I know whenever I see the word producer,
[00:03:50.260 --> 00:03:52.420]   I'm like, that doesn't mean anything to me.
[00:03:52.420 --> 00:03:54.900]   It sounds vague and fancy.
[00:03:54.900 --> 00:03:56.860]   So that's why we have a list here.
[00:03:56.860 --> 00:03:59.580]   For production team, we're basically in charge
[00:03:59.580 --> 00:04:02.820]   of anything that's got electricity, a power cable,
[00:04:02.820 --> 00:04:03.940]   that's our job.
[00:04:03.940 --> 00:04:06.060]   So sound, slides, camera, lighting,
[00:04:06.060 --> 00:04:08.900]   everything that we need to make a service run smoothly
[00:04:08.900 --> 00:04:11.940]   and help you as a congregation,
[00:04:11.940 --> 00:04:13.900]   follow along with the scriptures or hear the sermon
[00:04:13.900 --> 00:04:15.940]   or watch it back on the recording.
[00:04:15.940 --> 00:04:17.660]   That's what we do.
[00:04:17.660 --> 00:04:19.420]   So we're always looking for more people
[00:04:19.420 --> 00:04:20.940]   to join the team and help.
[00:04:20.940 --> 00:04:23.020]   If any of that interests you
[00:04:23.020 --> 00:04:24.620]   and you feel relatively comfortable
[00:04:24.620 --> 00:04:25.980]   with technology in your life,
[00:04:25.980 --> 00:04:29.460]   please come talk to me or scan the code
[00:04:29.460 --> 00:04:31.580]   and you can fill out our interest form.
[00:04:31.580 --> 00:04:34.460]   And one perk is that you get to hang out
[00:04:34.460 --> 00:04:38.340]   in the very cool, what Pastor Tim calls the VIP room.
[00:04:38.340 --> 00:04:41.620]   It's a very cool vibe back there,
[00:04:41.620 --> 00:04:42.860]   especially if you're an introvert.
[00:04:42.860 --> 00:04:46.260]   So come join us, but not too many of you
[00:04:46.260 --> 00:04:48.380]   'cause then that defeats the whole purpose.
[00:04:48.380 --> 00:04:51.100]   But yeah, no, that's why we have scheduling.
[00:04:51.100 --> 00:04:54.220]   All right, please, yeah, if you are interested,
[00:04:54.220 --> 00:04:55.060]   come talk to me.
[00:04:55.060 --> 00:04:55.900]   Thank you very much.
[00:04:55.900 --> 00:04:56.860]   - Thank you, Justin.
[00:04:56.860 --> 00:04:58.700]   I remember there was one time
[00:04:58.700 --> 00:05:00.780]   I was preaching in the Cantonese service.
[00:05:00.780 --> 00:05:05.180]   I came in like before service, I guess 15 minutes,
[00:05:05.180 --> 00:05:07.220]   I have a very last minute request,
[00:05:07.220 --> 00:05:10.780]   a very high tech kind of last minute request.
[00:05:10.780 --> 00:05:13.540]   And I talked to Justin and all he said was,
[00:05:13.540 --> 00:05:14.820]   "That's why we're here."
[00:05:14.820 --> 00:05:20.340]   I think sometimes we forget how much effort
[00:05:20.340 --> 00:05:22.220]   has been put into the service.
[00:05:22.220 --> 00:05:25.020]   And I think if you really want to learn
[00:05:25.020 --> 00:05:27.740]   to serve like Jesus, like servant leadership,
[00:05:27.740 --> 00:05:31.340]   that's a fancy word, that is a very good place to start.
[00:05:31.340 --> 00:05:35.180]   Can we put our hands together for our whole production team
[00:05:35.180 --> 00:05:37.220]   and also our welcome team as well.
[00:05:37.220 --> 00:05:39.180]   They've been serving week in, week out
[00:05:39.180 --> 00:05:41.100]   and they've been amazing.
[00:05:41.100 --> 00:05:42.660]   And talking about the welcome team,
[00:05:42.660 --> 00:05:44.620]   they're standing there ready for offering already.
[00:05:44.620 --> 00:05:46.540]   So I'll just very spoofly
[00:05:46.540 --> 00:05:48.780]   segue into our offering time as well.
[00:05:48.780 --> 00:05:52.740]   And as a welcome team, they're passing on the buckets.
[00:05:52.740 --> 00:05:55.780]   If you gift by cash or checks,
[00:05:55.780 --> 00:05:57.580]   that's how you can put it inside the buckets
[00:05:57.580 --> 00:05:58.980]   with the envelopes.
[00:05:58.980 --> 00:06:01.900]   If you want to do it in all the digital fancy ways,
[00:06:01.900 --> 00:06:04.300]   all the QR codes are on the screen.
[00:06:04.300 --> 00:06:07.940]   We just want to thank you for partnering with us
[00:06:07.940 --> 00:06:09.060]   in this church.
[00:06:09.060 --> 00:06:14.060]   And you may be aware of the alphas that we've been running.
[00:06:14.060 --> 00:06:16.020]   And alpha season will be back soon again.
[00:06:16.020 --> 00:06:18.900]   We'll tell you more about it later.
[00:06:18.900 --> 00:06:22.540]   You may remember the parenting workshop seminars
[00:06:22.540 --> 00:06:24.740]   that we're hosting and all the other ministries.
[00:06:24.740 --> 00:06:27.100]   We're very grateful that a lot of you,
[00:06:27.100 --> 00:06:29.140]   you partner with us in many different ways.
[00:06:29.140 --> 00:06:32.260]   First of all, of course, it's through your prayer.
[00:06:32.260 --> 00:06:34.900]   And of course, a lot of you would come and volunteer
[00:06:34.900 --> 00:06:36.100]   in those events.
[00:06:36.100 --> 00:06:38.380]   And also a lot of you give quite sacrificially
[00:06:38.380 --> 00:06:40.540]   to make all these possible.
[00:06:40.540 --> 00:06:43.340]   We're still finding new ways to better serve
[00:06:43.340 --> 00:06:44.940]   our community here in Yuen Long.
[00:06:44.940 --> 00:06:47.060]   That's why God planted us here.
[00:06:47.060 --> 00:06:48.140]   We're still finding ways,
[00:06:48.140 --> 00:06:50.660]   but your partnership has always been crucial.
[00:06:50.660 --> 00:06:53.940]   And I just want to say thank you to all of you for that.
[00:06:53.940 --> 00:06:57.020]   And I would love to pray for our offering today as well.
[00:06:57.020 --> 00:06:58.660]   Would you bow your heads with me?
[00:06:58.660 --> 00:07:03.060]   God, we thank you for your blessings,
[00:07:03.060 --> 00:07:05.220]   not just on us, but also through us.
[00:07:05.220 --> 00:07:09.420]   We are amazed that as a group of people here,
[00:07:09.420 --> 00:07:11.500]   as your representative, your church,
[00:07:11.500 --> 00:07:16.340]   what we can actually do to bless those people around us,
[00:07:16.340 --> 00:07:20.140]   people who know you, people who have yet to know you.
[00:07:20.140 --> 00:07:22.140]   Father, you have given us resources,
[00:07:22.140 --> 00:07:23.820]   you have given us talents,
[00:07:23.820 --> 00:07:26.220]   you have given us many different ways
[00:07:26.220 --> 00:07:28.460]   to reach out to those around us.
[00:07:28.460 --> 00:07:31.780]   I pray that Lord God, that we will continue to journey
[00:07:31.780 --> 00:07:33.900]   with you, to walk with you as a church.
[00:07:33.900 --> 00:07:36.660]   We will continue to bring your blessings
[00:07:36.660 --> 00:07:40.420]   to this community around us in Yuen Long and to our city.
[00:07:40.420 --> 00:07:43.220]   And Father, I just want to thank you
