
[00:00:00.000 --> 00:00:02.000]  多謝Chadman
[00:00:02.000 --> 00:00:07.120]  昨晚在IG上看到他在「讚美之泉」特會裡
[00:00:07.120 --> 00:00:08.800]  做了很多不同的事情
[00:00:08.800 --> 00:00:11.480]  今早就跟大家去服侍
[00:00:11.480 --> 00:00:13.480]  然後他又說去服侍VVS
[00:00:13.480 --> 00:00:16.440]  做青少年的事工果然是青年
[00:00:16.440 --> 00:00:18.440]  現在我們給Chadman掌聲
[00:00:18.440 --> 00:00:22.560]  剛才那星期我去了日本旅行
[00:00:22.560 --> 00:00:27.400]  我從來沒試過跟壽司相隔這麼近
[00:00:27.400 --> 00:00:31.560]  我在日本吃得最多的是意大利粉
[00:00:31.560 --> 00:00:35.680]  因為我跟兩個舊同事去
[00:00:35.680 --> 00:00:37.680]  他帶了小朋友
[00:00:37.680 --> 00:00:39.680]  小朋友不吃生食
[00:00:39.680 --> 00:00:41.680]  很喜歡吃意大利粉
[00:00:41.680 --> 00:00:43.680]  所以我去了六天的日本
[00:00:43.680 --> 00:00:45.680]  吃了一餐壽司
[00:00:45.680 --> 00:00:50.520]  從來沒試過跟魚生的距離這麼近
[00:00:50.520 --> 00:00:53.880]  但我跟這兩位舊同事去的時候
[00:00:53.880 --> 00:00:58.680]  令我想起我在學校裡做的第一個工作
[00:00:58.680 --> 00:01:00.160]  並不是教書
[00:01:00.160 --> 00:01:03.080]  我在澳洲讀書兩年
[00:01:03.080 --> 00:01:05.480]  在中途教了一陣子書
[00:01:05.480 --> 00:01:07.480]  然後去了澳洲讀兩年書
[00:01:07.480 --> 00:01:10.400]  回來後我也在學校裡工作
[00:01:10.400 --> 00:01:13.720]  但我在學校裡第一個接手的項目
[00:01:13.720 --> 00:01:15.080]  並不是教書
[00:01:15.080 --> 00:01:17.400]  而是去寫一份科目
[00:01:17.400 --> 00:01:20.680]  就好像鑑先生將一個中文科寫出來
[00:01:20.680 --> 00:01:22.280]  是寫了一個科目
[00:01:22.280 --> 00:01:25.360]  那個科目叫做Language Arts
[00:01:25.360 --> 00:01:26.880]  是語言的藝術
[00:01:26.880 --> 00:01:28.880]  不是教小朋友
[00:01:28.880 --> 00:01:31.360]  媽媽你煮的東西真的很好吃
