
[00:00:00.000 --> 00:00:02.800]  剛才Fan也提及到
[00:00:02.800 --> 00:00:05.120]  我們原來…
[00:00:05.120 --> 00:00:06.120]  說說時間
[00:00:06.120 --> 00:00:08.800]  其實除了一年
[00:00:08.800 --> 00:00:10.800]  還有五個星期是12月
[00:00:10.800 --> 00:00:13.160]  12月是我們張臨期
[00:00:13.160 --> 00:00:16.800]  這次的講道系列將會是我們…
[00:00:16.800 --> 00:00:19.520]  即是張臨期之前最後一個的講道系列
[00:00:19.520 --> 00:00:23.840]  我們的主題叫做「主流」
[00:00:23.840 --> 00:00:29.200]  主流是一種廣泛被散佈的思想
[00:00:29.200 --> 00:00:31.440]  當我們說主流
[00:00:31.440 --> 00:00:34.320]  大家會想起甚麼?
[00:00:34.320 --> 00:00:39.760]  主流教育、主流學校、主流媒體
[00:00:39.760 --> 00:00:42.280]  主流思想等等
[00:00:42.280 --> 00:00:42.840]  簡單來說
[00:00:42.840 --> 00:00:44.720]  主流是在我們的社會上
[00:00:44.720 --> 00:00:48.480]  大多數人所持有的生活態度
[00:00:48.480 --> 00:00:50.440]  所持續的生活方式
[00:00:50.440 --> 00:00:53.680]  以及所持守的生活價值
[00:00:53.680 --> 00:00:57.240]  跟隨主流一般來說相對比較容易
[00:00:57.240 --> 00:00:59.880]  因為我們說「隨波逐流」
[00:00:59.880 --> 00:01:00.960]  主流隨波逐流
[00:01:00.960 --> 00:01:04.760]  一般來說不需要額外花太多力氣
[00:01:04.760 --> 00:01:07.560]  但很有趣的是作為基督徒的大家
[00:01:07.560 --> 00:01:08.480]  我們
[00:01:08.480 --> 00:01:09.800]  作為主的門徒
[00:01:09.800 --> 00:01:11.760]  往往我們的信仰
[00:01:11.760 --> 00:01:14.480]  主耶穌在叫我們要活得不一樣
[00:01:14.480 --> 00:01:17.800]  跟主流是要不一樣
[00:01:17.800 --> 00:01:19.160]  主流講道系列
[00:01:19.160 --> 00:01:22.760]  是要透過耶穌教導門徒所作的比喻當中
[00:01:22.760 --> 00:01:26.080]  去學習另一種的生命價值
[00:01:26.080 --> 00:01:29.680]  天國的生命價值
[00:01:29.680 --> 00:01:31.200]  它一樣是主流
[00:01:31.200 --> 00:01:33.200]  我指的是天國的生命價值
[00:01:33.200 --> 00:01:34.720]  我們一樣稱它為主流
[00:01:34.720 --> 00:01:36.880]  不過這個主是主耶穌的主
[00:01:36.880 --> 00:01:38.360]  又玩一下食字
[00:01:38.360 --> 00:01:41.920]  上星期說得太順利、太開心了
[00:01:41.920 --> 00:01:45.600]  主流的主是主耶穌的主
[00:01:45.600 --> 00:01:47.640]  這個主流跟世界的主流
[00:01:47.640 --> 00:01:51.200]  這個主流是有著一個很強大的張力
[00:01:51.200 --> 00:01:54.800]  甚至是背道而馳的事
[00:01:54.800 --> 00:01:56.440]  主流的流
[00:01:56.440 --> 00:01:57.480]  也是stream
[00:01:57.480 --> 00:01:58.280]  流嘛
[00:01:58.280 --> 00:01:58.960]  stream
[00:01:58.960 --> 00:02:01.680]  但這個是stream of life
[00:02:01.680 --> 00:02:03.360]  生命之泉
[00:02:03.360 --> 00:02:05.960]  我們說的是stream of praise
[00:02:05.960 --> 00:02:07.240]  讚美之泉
[00:02:07.240 --> 00:02:08.960]  下星期唱多點讚美尊賢的歌
[00:02:08.960 --> 00:02:10.680]  我們可能要
[00:02:10.680 --> 00:02:11.960]  接下來五個星期
[00:02:11.960 --> 00:02:16.280]  我們會一起在主耶穌的主流當中逆流而上
[00:02:16.280 --> 00:02:21.200]  去學習怎樣在耶穌叫我們跟隨祂的時候
[00:02:21.200 --> 00:02:25.040]  我們活出一個不一樣的天國價值
[00:02:25.040 --> 00:02:26.880]  大家是不是真的準備好了?
[00:02:26.880 --> 00:02:28.360]  不如我們再祈禱一次
[00:02:28.360 --> 00:02:29.160]  我們才開始
[00:02:29.160 --> 00:02:30.760]  我們一起祈禱
[00:02:30.760 --> 00:02:31.760]  主耶穌我們感謝祢
[00:02:31.760 --> 00:02:34.800]  去教導我們什麼是祢的天國
[00:02:34.800 --> 00:02:36.200]  願祢的天國光臨
[00:02:36.200 --> 00:02:40.880]  讓祢真摯地臨在教導我們
[00:02:40.880 --> 00:02:43.080]  告訴我們什麼是祢國度的價值
[00:02:43.080 --> 00:02:43.800]  你也說
[00:02:43.800 --> 00:02:45.480]  好像你教我們禱告一樣
[00:02:45.480 --> 00:02:47.560]  祢願這個呈現在地上
[00:02:47.560 --> 00:02:49.200]  如同在天上
[00:02:49.200 --> 00:02:50.320]  我們所學的不是
[00:02:50.320 --> 00:02:52.320]  只是在天上跟我們接觸不到
[00:02:52.320 --> 00:02:53.840]  而是你要降臨
[00:02:53.840 --> 00:02:56.640]  讓祢的天國價值降臨在我們當中
[00:02:56.640 --> 00:02:57.560]  活在我們生命裡面
[00:02:57.560 --> 00:02:58.240]  我們禱告奉教
[00:02:58.240 --> 00:02:59.840]  主耶穌基督的名
