
[00:00:00.000 --> 00:00:02.240]  Amen,多謝Chairman
[00:00:02.240 --> 00:00:04.920]  我們來到加拉泰的系列
[00:00:04.920 --> 00:00:06.720]  知不知道已經來到第幾個星期了?
[00:00:06.720 --> 00:00:09.120]  已經來到第七個星期了
[00:00:09.120 --> 00:00:14.080]  有沒有人在網上或現場緊貼這個系列?
[00:00:14.080 --> 00:00:16.720]  很快就有很多人舉手
[00:00:16.720 --> 00:00:19.200]  的確是,在這幾個星期裡
[00:00:19.200 --> 00:00:21.360]  我們一直的講題都是
[00:00:21.360 --> 00:00:24.280]  我們能夠坐在這裡
[00:00:24.280 --> 00:00:27.080]  能夠相信神,也是神的恩典
[00:00:27.080 --> 00:00:29.240]  我們也是神的產物
[00:00:29.240 --> 00:00:31.480]  但有些人會想
[00:00:31.480 --> 00:00:34.680]  「啊?信?即是憑信就可以了?」
[00:00:34.680 --> 00:00:36.800]  「我們要做些什麼?」
[00:00:36.800 --> 00:00:39.480]  「要不要進去做些什麼?」
[00:00:39.480 --> 00:00:41.480]  「不用,不是,是靠好行為」
[00:00:41.480 --> 00:00:43.280]  「那是怎樣的一回事?」
[00:00:43.280 --> 00:00:45.640]  我也覺得是
[00:00:45.640 --> 00:00:47.160]  很多年之前
[00:00:47.160 --> 00:00:49.320]  很多很多年之前
[00:00:49.320 --> 00:00:51.000]  知道這個訊息
[00:00:51.000 --> 00:00:54.080]  我們是憑信去接受這個恩典
[00:00:54.080 --> 00:00:56.320]  去接受這個拯救的時候
[00:00:56.320 --> 00:00:57.960]  我下一個問題就是想
[00:00:57.960 --> 00:00:59.960]  我的部分在哪裡?
[00:00:59.960 --> 00:01:01.800]  我要做些什麼?
[00:01:01.800 --> 00:01:04.600]  如果憑信就能夠得到
[00:01:04.600 --> 00:01:07.520]  那我的生命不是應該有些改變嗎?
[00:01:07.520 --> 00:01:10.520]  如果我的生命不是靠好行為去改變的時候
[00:01:10.520 --> 00:01:12.680]  那靠些什麼能夠讓我
[00:01:12.680 --> 00:01:16.160]  活出一個不一樣的生命呢?
[00:01:16.160 --> 00:01:17.760]  有些人也在想
[00:01:17.760 --> 00:01:22.120]  你憑信就能夠得到這個救恩
[00:01:22.120 --> 00:01:23.480]  那不是很划算嗎?
[00:01:23.480 --> 00:01:25.760]  那不是坐在這裡不用做嗎?
[00:01:25.760 --> 00:01:27.400]  但我想說
[00:01:27.400 --> 00:01:29.000]  坐在這裡不用做
[00:01:29.000 --> 00:01:32.600]  是比準則要做的更辛苦
[00:01:32.600 --> 00:01:35.080]  有沒有人有這樣的感受?
[00:01:35.080 --> 00:01:37.760]  當你說坐在這裡不用做
[00:01:37.760 --> 00:01:39.520]  會有事情發生
[00:01:39.520 --> 00:01:40.960]  但你就想
[00:01:40.960 --> 00:01:42.160]  什麼時候發生?
[00:01:42.160 --> 00:01:43.480]  我要坐多久?
[00:01:43.480 --> 00:01:45.880]  究竟是要怎樣的?
[00:01:45.880 --> 00:01:47.160]  我想說那時候
[00:01:47.160 --> 00:01:50.680]  我在小學工作了九年
[00:01:50.680 --> 00:01:52.840]  第一次辭職的時候
[00:01:52.840 --> 00:01:54.920]  我在小學工作了九年
[00:01:54.920 --> 00:01:56.480]  我心底裡知道
[00:01:56.480 --> 00:02:02.200]  我不是一個永遠做小學老師的工作
[00:02:02.200 --> 00:02:07.600]  但帳面上一切都是很好的
[00:02:07.600 --> 00:02:10.640]  做小學老師收入是穩定的
[00:02:10.640 --> 00:02:13.760]  我的同事和上司都是滿意我的
[00:02:13.760 --> 00:02:14.840]  都和我一起合作
[00:02:14.840 --> 00:02:15.960]  都支持我的
[00:02:15.960 --> 00:02:20.000]  要驟然離開一個這麼舒服的環境
[00:02:20.000 --> 00:02:21.600]  去到一個未知
[00:02:21.600 --> 00:02:23.040]  你說你坐在這裡就行
[00:02:23.040 --> 00:02:24.800]  你憑信就去
[00:02:24.800 --> 00:02:26.320]  其實是很難的
[00:02:26.320 --> 00:02:30.320]  當然這個信和救恩的信是不一樣的
[00:02:30.320 --> 00:02:32.840]  一個是信了之後
[00:02:32.840 --> 00:02:35.640]  我每一天基督徒的生命信心
[00:02:35.640 --> 00:02:38.680]  另一個是我的信心
[00:02:38.680 --> 00:02:41.000]  雖然不是完全一樣
[00:02:41.000 --> 00:02:43.520]  但信的對象是一樣的
[00:02:43.520 --> 00:02:46.320]  信的需要也是一樣的
[00:02:46.320 --> 00:02:48.880]  於是當時我做了九年的老師
[00:02:48.880 --> 00:02:51.920]  我說上帝我知道有些東西放在我心裡
[00:02:51.920 --> 00:02:55.040]  我要憑信心去回答
[00:02:55.040 --> 00:02:57.200]  然後呢
[00:02:57.200 --> 00:03:00.440]  我當時去了澳洲
[00:03:00.440 --> 00:03:02.200]  打算做一個神學課程
[00:03:02.200 --> 00:03:06.200]  給自己一個時間思考自己應該怎麼做
[00:03:06.200 --> 00:03:08.320]  最難的不是辭職
[00:03:08.320 --> 00:03:12.520]  最難的也不是去一個完全陌生的地方
[00:03:12.520 --> 00:03:15.800]  最難的也不是日不敷支的生活
[00:03:15.800 --> 00:03:18.160]  最難的是坐在這裡等
[00:03:18.160 --> 00:03:20.120]  我不知道要等多久
[00:03:20.120 --> 00:03:23.200]  當你看到時間一年一年地過去
[00:03:23.200 --> 00:03:25.880]  都看不到方向的時候
[00:03:25.880 --> 00:03:27.360]  是最困難的
[00:03:27.360 --> 00:03:29.920]  我記得那時候我在澳洲
[00:03:29.920 --> 00:03:33.960]  一個全世界最白的沙的海灘
[00:03:33.960 --> 00:03:35.760]  海岸線非常之長
[00:03:35.760 --> 00:03:38.080]  我和朋友一起去到這個沙灘
[00:03:38.080 --> 00:03:40.240]  我就在這條海岸線一直走
[00:03:40.240 --> 00:03:42.320]  一直走一直走一直走
[00:03:42.320 --> 00:03:43.880]  景色沒有變過
[00:03:43.880 --> 00:03:48.280]  讓我感覺到好像和我當時的生活狀態很相似
[00:03:48.280 --> 00:03:50.280]  我每一天都做很多事情
[00:03:50.280 --> 00:03:52.280]  基本上我一至日都要上班
[00:03:52.280 --> 00:03:54.840]  我去到澳洲的時候都是做教書
[00:03:54.840 --> 00:03:56.840]  都是做補習
[00:03:56.840 --> 00:03:57.960]  每一天
[00:03:57.960 --> 00:04:00.160]  星期日完了崇拜
[00:04:00.160 --> 00:04:00.960]  完了實習
[00:04:00.960 --> 00:04:02.960]  我繼續去到教書
[00:04:02.960 --> 00:04:05.440]  星期一至日是沒有停過的
[00:04:05.440 --> 00:04:07.440]  我很努力地上課
[00:04:07.440 --> 00:04:08.960]  很努力地每天去靈修
[00:04:08.960 --> 00:04:12.600]  但是我總是走不到一個改變方向
[00:04:12.600 --> 00:04:14.080]  改變風景的狀態
[00:04:14.080 --> 00:04:17.200]  就好像在一個很長的海岸線的沙灘
[00:04:17.200 --> 00:04:19.200]  我已經走了三四個小時
[00:04:19.200 --> 00:04:20.640]  我已經走了半個小時
[00:04:20.640 --> 00:04:23.000]  但我都去不到海岸線的終點
[00:04:23.000 --> 00:04:25.000]  我的風景都是一模一樣
[00:04:25.000 --> 00:04:28.280]  我覺得自己好像原地踏步
[00:04:28.280 --> 00:04:30.280]  我相信神的能力
[00:04:30.280 --> 00:04:37.480]  我相信祂放在我心裏的熱情和感動是真的
[00:04:37.480 --> 00:04:41.480]  但是我不知道我要等多久
[00:04:41.480 --> 00:04:43.480]  最搞笑的是
[00:04:43.480 --> 00:04:45.480]  天父叫我回來香港
[00:04:45.480 --> 00:04:47.480]  我還是做教書的這一行
[00:04:47.480 --> 00:04:49.480]  這是怎樣呢?
[00:04:49.480 --> 00:04:51.480]  這是怎麼一回事呢?
[00:04:51.480 --> 00:04:57.480]  我的信心常常被我的際遇拉大和縮小
[00:04:57.480 --> 00:04:59.480]  我看到順境的時候
[00:04:59.480 --> 00:05:01.480]  我的信心很大
[00:05:01.480 --> 00:05:03.480]  但當我走到走不完
[00:05:03.480 --> 00:05:06.480]  走到走不到終點的時候
[00:05:06.480 --> 00:05:08.480]  我的信心越來越小
[00:05:08.480 --> 00:05:12.480]  《加拉派書》四章二十二節這樣說
[00:05:12.480 --> 00:05:14.480]  因為律法上記著說
