
[00:00:00.000 --> 00:00:04.000]  話說在農曆新年的時候,我就搬家了
[00:00:04.000 --> 00:00:08.000]  因為都是在附近,一個單位搬去另一個單位
[00:00:08.000 --> 00:00:10.000]  我沒有請搬家公司
[00:00:10.000 --> 00:00:14.000]  自己和我爸爸,兩個人自己開車
[00:00:14.000 --> 00:00:18.000]  開著自己的車,來來回回幾十轉就搞定了
[00:00:18.000 --> 00:00:22.000]  辛苦到不得了,不要亂試,這些東西是很辛苦
[00:00:22.000 --> 00:00:25.000]  因為舊單位開始要裝修
[00:00:25.000 --> 00:00:30.000]  我早兩天就去清理,放在床底的東西
[00:00:30.000 --> 00:00:35.000]  即是那些你放在床底很久,但又捨不得丟掉的東西
[00:00:35.000 --> 00:00:38.000]  不知道大家會不會有很多這樣的東西,藏在家的角落
[00:00:38.000 --> 00:00:44.000]  我有一個這麼大的膠箱,起碼跟了我二十年
[00:00:44.000 --> 00:00:51.000]  又是那些你捨不得丟掉,但又很想放在這裡
[00:00:51.000 --> 00:00:54.000]  我整箱就拿去新單位
[00:00:54.000 --> 00:00:56.000]  但因為箱子真的太舊了
[00:00:56.000 --> 00:00:59.000]  不知道大家有沒有試過有些膠箱殘舊了
[00:00:59.000 --> 00:01:03.000]  那些膠都脆了,大力一點就爛了
[00:01:03.000 --> 00:01:07.000]  我被迫要去打開它,看看有什麼可以丟掉
[00:01:07.000 --> 00:01:10.000]  不是很空閒,只是很細微的東西
[00:01:10.000 --> 00:01:13.000]  其實我本身是想著丟東西
[00:01:13.000 --> 00:01:18.000]  但當你去收藏一些在床底的東西的時候
[00:01:18.000 --> 00:01:21.000]  那些你很久沒有碰過的東西
[00:01:21.000 --> 00:01:25.000]  總是可以勾起一些過去的回憶
[00:01:25.000 --> 00:01:28.000]  大家有沒有收拾東西的習慣
[00:01:28.000 --> 00:01:31.000]  年廿八可能收拾了,但有時收拾東西時
[00:01:31.000 --> 00:01:34.000]  總是會有些東西真的忘記了
[00:01:34.000 --> 00:01:37.000]  但在那裡你會有很多不少的回憶
[00:01:37.000 --> 00:01:40.000]  但通常你會留下的東西
[00:01:40.000 --> 00:01:43.000]  都是一些你覺得很有紀念價值的東西
[00:01:43.000 --> 00:01:47.000]  都是一些你希望將來你看回的時候
[00:01:47.000 --> 00:01:49.000]  可以幫你勾起的回憶
[00:01:49.000 --> 00:01:52.000]  可以幫你勾起一些感覺
[00:01:52.000 --> 00:01:55.000]  因為你不想忘記
[00:01:55.000 --> 00:01:57.000]  那我找到什麼呢?
[00:01:57.000 --> 00:02:00.000]  我就找到一些獎牌
[00:02:00.000 --> 00:02:05.000]  其中一個是當年在元朗區學界跳高冠軍
[00:02:05.000 --> 00:02:06.000]  你沒有看過我這個高度
[00:02:06.000 --> 00:02:10.000]  我學界跳高冠軍,貝爾錫那些,你知不知道?
[00:02:10.000 --> 00:02:12.000]  是呀,多謝你提醒
[00:02:12.000 --> 00:02:15.000]  那時候是四年級,現在四十多歲
[00:02:15.000 --> 00:02:19.000]  不要亂來,四年級的獎牌
[00:02:19.000 --> 00:02:22.000]  那我又找到一些價值鍊成的東西
[00:02:22.000 --> 00:02:25.000]  譬如是龍珠的閃卡
[00:02:25.000 --> 00:02:27.000]  大家有沒有龍珠的閃卡?
[00:02:27.000 --> 00:02:30.000]  沒有呀
[00:02:30.000 --> 00:02:33.000]  那些是甜品,可以吃的,下次帶回來給你吃
[00:02:33.000 --> 00:02:37.000]  還有很珍貴的NBA球星卡
[00:02:37.000 --> 00:02:39.000]  有沒有?
[00:02:39.000 --> 00:02:41.000]  我們不同世代,難道?
[00:02:41.000 --> 00:02:45.000]  不要緊,有一樣一定不可以沒有的,YES卡
[00:02:45.000 --> 00:02:49.000]  有沒有YES卡?
[00:02:49.000 --> 00:02:56.000]  你們說吧,你們找別人吧
[00:02:56.000 --> 00:02:58.000]  比卡超卡有沒有?
[00:02:58.000 --> 00:03:01.000]  我沒有,在兒童那裡
[00:03:01.000 --> 00:03:03.000]  YES卡
[00:03:03.000 --> 00:03:05.000]  我又找到什麼呢?
[00:03:05.000 --> 00:03:09.000]  還有一些跟以前的中學同學拍的照片
[00:03:09.000 --> 00:03:12.000]  跟不同朋友拍的貼紙照片
[00:03:12.000 --> 00:03:14.000]  那我不知道大家有些什麼
[00:03:14.000 --> 00:03:17.000]  可能你有本紀念冊
[00:03:17.000 --> 00:03:22.000]  或者有一些你曾經收過的信
[00:03:22.000 --> 00:03:27.000]  當你拿出來的時候,其實你都很可能會會心微笑
[00:03:27.000 --> 00:03:29.000]  是不是?回看過去的東西會心微笑
[00:03:29.000 --> 00:03:31.000]  因為這些東西是陪著你成長的
[00:03:31.000 --> 00:03:33.000]  又或者你手上拿著的東西
[00:03:33.000 --> 00:03:36.000]  其實是讓你想起你經歷過的一些事
[00:03:36.000 --> 00:03:39.000]  也是因著這些每一件事情
[00:03:39.000 --> 00:03:41.000]  你在當中去成長
[00:03:41.000 --> 00:03:43.000]  當我一直在看我的YES卡
[00:03:43.000 --> 00:03:45.000]  看我的貼紙照片,很開心的時候
[00:03:45.000 --> 00:03:53.000]  我看到一張用一個中學中文作文的原稿紙寫的一封信
[00:03:53.000 --> 00:03:55.000]  那封信在這裡
[00:03:55.000 --> 00:04:01.000]  這封信是一位當時一個38歲的媽媽
[00:04:01.000 --> 00:04:08.000]  她鐵橫銀鉤,字字鏗鏘,虎口婆心地
[00:04:08.000 --> 00:04:11.000]  用了紅色的原子筆
[00:04:11.000 --> 00:04:15.000]  寫給一個16歲的小孩
[00:04:15.000 --> 00:04:18.000]  大家想不想看一下?
[00:04:18.000 --> 00:04:22.000]  當然不行啦,大哥
[00:04:22.000 --> 00:04:25.000]  這封家書可以出一出
[00:04:25.000 --> 00:04:27.000]  方便大家可以看
[00:04:27.000 --> 00:04:31.000]  為了大家的著想,人是很有求知慾的
[00:04:31.000 --> 00:04:33.000]  就會想讀完所有東西,所以我打開了它
[00:04:33.000 --> 00:04:35.000]  看重點
[00:04:35.000 --> 00:04:37.000]  這封家書
[00:04:37.000 --> 00:04:39.000]  這裡看不清楚
[00:04:39.000 --> 00:04:41.000]  1999年4月2日
[00:04:41.000 --> 00:04:46.000]  1999年4月2日是差不多會考
[00:04:46.000 --> 00:04:49.000]  是臨近會考的那個月
[00:04:49.000 --> 00:04:53.000]  當時這位年輕人
[00:04:53.000 --> 00:04:57.000]  和一位女同學
[00:04:57.000 --> 00:05:00.000]  因為感情的問題無心向學
[00:05:00.000 --> 00:05:03.000]  即是每天只顧著逛街,不讀書那些
[00:05:03.000 --> 00:05:07.000]  有沒有一些青春期的父母在這裡?
[00:05:07.000 --> 00:05:09.000]  如果你的兒子下個月會考
[00:05:09.000 --> 00:05:11.000]  他過去那半年都是只顧著逛街
[00:05:11.000 --> 00:05:13.000]  他成績本身是很好的
[00:05:13.000 --> 00:05:15.000]  不過一落千丈
[00:05:15.000 --> 00:05:17.000]  你很擔心
[00:05:17.000 --> 00:05:19.000]  罵也罵過,勸也勸過
[00:05:19.000 --> 00:05:21.000]  都沒有辦法
[00:05:21.000 --> 00:05:23.000]  最終最後
[00:05:23.000 --> 00:05:25.000]  希望用一封
[00:05:25.000 --> 00:05:27.000]  用紅色原字筆寫的家書
[00:05:27.000 --> 00:05:29.000]  放在他桌上
[00:05:29.000 --> 00:05:31.000]  他能夠自己坐下的時候
[00:05:31.000 --> 00:05:35.000]  自己看看媽媽跟他說了什麼
[00:05:35.000 --> 00:05:37.000]  當然最終
[00:05:37.000 --> 00:05:42.000]  這位迷惘迷失的青年
[00:05:42.000 --> 00:05:44.000]  不知道寫在哪裡
[00:05:44.000 --> 00:05:46.000]  Anyway,16歲
[00:05:46.000 --> 00:05:50.000]  最終他這麼執迷不悟
[00:05:50.000 --> 00:05:53.000]  喚醒他的並不是這封家書
