
[00:00:00.000 --> 00:00:03.000]   >>
[00:00:03.000 --> 00:00:04.640]   Welcome everyone and welcome to everyone
[00:00:04.640 --> 00:00:05.540]   joining us online.
[00:00:05.540 --> 00:00:08.780]   Some weeks ago
[00:00:08.780 --> 00:00:10.780]   one of my daughters, my son and I
[00:00:10.780 --> 00:00:13.820]   were returning home.
[00:00:13.820 --> 00:00:15.820]   As we came up to our apartment building
[00:00:15.820 --> 00:00:18.860]   you have to scan
[00:00:18.860 --> 00:00:20.220]   your Octopus card to get in.
[00:00:20.220 --> 00:00:23.200]   It is specially linked.
[00:00:23.200 --> 00:00:26.160]   In previous years
[00:00:26.160 --> 00:00:28.900]   if you were a family unit and you were coming in
[00:00:28.940 --> 00:00:30.500]   you had to zap your card
[00:00:30.500 --> 00:00:33.500]   and you could all enter.
[00:00:33.500 --> 00:00:34.980]   Lately they have gotten really strict
[00:00:34.980 --> 00:00:36.540]   and they have been wanting everyone
[00:00:36.540 --> 00:00:39.340]   to touch their card as they come in.
[00:00:39.340 --> 00:00:42.080]   As we came up to the doorway
[00:00:42.080 --> 00:00:44.420]   my son and daughter were in front of me.
[00:00:44.420 --> 00:00:47.420]   I was behind them
[00:00:47.420 --> 00:00:49.580]   and I had my earphones in and I was watching
[00:00:49.580 --> 00:00:50.620]   on my phone
[00:00:50.620 --> 00:00:53.560]   one of the loves of my life, rugby.
[00:00:53.560 --> 00:00:54.520]   I was completely immersed
[00:00:54.520 --> 00:00:57.560]   in this game
[00:00:57.600 --> 00:01:00.200]   and my two children were in front of me
[00:01:00.200 --> 00:01:02.200]   and they both went and zapped their cards
[00:01:02.200 --> 00:01:04.140]   and I just followed in behind them.
[00:01:04.140 --> 00:01:07.040]   I did not zap my card.
[00:01:07.040 --> 00:01:08.880]   The elderly security guard
[00:01:08.880 --> 00:01:11.080]   saw me and he pointed at the machine
[00:01:11.080 --> 00:01:13.980]   like you need to zap your card.
[00:01:13.980 --> 00:01:16.740]   I ignored him
[00:01:16.740 --> 00:01:19.780]   and kept walking
[00:01:19.780 --> 00:01:22.280]   and I pointed to my son and daughter like I am
[00:01:22.280 --> 00:01:23.520]   with them.
[00:01:23.520 --> 00:01:25.060]   I must have made a noise
[00:01:25.080 --> 00:01:28.140]   and it must have been
[00:01:28.140 --> 00:01:31.080]   a little bit loud
[00:01:31.080 --> 00:01:32.640]   because my son immediately turned around
[00:01:32.640 --> 00:01:34.040]   to me and he said
[00:01:34.040 --> 00:01:37.080]   that was really rude.
[00:01:37.080 --> 00:01:40.160]   When Andrew
[00:01:40.160 --> 00:01:42.860]   asked me to speak on this message
[00:01:42.860 --> 00:01:45.320]   of living a life worthy of the calling of God
[00:01:45.320 --> 00:01:47.120]   and I am somebody
[00:01:47.120 --> 00:01:49.020]   that is still being held accountable
[00:01:49.020 --> 00:01:51.400]   in the way I walk and live by my son
[00:01:51.400 --> 00:01:54.160]   I was like
[00:01:54.200 --> 00:01:57.060]   writing back to Andrew
[00:01:57.060 --> 00:01:59.600]   going I will do this but you need to know
[00:01:59.600 --> 00:02:01.340]   that this is very much something
[00:02:01.340 --> 00:02:02.840]   that I am wrestling with
[00:02:02.840 --> 00:02:05.600]   and I am a work in progress.
[00:02:05.600 --> 00:02:07.140]   He replied back to me
[00:02:07.140 --> 00:02:08.280]   and said yes,
[00:02:08.280 --> 00:02:09.340]   that is the honesty
[00:02:09.340 --> 00:02:12.340]   that we need.
[00:02:12.340 --> 00:02:13.940]   Today I will be sharing with you
[00:02:13.940 --> 00:02:17.020]   some things
[00:02:17.020 --> 00:02:19.680]   that are at work within me
[00:02:19.680 --> 00:02:21.880]   and I hope that they will be an encouragement
[00:02:21.920 --> 00:02:24.980]   to you as well.
[00:02:24.980 --> 00:02:25.980]   Let's read Ephesians 4
[00:02:25.980 --> 00:02:29.020]   verses 1-10
[00:02:29.020 --> 00:02:30.560]   as a prisoner for the Lord
[00:02:30.560 --> 00:02:32.320]   I urge you to live a life
[00:02:32.320 --> 00:02:33.520]   worthy of the calling
[00:02:33.520 --> 00:02:36.460]   you have received.
[00:02:36.460 --> 00:02:37.620]   Be completely humble and gentle
[00:02:37.620 --> 00:02:40.700]   and be patient
[00:02:40.700 --> 00:02:43.260]   and bearing with one another in love.
[00:02:43.260 --> 00:02:45.560]   Make every effort to keep the unity of the
[00:02:45.560 --> 00:02:48.240]   spirit through the bond of peace.
[00:02:48.240 --> 00:02:50.240]   There is one body and one spirit
[00:02:50.280 --> 00:02:51.680]   just as you were called
[00:02:51.680 --> 00:02:52.880]   to one hope
[00:02:52.880 --> 00:02:55.880]   when you were called.
[00:02:55.880 --> 00:02:57.520]   One Lord, one faith, one baptism
[00:02:57.520 --> 00:02:59.440]   one God and father of all
[00:02:59.440 --> 00:03:00.440]   who is overall
[00:03:00.440 --> 00:03:01.480]   and through all
[00:03:01.480 --> 00:03:04.480]   and in all.
[00:03:04.480 --> 00:03:06.060]   But to each one of us,
[00:03:06.060 --> 00:03:07.120]   grace has been given
[00:03:07.120 --> 00:03:10.120]   as Christ apportioned it.
[00:03:10.120 --> 00:03:11.320]   This is why it says
[00:03:11.320 --> 00:03:12.660]   when he ascended on high
[00:03:12.660 --> 00:03:13.720]   he took many captives
[00:03:13.720 --> 00:03:14.760]   and gave gifts
[00:03:14.760 --> 00:03:17.760]   to his children.
[00:03:17.760 --> 00:03:18.960]   What does he ascended mean
[00:03:19.000 --> 00:03:20.500]   except that he also descended
[00:03:20.500 --> 00:03:23.000]   to the lower earthly regions?
[00:03:23.000 --> 00:03:24.040]   He who descended
[00:03:24.040 --> 00:03:25.140]   is the very one
[00:03:25.140 --> 00:03:26.160]   who ascended
[00:03:26.160 --> 00:03:27.640]   higher than all the heavens
[00:03:27.640 --> 00:03:28.740]   in order to fill
[00:03:28.740 --> 00:03:31.740]   the whole universe.
[00:03:31.740 --> 00:03:33.280]   I would like to focus first
[00:03:33.280 --> 00:03:36.280]   on Ephesians 4 verse 1
[00:03:36.280 --> 00:03:37.580]   as a prisoner for the Lord
[00:03:37.580 --> 00:03:40.440]   then I urge you
[00:03:40.440 --> 00:03:42.020]   to live a life worthy
[00:03:42.020 --> 00:03:43.020]   of the calling
[00:03:43.020 --> 00:03:46.020]   you have received.
[00:03:46.020 --> 00:03:47.280]   The new King James Version
[00:03:47.640 --> 00:03:48.640]   says I therefore
[00:03:48.640 --> 00:03:49.680]   the prisoner of the Lord
[00:03:49.680 --> 00:03:50.720]   beseech you
[00:03:50.720 --> 00:03:51.740]   to walk worthy
[00:03:51.740 --> 00:03:52.780]   of the calling
