
[00:00:00.000 --> 00:00:05.000]  眨眼現在已經是二月了,時間是不是過得很快?
[00:00:05.000 --> 00:00:13.000]  上個月我們教會有一個FASTING的時間
[00:00:13.000 --> 00:00:19.000]  不知道過去一個星期大家除了很享受禁食之後的大解放之外
[00:00:19.000 --> 00:00:25.000]  有沒有時間去整理一下或者去想一下在這二十一日的裏面
[00:00:25.000 --> 00:00:27.000]  你有些什麼領受呢?
[00:00:27.000 --> 00:00:31.000]  過去這麼多次FASTING,我自己也有很多不同的領受
[00:00:31.000 --> 00:00:38.000]  但過去通常都是關於個人的一些breakthrough,個人的一些領受
[00:00:38.000 --> 00:00:42.000]  但今年很奇妙,今年全部東西都是關於教會的
[00:00:42.000 --> 00:00:47.000]  上帝讓我看見很多的東西,讓我看見很多教會的需要
[00:00:47.000 --> 00:00:52.000]  讓我看見很多事工的需要,可能健康上的需要
[00:00:52.000 --> 00:01:02.000]  當然小健康上也有需要,老婆看見我有需要所以給我一杯水
[00:01:02.000 --> 00:01:06.000]  不要放在這裏,不然我們又有需要添置一個新keyboard
[00:01:06.000 --> 00:01:12.000]  很多不同的需要,尤其是弟兄姊妹一些屬靈生命上的需要
[00:01:12.000 --> 00:01:17.000]  但過去一個星期我還在整理很多領受的時候
[00:01:17.000 --> 00:01:20.000]  我們上個星期三有我們定期的同工會
[00:01:20.000 --> 00:01:25.000]  在同工當中我們也有分享過去的日子,在FASTING裏面有些什麼領受
[00:01:25.000 --> 00:01:30.000]  在祈禱分享裏面我得到一句說話
[00:01:30.000 --> 00:01:33.000]  我相信這句說話是耶穌跟我說的
[00:01:33.000 --> 00:01:36.000]  但這句說話有可能耶穌真的都是跟大家說
[00:01:36.000 --> 00:01:40.000]  所以我很想藉著這個機會跟大家分享這句說話
[00:01:40.000 --> 00:01:42.000]  那句說話耶穌跟我說
[00:01:42.000 --> 00:01:47.000]  Let me lead my people
[00:01:47.000 --> 00:01:53.000]  耶穌跟我說,我的人等我自己帶,我的人等我去帶
[00:01:53.000 --> 00:01:57.000]  沒錯,我們當中可能有很多頂尖的有不同的需要
[00:01:57.000 --> 00:02:01.000]  可能需要不同的方法,不同的意見,不同的指引
[00:02:01.000 --> 00:02:03.000]  去幫助你去解決很多不同的問題
[00:02:03.000 --> 00:02:06.000]  但今天當你來到這裏的時候
[00:02:06.000 --> 00:02:10.000]  你只需要見到一樣東西,就是耶穌的帶領
[00:02:10.000 --> 00:02:14.000]  你只需要見到耶穌的帶領
[00:02:14.000 --> 00:02:18.000]  家庭、工作、健康、剛才所說的屬靈、生命
[00:02:18.000 --> 00:02:22.000]  很多的問題,其實基本上人生本身就是充滿大大小小的問題
[00:02:22.000 --> 00:02:24.000]  需要我們去解決
[00:02:24.000 --> 00:02:29.000]  哪怕你有幾好的perfect solution,很完美的一些計劃
[00:02:29.000 --> 00:02:34.000]  但是如果當中不是有耶穌的帶領的時候
[00:02:34.000 --> 00:02:36.000]  你永遠不會得到那份的平安
[00:02:36.000 --> 00:02:39.000]  你永遠都會不知道那件事是不是真的可以處理
[00:02:39.000 --> 00:02:42.000]  和好像你所想的那樣去處理
[00:02:42.000 --> 00:02:44.000]  在這裏當中我的領受是
[00:02:44.000 --> 00:02:51.000]  跟隨耶穌的重點不是在於你用什麼方法去處理這件事
[00:02:51.000 --> 00:02:55.000]  重點是你處理這件事,或者你生命當中很多的事的時候
[00:02:55.000 --> 00:02:58.000]  你是抱著什麼態度,抱著什麼心態
[00:02:58.000 --> 00:03:02.000]  抱著什麼價值觀去做每一個的決定
[00:03:02.000 --> 00:03:09.000]  上帝最佳的方法是永遠人類不會想得到
[00:03:09.000 --> 00:03:11.000]  永遠不會想得到
[00:03:11.000 --> 00:03:14.000]  最好的例子就是耶穌基督的十字架
[00:03:14.000 --> 00:03:19.000]  耶穌基督十字架的救恩,他用死亡來戰勝死亡
[00:03:19.000 --> 00:03:21.000]  人是不可能做到,也不可能想得到
[00:03:21.000 --> 00:03:23.000]  這個也是一個最好的例子
[00:03:23.000 --> 00:03:26.000]  上帝的方法永遠比我們的方法好
[00:03:26.000 --> 00:03:31.000]  更加重要的是,當耶穌的帶領去到我們當中生命裏面的時候
[00:03:31.000 --> 00:03:37.000]  他從來不會只是停在去解決我們生命裏面一些小我的問題
[00:03:37.000 --> 00:03:42.000]  耶穌永遠是幫助我們,不需要再去只定精在我們自己的小我
[00:03:42.000 --> 00:03:47.000]  我們自己生命上的事,我們自己的罪或者其他人的罪影響到我們
[00:03:47.000 --> 00:03:52.000]  耶穌是要將無論我們小我大我,他都是完全地去醫治
[00:03:52.000 --> 00:03:56.000]  他讓我們帶到我們去那個大我的當中
[00:03:56.000 --> 00:04:01.000]  基督的身體,世界的需要,神的國度
[00:04:01.000 --> 00:04:04.000]  讓我們不只是看著我們自己
[00:04:04.000 --> 00:04:09.000]  耶穌的救恩是幫助我們看得更多更大
[00:04:09.000 --> 00:04:17.000]  所以,弟兄姊妹今天,如果我們在這裏一起去領受到一些東西
[00:04:17.000 --> 00:04:21.000]  是耶穌基督的帶領,無論是事工也好,各樣東西也好
[00:04:21.000 --> 00:04:23.000]  如果我們都這樣見到的時候
[00:04:23.000 --> 00:04:26.000]  我們一起去捉緊這些東西
[00:04:26.000 --> 00:04:31.000]  我們一起在接下來這一年,讓耶穌親自去帶領我們教會
[00:04:31.000 --> 00:04:33.000]  耶穌親自去帶領我們
[00:04:33.000 --> 00:04:36.000]  當我們一起去領受的時候
[00:04:36.000 --> 00:04:38.000]  好像剛才所說,我們見到的只有一樣東西
[00:04:38.000 --> 00:04:41.000]  見到耶穌的帶領,我們聽到耶穌的聲音
[00:04:41.000 --> 00:04:43.000]  見得到耶穌,跟隨耶穌
[00:04:43.000 --> 00:04:45.000]  我們一起祈禱
[00:04:45.000 --> 00:04:49.000]  主耶穌,祢是我們的好睦人
[00:04:49.000 --> 00:04:52.000]  是呀,祢說祢親自去帶領我們
[00:04:52.000 --> 00:04:57.000]  所以主呀,我們亦都讓我們自己在一個位置,一個狀態
[00:04:57.000 --> 00:05:01.000]  是期待,等待,亦都準備好被你去帶領
[00:05:01.000 --> 00:05:05.000]  藉著聖靈的幫助,藉著你的話語,今天去跟我們說話
[00:05:05.000 --> 00:05:09.000]  讓我們更加能夠學習得到怎樣去全心去跟隨你
[00:05:09.000 --> 00:05:13.000]  我們能夠這樣去跟隨你,是我們每一個人的福氣
[00:05:13.000 --> 00:05:15.000]  我們祈禱是奉主你的聖名而求
[00:05:15.000 --> 00:05:17.000]  Amen
[00:05:17.000 --> 00:05:19.000]  好像已經說完道了
[00:05:19.000 --> 00:05:21.000]  未呀,現在剛剛開始
[00:05:21.000 --> 00:05:23.000]  今天我們會
[00:05:23.000 --> 00:05:25.000]  眨下眼又完了
[00:05:25.000 --> 00:05:27.000]  所以不要邀請大家眨眼
[00:05:27.000 --> 00:05:31.000]  好,我們延續我們今天要說的經文
[00:05:31.000 --> 00:05:35.000]  就是在耶穌剛剛開展他的時宮的第一篇講道
[00:05:35.000 --> 00:05:37.000]  八福裡面的最後一福
[00:05:37.000 --> 00:05:41.000]  馬太福音五章十節
[00:05:41.000 --> 00:05:43.000]  為易受迫害的人有福了
[00:05:43.000 --> 00:05:46.000]  因為天國是他們的
[00:05:46.000 --> 00:05:48.000]  第十一十二節那裡
[00:05:48.000 --> 00:05:51.000]  很多時候都會說是第十節的延續
[00:05:51.000 --> 00:05:55.000]  或者是耶穌去演述第八福的地方
[00:05:55.000 --> 00:05:57.000]  我們一起看
[00:05:57.000 --> 00:06:00.000]  人若因我辱罵你們,迫害你們,
[00:06:00.000 --> 00:06:03.000]  捏造各樣壞話誹謗你們,你們就有福了
[00:06:03.000 --> 00:06:08.000]  要歡喜快樂,因為你們在天上的賞賜是很多的
[00:06:08.000 --> 00:06:14.000]  在你們以前的先知,人也是這樣被迫害
[00:06:14.000 --> 00:06:18.000]  讀到這段經文
[00:06:18.000 --> 00:06:22.000]  看到為易受迫害這五個字
[00:06:22.000 --> 00:06:24.000]  很多人有不同的看法
[00:06:24.000 --> 00:06:26.000]  其中一個看法是
[00:06:26.000 --> 00:06:28.000]  不太關我的事
[00:06:28.000 --> 00:06:30.000]  或者跟我還有好一段距離
[00:06:30.000 --> 00:06:33.000]  尤其是在香港這個地方
