
[00:00:00.000 --> 00:00:01.480]  我再次介紹一下我自己
[00:00:01.480 --> 00:00:02.440]  我是June
[00:00:02.440 --> 00:00:03.680]  在這裡服侍的
[00:00:03.680 --> 00:00:07.040]  特別是在家庭和小朋友上的事工
[00:00:07.040 --> 00:00:08.040]  我是特別多的
[00:00:08.040 --> 00:00:10.320]  所以如果有什麼家庭
[00:00:10.320 --> 00:00:11.240]  小朋友
[00:00:11.240 --> 00:00:12.200]  Baby Dedication
[00:00:12.200 --> 00:00:14.280]  都可以歡迎來找我
[00:00:14.280 --> 00:00:17.840]  我今天也想說一件暴露年齡系列的事件
[00:00:17.840 --> 00:00:20.600]  我就是考A Level的
[00:00:20.600 --> 00:00:22.000]  有沒有人考A Level的
[00:00:22.000 --> 00:00:22.520]  (什麼來的)
[00:00:22.520 --> 00:00:24.480]  (笑聲)
[00:00:24.480 --> 00:00:28.480]  有人支持我的
[00:00:28.480 --> 00:00:31.680]  我考A Level的時候除了文化和英文之外
[00:00:31.680 --> 00:00:35.880]  我選修的是中史、西史和文學
[00:00:35.880 --> 00:00:37.240]  (嘩)
[00:00:37.240 --> 00:00:38.440]  全部都是背誦
[00:00:38.440 --> 00:00:41.480]  但我最記得那一科是中史科
[00:00:41.480 --> 00:00:44.640]  因為你不要以為中史科只是讀歷史那麼簡單
[00:00:44.640 --> 00:00:52.400]  它是將中國所有的政治、經濟、交通、宗教、學術、思想
[00:00:52.400 --> 00:00:56.000]  所有的東西分開七大範疇去背誦
[00:00:56.000 --> 00:01:00.120]  我最記得的是鄭和下西洋七次的路線
[00:01:00.120 --> 00:01:01.800]  我每一條路線都要背誦
[00:01:01.800 --> 00:01:04.320]  還要在印度叫做「鵑獨」
[00:01:04.320 --> 00:01:07.600]  它的名字是我從來沒有經歷過的地方
[00:01:07.600 --> 00:01:09.040]  所有的東西都要背誦
[00:01:09.040 --> 00:01:10.960]  我就覺得心很累
[00:01:10.960 --> 00:01:15.520]  考完最後一個試的時候
[00:01:15.520 --> 00:01:17.520]  我覺得我不能再背這麼多東西下去
[00:01:17.520 --> 00:01:19.200]  我會陣亡
[00:01:19.200 --> 00:01:21.080]  於是我就戰戰兢兢
[00:01:21.080 --> 00:01:22.200]  膽戰心驚
[00:01:22.200 --> 00:01:25.040]  去到我中史科的老師那裡說
[00:01:25.040 --> 00:01:27.720]  「老師,我想放棄你的科目」
[00:01:27.720 --> 00:01:30.240]  搞得好像分手一樣
[00:01:30.240 --> 00:01:32.880]  「我要跟你分手,中史科」
[00:01:32.880 --> 00:01:35.400]  老師說「不可以」
[00:01:35.400 --> 00:01:37.160]  「你繼續跟我考下去」
[00:01:37.160 --> 00:01:39.120]  於是我就覺得
[00:01:39.120 --> 00:01:40.960]  我一定要死掉它
[00:01:40.960 --> 00:01:42.360]  我一定要考好它
[00:01:42.360 --> 00:01:44.200]  這一科是這麼大科
[00:01:44.200 --> 00:01:45.720]  這麼多東西要背誦的時候
[00:01:45.720 --> 00:01:48.480]  我無論如何一定要做好它
[00:01:48.480 --> 00:01:51.000]  於是在茫茫大海之中
[00:01:51.000 --> 00:01:54.800]  那百多二百題可能會猜到的題目當中
[00:01:54.800 --> 00:01:57.880]  我精挑細選了四十條
[00:01:57.880 --> 00:02:00.280]  試想想,七份報告
[00:02:00.280 --> 00:02:01.800]  我選了四十條來讀
[00:02:01.800 --> 00:02:03.880]  我真的貼得很準確
[00:02:03.880 --> 00:02:05.280]  我去考試
[00:02:05.280 --> 00:02:07.760]  大家都聽到這個故事的最後是怎樣
[00:02:07.760 --> 00:02:09.520]  它一條都沒有出
[00:02:09.520 --> 00:02:11.000]  我一條都沒有出
[00:02:11.000 --> 00:02:13.640]  有些甚至是隔年就出
[00:02:13.640 --> 00:02:16.280]  它出了十幾年都是隔年就出的題目
[00:02:16.280 --> 00:02:17.960]  它都沒有出
[00:02:17.960 --> 00:02:20.200]  簡直是從頭學頂
[00:02:20.200 --> 00:02:21.360]  凍到腳趾尾
