
[00:00:00.000 --> 00:00:04.000]  不知道你覺得在敬拜中
[00:00:04.000 --> 00:00:10.000]  有些東西是很有力量的
[00:00:10.000 --> 00:00:14.000]  好像有些東西在我們中間不一樣
[00:00:14.000 --> 00:00:18.000]  過去幾個星期我們說的訊息是關於我們教會的儀仗
[00:00:18.000 --> 00:00:22.000]  過去幾個星期我們說我們如何參與
[00:00:22.000 --> 00:00:25.000]  去貢獻在這個城市裏面,如何去禱告
[00:00:25.000 --> 00:00:29.000]  上星期我們特別為這個地方不同的群體
[00:00:29.000 --> 00:00:32.000]  為不同的需要去祈禱
[00:00:32.000 --> 00:00:34.000]  我不知道你剛才在敬拜中是否感受到
[00:00:34.000 --> 00:00:37.000]  神好像開始在改變我們
[00:00:37.000 --> 00:00:42.000]  今個星期我會繼續說上次我們也有禱告的部分
[00:00:42.000 --> 00:00:47.000]  上次我們在那邊,大家記不記得我們在那邊為甚麼人去祈禱
[00:00:47.000 --> 00:00:51.000]  對,我們為青少年,為我們的下一代去禱告
[00:00:51.000 --> 00:00:55.000]  今天我所說的也會和我們的下一代有關
[00:00:55.000 --> 00:00:59.000]  不過大家應該沒有甚麼人知道,我先說說
[00:00:59.000 --> 00:01:04.000]  大家來到大英之妹,我們在元朗認識
[00:01:04.000 --> 00:01:09.000]  可能沒有人知道我在The Vine以前是Youth Pastor
[00:01:09.000 --> 00:01:15.000]  所以這期我經常在行走江湖時自稱是一個退休的Youth Pastor
[00:01:15.000 --> 00:01:18.000]  很棒,我很喜歡去做年青人的工作
[00:01:18.000 --> 00:01:22.000]  因為一邊可以吃玩玩,一邊可以改變世界
[00:01:22.000 --> 00:01:26.000]  陪他們吃玩,陪他們玩和睡覺
[00:01:26.000 --> 00:01:28.000]  在改變這個世界
[00:01:28.000 --> 00:01:31.000]  因為我們知道當我們得著下一代
[00:01:31.000 --> 00:01:35.000]  當我們改變下一代,我們在改變未來的世界
[00:01:35.000 --> 00:01:38.000]  不是只有我們這樣想
[00:01:38.000 --> 00:01:40.000]  這個世界上有很多人都是這樣想
[00:01:40.000 --> 00:01:44.000]  所以我們知道這一代他們在面對很多挑戰
[00:01:44.000 --> 00:01:48.000]  而這一代他們面對很多挑戰,到了一個地步
[00:01:48.000 --> 00:01:52.000]  可能在我們身邊的這幾年裡,你會有很多朋友告訴你
[00:01:52.000 --> 00:01:58.000]  我為了我下一代的緣故,我可能要搬到另一個地方去住
[00:01:58.000 --> 00:02:02.000]  我要離開這個我們很熟悉,這個我們所成長的城市
[00:02:02.000 --> 00:02:04.000]  可能因為都是那個年紀
[00:02:04.000 --> 00:02:08.000]  有很多朋友聊天,談到這個題目時
[00:02:08.000 --> 00:02:11.000]  都是在說我為我的下一代要去做這個選擇
[00:02:11.000 --> 00:02:18.000]  如果我們要去消化一下,解構一下這個說法背後的思想的話
[00:02:18.000 --> 00:02:20.000]  我們得到的問題好像就是
[00:02:20.000 --> 00:02:25.000]  我們的城市,這個環境究竟適不適合我們的下一代呢?
[00:02:25.000 --> 00:02:27.000]  好像這個就是我們要去面對的問題
[00:02:27.000 --> 00:02:30.000]  無可否認環境是真的有影響
[00:02:30.000 --> 00:02:33.000]  但當我們今天很多人都說
[00:02:33.000 --> 00:02:37.000]  我們不知道究竟可以怎樣在這個地方,這個環境裡去養育
[00:02:37.000 --> 00:02:39.000]  去教育我們的下一代的時候
[00:02:39.000 --> 00:02:43.000]  所以我們可能要選擇去其他地方,選擇離開的時候
[00:02:43.000 --> 00:02:45.000]  我想問大家的問題是
[00:02:45.000 --> 00:02:49.000]  我們在這裡的人,我們又懂不懂得怎樣去教育我們
[00:02:49.000 --> 00:02:53.000]  或者怎樣去興起,去養育我們的下一代
[00:02:53.000 --> 00:02:55.000]  我們懂不懂得教育我們的下一代
[00:02:55.000 --> 00:02:59.000]  這個問題其實不是由這幾年我們才開始要去想
[00:02:59.000 --> 00:03:04.000]  或者當我講白一點,我們不懂得怎樣去教育我們的下一代
[00:03:04.000 --> 00:03:06.000]  其實這個問題不是這幾年才發生
[00:03:06.000 --> 00:03:09.000]  不是當環境轉變了的時候,這個問題才出現
[00:03:09.000 --> 00:03:14.000]  老老實實,大家是不是這幾年坐車的時候
[00:03:14.000 --> 00:03:18.000]  你看著家長和兒子才會想,這個人真的不懂得教育兒子
[00:03:18.000 --> 00:03:22.000]  你不是這幾年才開始去想這個東西,有這樣的感覺,是嗎?
[00:03:22.000 --> 00:03:25.000]  但當我們看著自己的小朋友
[00:03:25.000 --> 00:03:28.000]  我自己是guilty as charged,我自己也有份
[00:03:28.000 --> 00:03:30.000]  當我們看著自己的小朋友有些事情做得不好的時候
[00:03:30.000 --> 00:03:31.000]  第一件我們會說的事
[00:03:31.000 --> 00:03:33.000]  你上學老師沒有教你的嗎?
[00:03:33.000 --> 00:03:40.000]  我們很習慣將一些東西外判出去,在這個城市裏
[00:03:40.000 --> 00:03:44.000]  我們很習慣有些東西我們交給別人去做
[00:03:44.000 --> 00:03:48.000]  我們去買一些service,給了錢,別人就會幫我處理
[00:03:48.000 --> 00:03:52.000]  這個是我們很多時候一個慣性的動作,是嗎?
[00:03:52.000 --> 00:03:56.000]  所以今天我們當中很多人,我們可能是作為父母的
[00:03:56.000 --> 00:03:57.000]  我們可能是作為老師的
[00:03:57.000 --> 00:04:01.000]  可能是作為一些導師,一些組長,一些領袖,一些目者
[00:04:01.000 --> 00:04:04.000]  甚至只是你身邊有一些的下一代
[00:04:04.000 --> 00:04:05.000]  我們作為他們的上一代
[00:04:05.000 --> 00:04:08.000]  今天我們要在這裏一起問的問題就是
[00:04:08.000 --> 00:04:12.000]  我們怎樣可以一起去興起我們的下一代
[00:04:12.000 --> 00:04:15.000]  我想說我在這個城市裏曾經見證過
[00:04:15.000 --> 00:04:18.000]  我們在最繁榮,在最穩定的時候
[00:04:18.000 --> 00:04:22.000]  我們孕育出一代的年青人,我們叫他們做「港孩」
[00:04:22.000 --> 00:04:27.000]  和這個城市的環境有時可能未必有直接關係
[00:04:27.000 --> 00:04:31.000]  但同樣地,當我打開聖經的時候
[00:04:31.000 --> 00:04:35.000]  我也見過在最艱難的日子,在最敗壞的世代裏
[00:04:35.000 --> 00:04:38.000]  神興起了很多很多的領袖
[00:04:38.000 --> 00:04:40.000]  如果我們去看舊約聖經的話
[00:04:40.000 --> 00:04:42.000]  有兩樣東西我們很快會發現
[00:04:42.000 --> 00:04:45.000]  第一就是神一次又一次給機會以色列人,是嗎?
