
[00:00:00.000 --> 00:00:03.200]  我想問大家多不多做夢?
[00:00:03.200 --> 00:00:06.800]  都會做夢吧?
[00:00:06.800 --> 00:00:09.300]  尤其是熱氣那段時間,做夢更多吧?
[00:00:09.300 --> 00:00:10.300]  中醫師說的
[00:00:10.300 --> 00:00:14.300]  我近來都會做一個很近似的夢
[00:00:14.300 --> 00:00:17.300]  就是我做夢時未準備好講章
[00:00:17.300 --> 00:00:21.300]  一個很害怕的夢,大家知道嗎?
[00:00:21.300 --> 00:00:24.300]  要講到但未準備好講章是一個很害怕的夢
[00:00:24.300 --> 00:00:28.300]  不知道是不是壓力大,或者焦慮
[00:00:28.300 --> 00:00:33.300]  我可以肯定是我們同工們都很盡心盡力
[00:00:33.300 --> 00:00:36.300]  盡聲盡意地準備每一個星期的訊息,對吧?
[00:00:36.300 --> 00:00:37.300]  對吧?
[00:00:37.300 --> 00:00:39.300]  給大家一點鼓勵吧
[00:00:39.300 --> 00:00:44.300]  每一粒字都是血汗
[00:00:44.300 --> 00:00:51.300]  講到夢,其實為什麼人會很想他的夢得到解釋?
[00:00:51.300 --> 00:00:54.300]  有時你做夢都會想究竟夢是什麼意思?
[00:00:54.300 --> 00:00:58.300]  但有些人會特別想為某些夢得到解釋
[00:00:58.300 --> 00:01:02.300]  我曾經對解夢很有興趣
[00:01:02.300 --> 00:01:07.300]  在未信主之前,我甚至買了一本心理學家弗洛伊德的書
[00:01:07.300 --> 00:01:11.300]  去看他究竟怎樣去講解夢
[00:01:11.300 --> 00:01:16.300]  直到我發現原來人類絕大部分的夢
[00:01:16.300 --> 00:01:22.300]  都是由他自己本能的需要,潛意識裏面去引發
[00:01:22.300 --> 00:01:25.300]  我越看越覺得自己非常邪惡
[00:01:25.300 --> 00:01:27.300]  我發覺自己做不來
[00:01:27.300 --> 00:01:31.300]  很黑暗,人類本性這樣,然後又做不來
[00:01:31.300 --> 00:01:33.300]  所以便沒有看
[00:01:33.300 --> 00:01:39.300]  坊間還有很多不同的學派,不同的方式,不同的角度
[00:01:39.300 --> 00:01:41.300]  去講解怎樣去解夢
[00:01:41.300 --> 00:01:45.300]  當然亦有一些很靈異的方式去解夢
[00:01:45.300 --> 00:01:50.300]  幸好近來我們認識了一位很好的朋友
[00:01:50.300 --> 00:01:53.300]  他很能幫忙,就是AI
[00:01:53.300 --> 00:01:56.300]  大家平時有跟這位朋友聊天嗎?
