
[00:00:00.000 --> 00:00:02.560]   in Jesus' name, amen.
[00:00:02.560 --> 00:00:03.560]   - Thank you, Carla.
[00:00:03.560 --> 00:00:06.980]   Good afternoon, all of you.
[00:00:06.980 --> 00:00:09.120]   Most happy to share a word with you.
[00:00:09.120 --> 00:00:13.100]   Some 30 years ago, exactly this time,
[00:00:13.100 --> 00:00:17.520]   I continued my post-graduate training.
[00:00:17.520 --> 00:00:19.280]   By the way, I graduated from Hong Kong U.
[00:00:19.280 --> 00:00:22.180]   I know that some of you are coming from Hong Kong U today.
[00:00:22.180 --> 00:00:25.800]   So 30 years ago, I went overseas
[00:00:25.800 --> 00:00:27.920]   to this very, very small city.
[00:00:27.920 --> 00:00:31.440]   Okay, don't be offended if you came from that city.
[00:00:31.440 --> 00:00:34.640]   St. Louis, Missouri Midwest.
[00:00:34.640 --> 00:00:37.840]   Okay, I was doing an overseas fellowship training,
[00:00:37.840 --> 00:00:41.040]   and there I learned from a leading expert
[00:00:41.040 --> 00:00:44.400]   in my medical line, who had contributed tremendously
[00:00:44.400 --> 00:00:46.320]   in that particular field.
[00:00:46.320 --> 00:00:48.940]   So he made numerous attempts to introduce
[00:00:48.940 --> 00:00:51.560]   various new surgical procedures
[00:00:51.560 --> 00:00:56.560]   that really was the forefront of imagination at that time.
[00:00:56.960 --> 00:01:01.740]   But he overcame many hurdles and reticules along the way.
[00:01:01.740 --> 00:01:05.560]   Some of his attempts failed altogether,
[00:01:05.560 --> 00:01:08.320]   but there are many others that flourished
[00:01:08.320 --> 00:01:12.520]   and changed the surgical paradigm altogether.
[00:01:12.520 --> 00:01:17.520]   He always reminded us that not all new things are good,
[00:01:17.520 --> 00:01:23.100]   but all good things must be new at one time.
[00:01:23.100 --> 00:01:25.300]   How true.
[00:01:25.300 --> 00:01:27.320]   So in a sense, my mentor journeyed
[00:01:27.320 --> 00:01:31.880]   through many uncharted waters in his times,
[00:01:31.880 --> 00:01:34.220]   where he championed the advance
[00:01:34.220 --> 00:01:38.240]   of what is now commonplace, keyhole surgery.
[00:01:38.240 --> 00:01:42.160]   He contributed to bringing a whole new beginning
[00:01:42.160 --> 00:01:44.080]   in surgical practices.
[00:01:44.080 --> 00:01:47.880]   And I'm glad that I rode along on that wave.
[00:01:47.880 --> 00:01:52.400]   In fact, I found this word beginning an amazing word.
[00:01:52.400 --> 00:01:55.100]   In Greek, it reads, "akhi,"
[00:01:55.100 --> 00:01:58.500]   which carries the meaning of origin,
