
[00:00:00.000 --> 00:00:06.280]  大家好,很高興今天可以再到元朗跟大家見面
[00:00:06.280 --> 00:00:11.480]  我計算過,發現上次來已經是一年前的事
[00:00:11.480 --> 00:00:13.880]  所以我應該有一年沒有見過大家
[00:00:13.880 --> 00:00:18.800]  當中見到不少熟悉的面孔,亦有新的面孔
[00:00:18.800 --> 00:00:24.360]  所以很高興可以來到元朗跟大家一起去敬拜
[00:00:24.360 --> 00:00:27.320]  我們經常說一間教會,兩個堂點
[00:00:27.320 --> 00:00:32.160]  可以定時來這裡跟大家一起敬拜
[00:00:32.160 --> 00:00:35.000]  其實對我來說是一個很鼓勵的經驗
[00:00:35.000 --> 00:00:39.760]  今天我想跟大家分享一下
[00:00:39.760 --> 00:00:44.040]  接下來七個星期會有一個新的Sermon Series
[00:00:44.040 --> 00:00:46.200]  這個星期是第一個星期
[00:00:46.200 --> 00:00:50.320]  這個新的Sermon Series叫作「作生命管家」
[00:00:50.320 --> 00:00:58.000]  意思是我們會在當中一起探討信仰和工作之間的關係
[00:00:58.000 --> 00:01:01.040]  不知道大家一聽到「工作」
[00:01:01.040 --> 00:01:03.520]  第一時間會想到甚麼呢?
[00:01:03.520 --> 00:01:06.640]  是否明天要準時上班?
[00:01:06.640 --> 00:01:08.160]  我也要的
[00:01:08.160 --> 00:01:11.840]  這個就是大家經常看到的那種Meme
[00:01:11.840 --> 00:01:15.520]  還是會想起上司、同事
[00:01:15.520 --> 00:01:18.200]  還是我們有很多事情要做呢?
[00:01:18.200 --> 00:01:20.200]  我們先做個統計
[00:01:20.200 --> 00:01:23.280]  我想問一下,這裡有誰很喜歡上班的?
[00:01:23.280 --> 00:01:25.280]  請舉手
[00:01:25.280 --> 00:01:29.080]  Ivan,當然啦,Ivan是一定要舉手的
[00:01:29.080 --> 00:01:31.400]  (笑)
[00:01:31.400 --> 00:01:34.600]  不知道大家有沒有聽過王子華說過
[00:01:34.600 --> 00:01:38.280]  如果說得出很喜歡上班的,就一定是鬼上身
[00:01:38.280 --> 00:01:41.040]  這個當然是開玩笑的
[00:01:41.040 --> 00:01:45.000]  但是他這句說話也反映了一個現實
[00:01:45.000 --> 00:01:50.320]  就是原來大部分人都真的不喜歡上班
[00:01:50.320 --> 00:01:54.800]  我想我們作為基督徒應該也有想過這些問題
[00:01:54.800 --> 00:01:56.560]  為甚麼我要上班?
[00:01:56.560 --> 00:01:59.360]  為甚麼上班會這麼辛苦?
[00:01:59.360 --> 00:02:03.400]  究竟我們信仰在工作的位置在哪裡呢?
[00:02:03.400 --> 00:02:07.840]  而在工作當中的救贖又在哪裡呢?
[00:02:07.840 --> 00:02:11.000]  說起上班和救贖之間的關係
[00:02:11.000 --> 00:02:14.280]  我曾經在一間公司上班
[00:02:14.280 --> 00:02:20.240]  當時我還未在教會裡面全職工作
[00:02:20.240 --> 00:02:22.240]  我在一間公司上班
[00:02:22.240 --> 00:02:27.880]  如果大家在香港的公司上班
[00:02:27.880 --> 00:02:31.640]  我想你們農曆新年也會收到一封開工利是吧?
[00:02:31.640 --> 00:02:35.640]  有誰收到開工利是?
[00:02:35.640 --> 00:02:37.640]  大家都知道有這個傳統
[00:02:37.640 --> 00:02:41.320]  通常開工利是裡面都是現金
[00:02:41.320 --> 00:02:44.680]  無論是金還是亞,大家都會收到現金
[00:02:44.680 --> 00:02:46.680]  但是那間公司很特別
[00:02:46.680 --> 00:02:50.080]  我第一次收到開工利是的時候打開
[00:02:50.080 --> 00:02:53.280]  除了現金還有另一件事
[00:02:53.280 --> 00:02:56.400]  就是一張六合彩的電腦費
[00:02:56.400 --> 00:02:58.240]  我也挺震驚的
[00:02:58.240 --> 00:03:00.040]  我想為甚麼呢?
[00:03:00.040 --> 00:03:07.040]  但是我想六合彩其實很反映了香港典型上班救贖的故事
[00:03:07.040 --> 00:03:10.840]  就是很多人的夢想都是中了六合彩之後就不用工作
[00:03:10.840 --> 00:03:12.560]  大家有沒有看到這個現象?
[00:03:12.560 --> 00:03:13.920]  可能我們不是這樣想
[00:03:13.920 --> 00:03:15.760]  但是大家有沒有看到這個現象?
