
[00:00:00.000 --> 00:00:02.300]   Good morning, church.
[00:00:02.300 --> 00:00:03.900]   How are we today?
[00:00:03.900 --> 00:00:04.740]   >> Great.
[00:00:04.740 --> 00:00:06.460]   >> Good, good to see you guys.
[00:00:06.460 --> 00:00:07.300]   Very good morning.
[00:00:07.300 --> 00:00:09.020]   If you're in the overflow, good morning.
[00:00:09.020 --> 00:00:10.780]   Hello to you as well.
[00:00:10.780 --> 00:00:12.260]   And if you're joining us online,
[00:00:12.260 --> 00:00:14.940]   it's good to have you guys with us too.
[00:00:14.940 --> 00:00:18.140]   Excuse, I'm a little bit still like congested.
[00:00:18.140 --> 00:00:20.420]   I also had sausage McMuffin for breakfast this morning,
[00:00:20.420 --> 00:00:22.740]   so you know, good life choices I'm making.
[00:00:22.740 --> 00:00:27.980]   But again, always honored and excited
[00:00:27.980 --> 00:00:31.900]   to be sharing God's word this morning.
[00:00:31.900 --> 00:00:36.500]   You know, it's June 8th, we're halfway through 2025 already.
[00:00:36.500 --> 00:00:39.500]   Our taxes were due last week in case you forgot, right?
[00:00:39.500 --> 00:00:41.140]   You still got some time, I guess.
[00:00:41.140 --> 00:00:44.660]   But you know, it's about these times of the year, right?
[00:00:44.660 --> 00:00:46.460]   We take a look back and we take stock
[00:00:46.460 --> 00:00:47.580]   and we start to think about,
[00:00:47.580 --> 00:00:49.540]   oh, how the year's been going so far
[00:00:49.540 --> 00:00:52.500]   and how we view it to go in the six months
[00:00:52.500 --> 00:00:53.640]   that's ahead of us, right?
[00:00:53.640 --> 00:00:55.820]   And when I think about what's been happening
[00:00:55.820 --> 00:00:58.780]   in the Sunday services and the life of this church
[00:00:58.780 --> 00:01:01.860]   on Sunday at least, it's been really amazing
[00:01:01.860 --> 00:01:05.620]   to see God at work in this body of Christ,
[00:01:05.620 --> 00:01:07.340]   in this community, right?
[00:01:07.340 --> 00:01:09.340]   There've been so many moments where
[00:01:09.340 --> 00:01:12.020]   because we've made decisions to lean in
[00:01:12.020 --> 00:01:15.940]   and be obedient to how the Holy Spirit has been guiding us,
[00:01:15.940 --> 00:01:19.140]   right, we've had the privilege of seeing Him at work
[00:01:19.140 --> 00:01:21.940]   in some really cool ways.
[00:01:21.940 --> 00:01:24.460]   Right, we've been talking about exploring the uncharted
[00:01:24.460 --> 00:01:26.500]   and God has been revealing through us,
[00:01:26.500 --> 00:01:29.740]   through the Holy Spirit, lots of cool things, right?
[00:01:29.740 --> 00:01:32.860]   And one of the most encouraging things I've seen
[00:01:32.860 --> 00:01:35.940]   is when we surrender ourselves to the Holy Spirit
[00:01:35.940 --> 00:01:37.980]   and just let Him take over what He wants to do,
[00:01:37.980 --> 00:01:39.060]   especially in this time, right?
[00:01:39.060 --> 00:01:40.180]   You remember a few months ago,
[00:01:40.180 --> 00:01:42.800]   we had a time where we didn't even go into the message
[00:01:42.800 --> 00:01:44.540]   and we just continued to preach,
[00:01:44.540 --> 00:01:46.580]   we just, I mean, we just continued to pray
[00:01:46.580 --> 00:01:49.540]   and worship and minister to each other, right?
[00:01:49.540 --> 00:01:52.140]   These spontaneous responses of praise,
[00:01:52.140 --> 00:01:55.420]   these spontaneous responses of worship
[00:01:55.420 --> 00:01:58.140]   and celebrating in each other's joys,
[00:01:58.140 --> 00:02:01.460]   but also walking with each other in the burdens.
[00:02:01.460 --> 00:02:03.620]   And of course, one of the most beautiful things
[00:02:03.620 --> 00:02:05.180]   that I've seen, that we've seen,
[00:02:05.180 --> 00:02:07.860]   is that when we've called upon the church
[00:02:07.860 --> 00:02:09.440]   to pray for each other.
[00:02:09.440 --> 00:02:10.580]   So the moments when we stood up,
[00:02:10.580 --> 00:02:12.420]   if you need prayer, open up your hands
[00:02:12.420 --> 00:02:14.780]   and just to see the entire body of Christ
[00:02:14.780 --> 00:02:16.740]   surrounding those who need prayer
[00:02:16.740 --> 00:02:19.900]   and praying over them, interceding for them,
[00:02:19.900 --> 00:02:21.740]   speaking on them, speaking for them
[00:02:21.740 --> 00:02:23.820]   on behalf of the pains and the needs
[00:02:23.820 --> 00:02:26.540]   and the feeling at that time.
[00:02:26.540 --> 00:02:28.600]   And it just reminds me that this
[00:02:28.600 --> 00:02:31.900]   is what the church was truly meant for.
[00:02:31.900 --> 00:02:36.940]   And today, as we close out our series on the Holy Spirit,
[00:02:36.940 --> 00:02:40.460]   we're gonna be talking about the gifts of the Spirit
[00:02:40.460 --> 00:02:42.940]   and the fruit of the Spirit.
[00:02:42.940 --> 00:02:45.340]   And as we talk about the gifts and the fruit,
[00:02:45.340 --> 00:02:49.220]   I want us to keep focusing on the body of Christ,
[00:02:49.220 --> 00:02:51.420]   on the church.
[00:02:51.420 --> 00:02:53.980]   Now, this might be a different perspective
[00:02:53.980 --> 00:02:55.260]   than what we normally might think,
[00:02:55.260 --> 00:02:56.580]   because a lot of the time,
[00:02:56.580 --> 00:02:58.180]   when we're talking about these things,
[00:02:58.180 --> 00:03:02.020]   we want to take a more sort of personal approach to it.
[00:03:02.020 --> 00:03:03.580]   We start asking ourselves the question,
[00:03:03.580 --> 00:03:05.900]   well, what is my gift, right?
[00:03:05.900 --> 00:03:08.540]   How am I bearing fruit?
[00:03:08.540 --> 00:03:11.160]   And yes, there is a personal element to these things.
[00:03:11.160 --> 00:03:13.480]   We'll talk about that in a minute.
[00:03:13.480 --> 00:03:17.580]   However, I think that if we think gifts and fruit
[00:03:17.580 --> 00:03:22.180]   are just about you or just about us as individuals,
[00:03:22.180 --> 00:03:24.320]   then we've missed the point completely.
[00:03:24.320 --> 00:03:27.340]   That's something Justin said a couple weeks ago.
[00:03:27.340 --> 00:03:28.600]   It was super important, right?
[00:03:28.600 --> 00:03:30.900]   He said that we shouldn't be like a stopping gate
[00:03:30.900 --> 00:03:32.120]   of the Holy Spirit, right?
[00:03:32.120 --> 00:03:34.380]   But he was calling us to be more like conduits
[00:03:34.380 --> 00:03:36.780]   and allow the Holy Spirit to work through us,
[00:03:36.780 --> 00:03:38.220]   to flow through us.
[00:03:38.220 --> 00:03:40.740]   And this is exactly what the gifts
[00:03:40.740 --> 00:03:44.500]   and the fruit is all about.
[00:03:44.500 --> 00:03:47.560]   In other words, the Holy Spirit does not give you gifts
[00:03:47.560 --> 00:03:52.020]   and fruit for your personal benefit.
[00:03:52.020 --> 00:03:55.300]   The Holy Spirit doesn't give you gifts and fruit
[00:03:55.300 --> 00:03:57.740]   to make you look good, right?
[00:03:57.740 --> 00:04:00.780]   The Holy Spirit doesn't empower us with wisdom
[00:04:00.780 --> 00:04:02.180]   so that people will look up to you and say,
[00:04:02.180 --> 00:04:06.200]   wow, this person is so insightful, so full of knowledge.
[00:04:06.200 --> 00:04:08.020]   The Holy Spirit does not give you healing
[00:04:08.020 --> 00:04:10.060]   so that people can start looking to you
[00:04:10.060 --> 00:04:12.500]   to make them healthy of their sickness and diseases,
[00:04:12.500 --> 00:04:15.300]   infirmities, evil spirits, whatever it is, right?
[00:04:15.300 --> 00:04:19.020]   The Holy Spirit doesn't give us patience and kindness
[00:04:19.020 --> 00:04:20.440]   so that people will say, wow,
[00:04:20.440 --> 00:04:23.360]   this is what a good, virtuous person looks like.
[00:04:23.360 --> 00:04:24.800]   No.
[00:04:24.800 --> 00:04:26.880]   The gifts and the fruit are given to us
[00:04:26.880 --> 00:04:29.080]   so that the whole entire church,
[00:04:29.080 --> 00:04:31.960]   the entire body of Christ can come together
[00:04:31.960 --> 00:04:35.240]   and say, praise the Lord.
[00:04:35.240 --> 00:04:37.280]   The gifts and the fruit being made known among us
[00:04:37.280 --> 00:04:39.920]   so people can say, this is what it looks like
[00:04:39.920 --> 00:04:42.840]   when a group of people are worshiping in spirit
[00:04:42.840 --> 00:04:44.680]   and in truth.
[00:04:44.680 --> 00:04:47.680]   The fruit and the gifts and the fruit are given to us
[00:04:47.680 --> 00:04:49.320]   so that people can truly say,
[00:04:49.320 --> 00:04:51.920]   this is God's word being revealed
[00:04:51.920 --> 00:04:53.960]   and lived out in this kingdom.
[00:04:53.960 --> 00:04:57.240]   This is the kingdom of heaven on earth.
[00:04:57.240 --> 00:04:59.000]   The gifts and the fruit are given to us
[00:04:59.000 --> 00:05:01.280]   so those of us who are tired of our sin
[00:05:01.280 --> 00:05:03.280]   can truly come to a safe place
[00:05:03.280 --> 00:05:06.560]   where conviction and confession and repentance
[00:05:06.560 --> 00:05:08.740]   is embraced in our community.
[00:05:08.740 --> 00:05:13.000]   In other words, it's not about you.
[00:05:14.000 --> 00:05:16.800]   Now, I know this sounds a bit harsh,
[00:05:16.800 --> 00:05:18.400]   but we really need to be careful
[00:05:18.400 --> 00:05:20.160]   when we come to the gifts and the fruit
[00:05:20.160 --> 00:05:22.480]   so we take the right approach.
[00:05:22.480 --> 00:05:23.760]   Because when we look at the world,
[00:05:23.760 --> 00:05:25.200]   the worldly focus, right,
[00:05:25.200 --> 00:05:29.220]   it's so focused on making life about us.
[00:05:29.220 --> 00:05:33.600]   The world is really good at putting people up on pedestals,
[00:05:33.600 --> 00:05:37.400]   glorifying individuals for their gifts and their talents.
[00:05:37.400 --> 00:05:38.300]   Right, and as a result,
[00:05:38.300 --> 00:05:41.320]   we have this sort of weird celebrity culture
[00:05:41.320 --> 00:05:44.840]   where people just do so, there's such effort and motivation
[00:05:44.840 --> 00:05:48.160]   for people just to do something, to go viral, become famous
[00:05:48.160 --> 00:05:51.520]   so people can look up to them in some sort of way.
[00:05:51.520 --> 00:05:54.240]   There are people out there with followers on Instagram,
[00:05:54.240 --> 00:05:55.660]   more than entire countries.
[00:05:55.660 --> 00:05:57.320]   If you go to see some of these celebrities,
[00:05:57.320 --> 00:05:59.440]   there's like hundreds of millions of followers,
[00:05:59.440 --> 00:06:01.960]   more than big countries combined.
[00:06:01.960 --> 00:06:04.280]   Right, something that's totally not cool one day,
[00:06:04.280 --> 00:06:07.580]   right, just takes one person of influence to do something
[00:06:07.580 --> 00:06:10.320]   and then everybody wants a piece of that action.
[00:06:10.320 --> 00:06:13.720]   Right, we spend time, money, effort going to shows
[00:06:13.720 --> 00:06:16.600]   and concerts for our favorite music, artists and bands.
[00:06:16.600 --> 00:06:18.580]   I'm not saying don't go to those things,
[00:06:18.580 --> 00:06:20.820]   I'm just saying be careful.
[00:06:20.820 --> 00:06:22.580]   Because when we lift up people so much
[00:06:22.580 --> 00:06:24.060]   and look at their talent so much,
[00:06:24.060 --> 00:06:26.000]   we sometimes even casually call them,
[00:06:26.000 --> 00:06:28.320]   oh, these people are like our idols.
[00:06:28.320 --> 00:06:31.180]   But what does the Bible say about idols, Church?
[00:06:31.180 --> 00:06:35.000]   Now, I'm sounding like a potty pooper here, okay.
[00:06:35.000 --> 00:06:36.540]   You're like, "Ellison, where's your funny story
[00:06:36.540 --> 00:06:37.380]   "for this message?"
[00:06:37.380 --> 00:06:40.140]   Okay, I don't have one today, I'm sorry, okay.
[00:06:41.140 --> 00:06:44.780]   Well, what I'm saying is, I've been saying it,
[00:06:44.780 --> 00:06:47.660]   we need to be really, really careful
[00:06:47.660 --> 00:06:50.660]   not to let that sort of thinking seep in
[00:06:50.660 --> 00:06:52.420]   to the body of Christ.
[00:06:52.420 --> 00:06:55.580]   Because when it comes to things like the gifts
[00:06:55.580 --> 00:06:57.020]   and the fruit of the Spirit,
[00:06:57.020 --> 00:07:00.780]   especially when we're talking about the gifts in the Church,
[00:07:00.780 --> 00:07:04.220]   we too can very easily find ourselves lifting up people
[00:07:04.220 --> 00:07:05.840]   who we see as gifted,
[00:07:05.840 --> 00:07:08.940]   rather than lifting up the name of Jesus.
[00:07:08.940 --> 00:07:11.300]   And instead for the Church benefiting
[00:07:11.300 --> 00:07:13.100]   for the gifts and the fruits,
[00:07:13.100 --> 00:07:15.160]   all the benefits and all the recognition
[00:07:15.160 --> 00:07:18.720]   goes to certain individuals, certain gifts, certain people.
[00:07:18.720 --> 00:07:20.500]   Right, we've even developed this weird like,
