
[00:00:00.000 --> 00:00:01.000]   (audience applauding)
[00:00:01.000 --> 00:00:01.840]   - That's great.
[00:00:01.840 --> 00:00:04.040]   As you sit down, why don't you say hi
[00:00:04.040 --> 00:00:06.320]   to the person next to you, say hey.
[00:00:06.320 --> 00:00:08.320]   That was a really beautiful moment I just shared with you.
[00:00:08.320 --> 00:00:09.160]   Who are you?
[00:00:09.160 --> 00:00:11.080]   So good.
[00:00:11.080 --> 00:00:14.760]   Well, welcome to The Vine.
[00:00:14.760 --> 00:00:15.680]   My name's Andrew.
[00:00:15.680 --> 00:00:16.880]   I'm one of the pastors here,
[00:00:16.880 --> 00:00:19.120]   and we are so glad you are here with us.
[00:00:19.120 --> 00:00:23.040]   And we're in week five of our Exodus series here,
[00:00:23.040 --> 00:00:27.000]   and in week five, at the end of chapter two,
[00:00:27.000 --> 00:00:28.940]   everything changes.
[00:00:29.940 --> 00:00:32.060]   In fact, this is a turning point
[00:00:32.060 --> 00:00:34.460]   in the whole of the story of Exodus
[00:00:34.460 --> 00:00:36.340]   that we're looking at today.
[00:00:36.340 --> 00:00:38.500]   This is a moment where God steps in
[00:00:38.500 --> 00:00:40.540]   and does what only God can do.
[00:00:40.540 --> 00:00:42.300]   And just in that song that we've just been singing
[00:00:42.300 --> 00:00:44.580]   and that desire that we have for God
[00:00:44.580 --> 00:00:47.120]   to fight battles for us, God to come through for us,
[00:00:47.120 --> 00:00:51.260]   this is the moment in the story where God reveals himself.
[00:00:51.260 --> 00:00:54.440]   And in revealing himself,
[00:00:54.440 --> 00:00:57.780]   he creates for his people renewed hope.
[00:00:57.780 --> 00:01:03.560]   I told you in week one of this series
[00:01:03.560 --> 00:01:05.760]   that the book of Exodus is provided to us
[00:01:05.760 --> 00:01:09.560]   and is shaped for us in five movements.
[00:01:09.560 --> 00:01:11.320]   And those movements are slavery,
[00:01:11.320 --> 00:01:15.320]   promise, liberation, identity, and home.
[00:01:15.320 --> 00:01:16.440]   And over the last four weeks,
[00:01:16.440 --> 00:01:19.520]   we've been immersed in the slavery aspect
[00:01:19.520 --> 00:01:21.280]   of those five movements.
[00:01:21.280 --> 00:01:23.400]   We've been looking at the reality of slavery,
