
[00:00:00.000 --> 00:00:01.240]   - Thank you, Carla.
[00:00:01.240 --> 00:00:04.840]   I've loved this series.
[00:00:04.840 --> 00:00:08.540]   Week by week, we've received tips,
[00:00:08.540 --> 00:00:10.460]   biblical examples,
[00:00:10.460 --> 00:00:13.800]   different voices,
[00:00:13.800 --> 00:00:16.440]   but with the same agenda,
[00:00:16.440 --> 00:00:19.600]   to help us grow spiritually,
[00:00:19.600 --> 00:00:22.020]   to flourish.
[00:00:22.020 --> 00:00:25.680]   I do hope you've had the chance to check out
[00:00:25.680 --> 00:00:28.720]   the Spiritual Foundation Toolkit.
[00:00:28.720 --> 00:00:30.760]   It's an excellent resource
[00:00:30.760 --> 00:00:35.320]   and takes over where these sermons leave off,
[00:00:35.320 --> 00:00:36.400]   so to speak.
[00:00:36.400 --> 00:00:41.500]   And I get the honor to close this series.
[00:00:41.500 --> 00:00:44.560]   But I must warn you,
[00:00:44.560 --> 00:00:47.440]   I am gonna talk today,
[00:00:47.440 --> 00:00:49.200]   I'm gonna talk to you today
[00:00:49.200 --> 00:00:53.060]   about a dirty word,
[00:00:53.060 --> 00:00:55.560]   shock horror, yes.
[00:00:55.560 --> 00:00:58.460]   A dirty word.
[00:00:59.460 --> 00:01:00.380]   And it's this,
[00:01:00.380 --> 00:01:05.580]   evangelism.
[00:01:05.580 --> 00:01:11.820]   I know you've been put off by tele-evangelists,
[00:01:11.820 --> 00:01:15.260]   over-hyped big stadium meetings
[00:01:15.260 --> 00:01:20.260]   and over-zealous Christians wearing witness t-shirts.
[00:01:20.260 --> 00:01:23.580]   I saw one this week, very topical,
[00:01:23.580 --> 00:01:27.020]   given the number of mosquitoes here in Hong Kong.
[00:01:27.020 --> 00:01:28.260]   And he said this,
[00:01:28.260 --> 00:01:31.860]   "I want to be so full of Christ
[00:01:31.860 --> 00:01:34.180]   that if a mosquito bites me,
[00:01:34.180 --> 00:01:36.740]   it flies away singing,
[00:01:36.740 --> 00:01:38.580]   'There is power in the blood.'"
[00:01:38.580 --> 00:01:46.220]   The worldwide church has been confused.
[00:01:46.220 --> 00:01:49.720]   Jesus had risen from the grave,
[00:01:49.720 --> 00:01:52.860]   was about to go to the Father
[00:01:52.860 --> 00:01:56.400]   and giving his disciples instruction
[00:01:56.400 --> 00:02:00.380]   as to how the work of the gospel would continue.
[00:02:00.380 --> 00:02:05.820]   But what we've done is we've taken this verse, Mark 16, 15,
[00:02:05.820 --> 00:02:07.140]   I'll read it to you.
[00:02:07.140 --> 00:02:08.720]   He said to them,
[00:02:08.720 --> 00:02:10.820]   "Go into all the world
[00:02:10.820 --> 00:02:14.100]   and preach the gospel to all creation."
[00:02:14.100 --> 00:02:17.960]   But what the church has done,
[00:02:17.960 --> 00:02:21.080]   has taken this verse,
[00:02:21.080 --> 00:02:24.860]   which describes the call to evangelism
[00:02:26.240 --> 00:02:30.260]   and made it seem like it only applies
[00:02:30.260 --> 00:02:34.740]   to those who we discern have a calling for it,
[00:02:34.740 --> 00:02:38.440]   those we deem to be evangelists.
[00:02:38.440 --> 00:02:43.780]   And I'm here today to tell you
[00:02:43.780 --> 00:02:48.780]   that Mark 16, 15 is not a command just for evangelists,
[00:02:48.780 --> 00:02:53.440]   but for all believers.
[00:02:55.260 --> 00:02:58.220]   In simple terms, you.
[00:02:58.220 --> 00:03:05.980]   Sir Irankine evangelist DT Niles simply puts it this,
[00:03:05.980 --> 00:03:10.980]   "Christianity is one beggar telling another beggar
[00:03:10.980 --> 00:03:13.620]   where he found bread."
[00:03:13.620 --> 00:03:15.760]   And to demonstrate that,
[00:03:15.760 --> 00:03:19.480]   I wanna look at a passage in 2 Kings 7.
[00:03:19.480 --> 00:03:21.280]   Some background.
[00:03:21.280 --> 00:03:25.500]   In that story, Jerusalem had been under siege
[00:03:25.500 --> 00:03:29.360]   and the people were about to die of starvation.
[00:03:29.360 --> 00:03:33.460]   Meanwhile, we read this, verse three.
[00:03:33.460 --> 00:03:43.600]   They said to each other, "Why stay here until we die?
[00:03:43.600 --> 00:03:48.220]   If we say we will go into the city,
[00:03:48.220 --> 00:03:50.540]   the famine is there and we will die."
[00:03:51.540 --> 00:03:55.300]   "And if we stay here, we will die."
[00:03:55.300 --> 00:04:01.180]   "So let's go over to the camp of the Arameans and surrender."
[00:04:01.180 --> 00:04:06.980]   "If they spare us, we live."
[00:04:06.980 --> 00:04:11.300]   "If they kill us, then we die."
[00:04:11.300 --> 00:04:14.300]   Anyway, they went over to the camp
[00:04:14.300 --> 00:04:17.080]   and discovered that God had done something
[00:04:17.080 --> 00:04:19.360]   to frighten the attackers away,
[00:04:19.360 --> 00:04:23.500]   leaving food and precious possessions behind.
[00:04:23.500 --> 00:04:25.260]   Let's move on to verse eight.
[00:04:25.260 --> 00:04:29.400]   They ate, they drank,
[00:04:29.400 --> 00:04:33.600]   and they carried away silver, gold, and clothes,
[00:04:33.600 --> 00:04:38.040]   and went off and hid them.
[00:04:38.040 --> 00:04:41.900]   They returned and entered another tent
[00:04:41.900 --> 00:04:45.100]   and took some things from it and they hid them also.
[00:04:46.700 --> 00:04:51.700]   Then they said to each other, "We're not doing right."
[00:04:51.700 --> 00:04:53.460]   "This is a day of good news
[00:04:53.460 --> 00:04:55.280]   and we're keeping it to ourselves."
[00:04:55.280 --> 00:05:00.280]   "If we wait until the daylight, punishment will overtake us."
[00:05:00.280 --> 00:05:05.840]   "Let's go at once and report this to the royal palace."
[00:05:05.840 --> 00:05:11.620]   "This is a day of good news
[00:05:11.620 --> 00:05:14.940]   and we're keeping it to ourselves."
[00:05:16.580 --> 00:05:20.460]   We are like these beggars.
[00:05:20.460 --> 00:05:24.340]   Only in our case, we are spiritual beggars
[00:05:24.340 --> 00:05:27.140]   and we have found spiritual food.
[00:05:27.140 --> 00:05:30.840]   Then like the lepers, we then decide
[00:05:30.840 --> 00:05:34.300]   not to keep this good news to ourselves,
[00:05:34.300 --> 00:05:37.640]   but to share it with our starving neighbours.
[00:05:37.640 --> 00:05:42.540]   And that is the simplicity of witness.
[00:05:43.420 --> 00:05:48.180]   Christianity is one beggar telling another beggar
[00:05:48.180 --> 00:05:51.140]   where he found bread.
[00:05:51.140 --> 00:05:56.140]   Now to demonstrate, I have chosen an unlikely assistant
[00:05:56.140 --> 00:05:58.660]   to demonstrate how to witness.
[00:05:58.660 --> 00:06:00.700]   It's "Wall-E."
[00:06:00.700 --> 00:06:02.540]   "Wall-E."
[00:06:02.540 --> 00:06:07.160]   "Wall-E" was a 2008 film, an animated film,
[00:06:07.160 --> 00:06:10.440]   starring a robot who is designed to clean up
[00:06:10.440 --> 00:06:13.140]   an abandoned waste-covered earth.
[00:06:14.140 --> 00:06:17.860]   "Now you know me and acronyms, so I'm gonna start with W."
[00:06:17.860 --> 00:06:20.160]   "W" is for words.
[00:06:20.160 --> 00:06:23.020]   "1 Peter 3:15,
[00:06:23.020 --> 00:06:26.220]   'But in your hearts revere Christ as Lord.
[00:06:26.220 --> 00:06:30.260]   Always be prepared to give an answer to everyone
[00:06:30.260 --> 00:06:34.380]   who asks you to give the reason to the hope you have.'
[00:06:34.380 --> 00:06:39.540]   This does not mean stand up at your desk and work
[00:06:39.540 --> 00:06:43.940]   and preach a sermon, unless God specifically
[00:06:43.940 --> 00:06:45.260]   asks you to do that."
[00:06:45.260 --> 00:06:46.400]   Probably unlikely.
[00:06:46.400 --> 00:06:51.860]   But I wanna share with you some tips which have helped me.
