
[00:00:00.000 --> 00:00:01.320]  謝謝Francesca
[00:00:01.320 --> 00:00:02.600]  我們給Francesca掌聲
[00:00:02.600 --> 00:00:04.240]  好好帶領我們有一個
[00:00:04.240 --> 00:00:05.840]  surface-league的時間
[00:00:05.840 --> 00:00:07.880]  早上回來見到她們
[00:00:07.880 --> 00:00:09.680]  「Ivan你今天容光煥發」
[00:00:09.680 --> 00:00:10.760]  「心想你這麼會說話」
[00:00:10.760 --> 00:00:11.880]  那些姐妹真是
[00:00:11.880 --> 00:00:13.640]  我用很多原因
[00:00:13.640 --> 00:00:15.080]  可能睡得好
[00:00:15.080 --> 00:00:17.160]  可能調整了生活的習慣
[00:00:17.160 --> 00:00:18.360]  其實不是
[00:00:18.360 --> 00:00:20.640]  其實是跟神有新的相遇
[00:00:20.640 --> 00:00:22.800]  Hallelujah
[00:00:22.800 --> 00:00:24.200]  好像今天的主題
[00:00:24.200 --> 00:00:26.200]  希望大家都是同一樣
[00:00:26.200 --> 00:00:27.760]  跟神有新的相遇
[00:00:27.760 --> 00:00:29.320]  一個新的遇見
[00:00:29.320 --> 00:00:31.200]  導致大家都容光煥發
[00:00:31.200 --> 00:00:32.400]  耶穌教我們
[00:00:32.400 --> 00:00:33.240]  禁食的時候
[00:00:33.240 --> 00:00:35.240]  不是好像很淒涼
[00:00:35.240 --> 00:00:36.040]  禁食的時候
[00:00:36.040 --> 00:00:37.280]  真的容光煥發
[00:00:37.280 --> 00:00:38.360]  因為神的靈
[00:00:38.360 --> 00:00:39.280]  在我們裡面的時候
[00:00:39.280 --> 00:00:40.880]  我們不單止容光煥發
[00:00:40.880 --> 00:00:43.800]  我們身心靈也興旺起來
[00:00:43.800 --> 00:00:44.920]  我想問問大家
[00:00:44.920 --> 00:00:47.480]  有沒有人不喜歡收禮物
[00:00:47.480 --> 00:00:48.840]  不是代表待會有禮物
[00:00:48.840 --> 00:00:50.320]  待會有
[00:00:50.320 --> 00:00:51.760]  你會知道禮物是甚麼
[00:00:51.760 --> 00:00:53.720]  應該沒有人不喜歡收禮物
[00:00:53.720 --> 00:00:57.160]  有沒有人很喜歡被人稱讚
[00:00:57.160 --> 00:01:01.240]  被人欣賞、被人肯定
[00:01:01.240 --> 00:01:07.160]  有沒有特別喜歡抱一下
[00:01:07.160 --> 00:01:08.360]  被你喜歡的人
[00:01:08.360 --> 00:01:11.160]  都會跟你去按摩
[00:01:11.160 --> 00:01:14.000]  有一個服侍
[00:01:14.000 --> 00:01:16.120]  或者有沒有人喜歡
[00:01:16.120 --> 00:01:19.440]  有人會幫你去做一些事
[00:01:19.440 --> 00:01:21.440]  幫你做家務
[00:01:21.440 --> 00:01:23.880]  噩頭吧,還不是噩頭
[00:01:23.880 --> 00:01:25.120]  或者好一點的一件事
