
[00:00:00.000 --> 00:00:06.880]  第三個星期的章林期,換言之我們距離聖誕只剩下十天的時間
[00:00:06.880 --> 00:00:10.760]  大家是不是已經開始去聖誕派對?
[00:00:10.760 --> 00:00:13.760]  很多公司,很多地方的派對要去
[00:00:13.760 --> 00:00:15.160]  大家吃過了嗎?
[00:00:15.160 --> 00:00:15.760]  還沒有
[00:00:15.760 --> 00:00:18.480]  還沒有?哦,還有時間繼續吃,OK
[00:00:18.480 --> 00:00:22.080]  是不是已經去過很多派對,去到很累了?
[00:00:22.080 --> 00:00:23.680]  不是的,應該是
[00:00:23.680 --> 00:00:26.000]  還有力量繼續去的,是不是?
[00:00:26.000 --> 00:00:28.240]  派對很重要的
[00:00:28.240 --> 00:00:32.320]  大家不要覺得派對一定是邪惡的
[00:00:32.320 --> 00:00:35.560]  派對本身是很好的一件事,很美好
[00:00:35.560 --> 00:00:39.000]  而且派對是一件很合乎聖經的事
[00:00:39.000 --> 00:00:43.080]  我們之前有說過,當罪人回到主的懷裡
[00:00:43.080 --> 00:00:45.240]  天上也會有開派對
[00:00:45.240 --> 00:00:48.160]  最重要的是,開派對有一個目的
[00:00:48.160 --> 00:00:51.400]  那個派對是在慶祝一些事情
[00:00:51.400 --> 00:00:55.080]  不是大家互劈,不是那些
[00:00:55.080 --> 00:00:58.040]  大家不要互劈,喝醉了
[00:00:58.040 --> 00:01:01.920]  每一個派對背後應該有一些事情想去慶祝
[00:01:01.920 --> 00:01:06.560]  而慶祝這個動作本來也是非常合乎聖經的
[00:01:06.560 --> 00:01:09.240]  我們每個星期走在一起
[00:01:09.240 --> 00:01:12.440]  星期天我們拿一個多兩個小時的時間出來
[00:01:12.440 --> 00:01:16.000]  除了因為我們都是基督徒
[00:01:16.000 --> 00:01:18.560]  我們這個是責任,然後諸如此類之外
[00:01:18.560 --> 00:01:20.040]  我們在這裡其中一個原因
[00:01:20.040 --> 00:01:22.600]  都是我們在慶祝一些事情,是不是?
