
[00:00:00.000 --> 00:00:01.900]   Well, good morning, everybody.
[00:00:01.900 --> 00:00:04.180]   My name is Pastor Promise.
[00:00:04.180 --> 00:00:05.880]   Every time I say the words, "Pastor Promise,"
[00:00:05.880 --> 00:00:07.900]   it feels weird.
[00:00:07.900 --> 00:00:10.780]   Call her, I'm Dada, to my daughter.
[00:00:10.780 --> 00:00:11.620]   My daughter is here.
[00:00:11.620 --> 00:00:12.660]   She's never here at the 11 o'clock,
[00:00:12.660 --> 00:00:15.620]   so this is gonna be nice and challenging.
[00:00:15.620 --> 00:00:17.860]   Well, hey, I'm glad that you guys are here.
[00:00:17.860 --> 00:00:20.760]   You chose to be here this morning.
[00:00:20.760 --> 00:00:23.720]   So the sermon writing process is an interesting one.
[00:00:23.720 --> 00:00:27.280]   We pray, we ask God, we write down the words,
[00:00:27.280 --> 00:00:30.760]   and we pass it on to someone to look at it and to edit it
[00:00:30.760 --> 00:00:33.520]   and to make sure that we are going in the right direction.
[00:00:33.520 --> 00:00:36.000]   And we've prayed over today's sermon,
[00:00:36.000 --> 00:00:37.560]   and we're gonna preach that.
[00:00:37.560 --> 00:00:40.500]   Don't worry, Andrew, I'm not gonna go off script.
[00:00:40.500 --> 00:00:42.040]   But I wanna plead with you guys.
[00:00:42.040 --> 00:00:44.680]   I kinda wanna put out what my intention
[00:00:44.680 --> 00:00:46.480]   with this whole sermon is.
[00:00:46.480 --> 00:00:49.640]   And beyond my intention, what I believe God's intention
[00:00:49.640 --> 00:00:51.400]   with today's sermon is.
[00:00:51.400 --> 00:00:54.400]   You guys wanna know what God desires you to get out of this?
[00:00:54.400 --> 00:00:55.520]   Anyone here?
[00:00:55.520 --> 00:00:57.100]   Yeah?
[00:00:57.100 --> 00:01:02.100]   I plead with you that in listening to the words today,
[00:01:02.100 --> 00:01:05.520]   that you would consider in your heart
[00:01:05.520 --> 00:01:10.040]   what it means to follow Jesus.
[00:01:10.040 --> 00:01:15.600]   I plead with you today that you would consider in your heart
[00:01:15.600 --> 00:01:18.640]   what are the things of God,
[00:01:18.640 --> 00:01:24.100]   and do those things create excitement in me?
[00:01:24.100 --> 00:01:26.880]   Are those things that I'm aligned with,
[00:01:26.880 --> 00:01:31.200]   that I desire to see in the world fulfilled through him?
[00:01:31.200 --> 00:01:34.220]   I plead with you today that you would ask yourself,
[00:01:34.220 --> 00:01:37.900]   how do I truly follow who Jesus is?
[00:01:37.900 --> 00:01:38.760]   That is my hope.
[00:01:38.760 --> 00:01:41.340]   That is all I wanna get out of today's sermon.
[00:01:41.340 --> 00:01:44.700]   And I really want you guys to sit in this place of wrestling.
