
[00:00:00.000 --> 00:00:02.000]  謝謝Francesca,謝謝你
[00:00:02.000 --> 00:00:04.560]  不過其實很累
[00:00:04.560 --> 00:00:07.880]  因為這次終於做了正宗香港人會做的事
[00:00:07.880 --> 00:00:09.880]  就是早機去晚機返
[00:00:09.880 --> 00:00:12.480]  即是7時出發
[00:00:12.480 --> 00:00:14.320]  晚上班機還要延遲
[00:00:14.320 --> 00:00:17.640]  回到時間1、2時,凌晨
[00:00:17.640 --> 00:00:19.360]  為何可以這麼開心
[00:00:19.360 --> 00:00:21.640]  就是早機去晚機返
[00:00:21.640 --> 00:00:23.680]  因為我帶著小朋友
[00:00:23.680 --> 00:00:26.960]  從來都要在白天時坐飛機
[00:00:27.040 --> 00:00:30.400]  這次可以這麼拚搏
[00:00:30.400 --> 00:00:34.480]  因為這次只有我和太太兩個人去
[00:00:34.480 --> 00:00:37.440]  要拍手掌,我看到家長在拍手掌
[00:00:37.440 --> 00:00:40.080]  這是我們生了小朋友
[00:00:40.080 --> 00:00:43.240]  四年來第一次自己兩個人去旅行
[00:00:43.240 --> 00:00:44.200]  其實很感恩
[00:00:44.200 --> 00:00:47.880]  我們去了韓國的首爾
[00:00:47.880 --> 00:00:49.840]  跟我們以前的旅行不同
[00:00:49.840 --> 00:00:52.120]  我們幾乎沒有任何計劃
[00:00:52.120 --> 00:00:55.120]  因為去之前,我太太已經看到我
[00:00:55.120 --> 00:00:56.720]  已經死了,只剩下半條人命
[00:00:56.800 --> 00:00:58.640]  她說「行了,別計劃那麼多」
[00:00:58.640 --> 00:01:00.080]  為何我說沒有計劃
[00:01:00.080 --> 00:01:02.960]  因為認識我太太的人
[00:01:02.960 --> 00:01:05.280]  你有聽過…別說跟她去過旅行
[00:01:05.280 --> 00:01:07.000]  你聽過我們去旅行
[00:01:07.000 --> 00:01:11.480]  平時我去旅行會有所有行程
[00:01:11.480 --> 00:01:13.640]  印出來,放在一個清晰的文件夾
[00:01:13.640 --> 00:01:15.920]  我們拿著文件夾逐頁揭開
[00:01:15.920 --> 00:01:17.120]  去有這樣的行程
[00:01:17.120 --> 00:01:19.840]  我們這次幾乎沒有行程
[00:01:19.840 --> 00:01:21.240]  除了一個地方
[00:01:21.240 --> 00:01:24.440]  除了我們計劃有一天會去滑雪
[00:01:25.680 --> 00:01:30.560]  我們中間那天去了雪山滑雪
[00:01:30.560 --> 00:01:34.800]  這是我人生中第一次滑雪
[00:01:34.800 --> 00:01:40.160]  早上7時多就在市中心坐車
[00:01:40.160 --> 00:01:42.680]  坐了兩個多小時,上雪山
[00:01:42.680 --> 00:01:45.680]  大約10時就會到達
[00:01:45.680 --> 00:01:48.280]  我太太很好,知道我不懂得滑雪
[00:01:48.280 --> 00:01:51.760]  特意預約了一位教練教我滑雪
[00:01:51.760 --> 00:01:53.400]  讓我學習一下
[00:01:53.480 --> 00:01:55.800]  否則別人去雪山滑雪
[00:01:55.800 --> 00:01:58.440]  我就去雪山滑雪,滑下來
[00:01:58.440 --> 00:01:59.960]  有位教練教我滑雪
[00:01:59.960 --> 00:02:02.200]  但我們預約了下午1時
[00:02:02.200 --> 00:02:03.440]  那位教練來教我
[00:02:03.440 --> 00:02:05.040]  但我們10時就到了
[00:02:05.040 --> 00:02:06.880]  而且我們只預約了一天的行程
[00:02:06.880 --> 00:02:09.640]  即是我們全日只有幾個小時
[00:02:09.640 --> 00:02:10.760]  即是六、七個小時在那裡
[00:02:10.760 --> 00:02:11.840]  就是這麼多
[00:02:11.840 --> 00:02:13.520]  作為一個精打細算的香港人
[00:02:13.520 --> 00:02:14.240]  或是新加坡人
[00:02:14.240 --> 00:02:16.000]  當然不會放過這個機會
[00:02:16.000 --> 00:02:19.320]  同時作為一個…
[00:02:19.320 --> 00:02:20.600]  我們稱為「千禧世代」
[00:02:20.680 --> 00:02:23.480]  不懂得滑雪也不要緊
[00:02:23.480 --> 00:02:24.200]  這個世界上
[00:02:24.200 --> 00:02:26.120]  所有東西都在一個地方學習得到
[00:02:26.120 --> 00:02:27.840]  那個地方叫YouTube
[00:02:27.840 --> 00:02:29.160]  對,非常好
[00:02:29.160 --> 00:02:31.880]  大家果然都是「千代」,很年輕
[00:02:31.880 --> 00:02:32.960]  上YouTube
[00:02:32.960 --> 00:02:35.000]  我馬上乘車上YouTube
[00:02:35.000 --> 00:02:37.080]  看了一段大約九分鐘的影片
[00:02:37.080 --> 00:02:38.920]  即是初學者滑雪必學的影片
[00:02:38.920 --> 00:02:40.320]  我看完後就覺得
[00:02:40.320 --> 00:02:42.080]  「行了,完成了」
[00:02:42.080 --> 00:02:44.120]  「去吧,沒問題的」
[00:02:44.120 --> 00:02:45.360]  結果如何
[00:02:45.360 --> 00:02:48.360]  不如我們給大家看一段影片
[00:02:48.360 --> 00:02:49.720]  我們播放影片
[00:02:50.520 --> 00:02:53.000]  (你先播吧,你先播吧)
[00:02:53.000 --> 00:02:55.080]  (喂…)
[00:02:55.080 --> 00:02:57.720]  我要配音,我說「對不起…」
[00:02:57.720 --> 00:02:59.560]  我一直撞到一邊,「對不起…」
[00:02:59.560 --> 00:03:00.480]  好,還有下一段
[00:03:00.480 --> 00:03:03.080]  下一段是老婆的視覺
[00:03:03.080 --> 00:03:04.880]  我們去下一張就看到了
[00:03:04.880 --> 00:03:09.040]  好,這傢伙想滑雪…
[00:03:09.040 --> 00:03:10.920]  但…好,向前衝
[00:03:10.920 --> 00:03:13.160]  一開始時向前衝
