
[00:00:00.000 --> 00:00:01.500]   Amen, amen, amen.
[00:00:01.500 --> 00:00:04.460]   We wanna thank the worship team.
[00:00:04.460 --> 00:00:05.300]   Thank you guys.
[00:00:05.300 --> 00:00:06.740]   (congregation applauding)
[00:00:06.740 --> 00:00:10.460]   Why don't you go ahead and grab a seat, everyone.
[00:00:10.460 --> 00:00:11.500]   Welcome to the Vine.
[00:00:11.500 --> 00:00:14.160]   Welcome to the 11 o'clock as per youge.
[00:00:14.160 --> 00:00:15.260]   It is full.
[00:00:15.260 --> 00:00:16.940]   It is real full.
[00:00:16.940 --> 00:00:18.920]   There's like no room in here at all.
[00:00:18.920 --> 00:00:20.660]   Well, guys, I am Promise.
[00:00:20.660 --> 00:00:23.820]   I am the creative pastor here at the Vine.
[00:00:23.820 --> 00:00:25.700]   Welcome, so glad you're here.
[00:00:25.700 --> 00:00:28.640]   And to those who are watching online, also welcome.
[00:00:28.640 --> 00:00:30.000]   We're so glad that you're tuned in.
[00:00:30.000 --> 00:00:31.420]   You're not here, but you're kind of here.
[00:00:31.420 --> 00:00:34.260]   So thanks for that connection.
[00:00:34.260 --> 00:00:38.000]   We've been going through this series over the past few,
[00:00:38.000 --> 00:00:40.700]   actually since the beginning of the year on intimacy.
[00:00:40.700 --> 00:00:41.540]   All right, if you've been here,
[00:00:41.540 --> 00:00:44.200]   you would have heard Pastor Andrew talk about this idea,
[00:00:44.200 --> 00:00:46.540]   this concept of intimacy.
[00:00:46.540 --> 00:00:48.380]   And it's a strange word trying to figure out
[00:00:48.380 --> 00:00:49.220]   what does that mean?
[00:00:49.220 --> 00:00:50.220]   So we've been exploring it.
[00:00:50.220 --> 00:00:53.220]   We've been peeling back the layers and understanding
[00:00:53.220 --> 00:00:54.780]   what does it mean for you and for me
[00:00:54.780 --> 00:00:57.380]   to find our intimacy with God?
[00:00:57.380 --> 00:00:58.440]   Pastor Andrew would have shared with you
[00:00:58.440 --> 00:01:00.200]   that we as a leadership here at the Vine
[00:01:00.200 --> 00:01:02.080]   have been really wrestling with this idea.
[00:01:02.080 --> 00:01:04.640]   God spoke to us and has challenged us
[00:01:04.640 --> 00:01:07.960]   to lead the charge in helping us all understand
[00:01:07.960 --> 00:01:12.680]   that God has called us not just to come into the gates
[00:01:12.680 --> 00:01:14.280]   and stand at the entrance.
[00:01:14.280 --> 00:01:15.120]   Or another way of putting it,
[00:01:15.120 --> 00:01:19.200]   he's not called us to settle for the atmosphere of God,
[00:01:19.200 --> 00:01:21.560]   but he actually has called us to press in
[00:01:21.560 --> 00:01:23.720]   to the person of who God is.
[00:01:23.720 --> 00:01:26.080]   Intimacy is when we press beyond the atmosphere.
[00:01:26.080 --> 00:01:28.100]   We don't just settle for an idea of God,
[00:01:28.100 --> 00:01:32.260]   but pressing in to the person of who God himself is.
[00:01:32.260 --> 00:01:37.920]   To not just be satisfied with the atmosphere.
[00:01:37.920 --> 00:01:42.780]   This kind of call is an invitation to a real journey.
[00:01:42.780 --> 00:01:44.600]   Intimacy is not a one-time thing.
[00:01:44.600 --> 00:01:46.340]   It doesn't just snap and happen.
[00:01:46.340 --> 00:01:47.320]   It's a whole journey.
[00:01:47.320 --> 00:01:50.360]   And so far we've looked at some of the obstacles
[00:01:50.360 --> 00:01:52.680]   that present themselves in our journey
[00:01:52.680 --> 00:01:54.580]   towards intimacy with God.
[00:01:54.580 --> 00:01:56.320]   The first thing we talked about with this concept
[00:01:56.320 --> 00:01:59.380]   of rumors of God, how if we're not careful,
[00:01:59.380 --> 00:02:02.640]   we can settle for secondhand accounts
[00:02:02.640 --> 00:02:04.640]   of what someone else says about God
[00:02:04.640 --> 00:02:07.680]   to be our primary intimacy.
[00:02:07.680 --> 00:02:09.320]   Pastor Andrew would have had this little basket
[00:02:09.320 --> 00:02:11.560]   and he would have shown you what it looks like to harvest
[00:02:11.560 --> 00:02:13.080]   and what it looks like to glean,
[00:02:13.080 --> 00:02:15.800]   to pick up the leftovers of what somebody else said.
[00:02:15.800 --> 00:02:19.120]   And in order for us to actually have intimacy with Christ,
