
[00:00:00.000 --> 00:00:03.640]  我想問問大家有沒有聽過one time closing
[00:00:03.640 --> 00:00:08.560]  或者問問有沒有朋友是做銷售行業的
[00:00:08.560 --> 00:00:12.240]  銷售行業的one time closing 知是甚麼嗎
[00:00:12.240 --> 00:00:13.840]  剛才我聽到有人笑
[00:00:13.840 --> 00:00:17.760]  one time closing是一個保險業或其他銷售行業
[00:00:17.760 --> 00:00:21.440]  都會用的行內術語
[00:00:21.440 --> 00:00:24.040]  顧名思義one time closing
[00:00:24.040 --> 00:00:27.280]  即是第一次見面就close你的case
[00:00:27.280 --> 00:00:28.400]  做到生意
[00:00:28.400 --> 00:00:32.200]  話說當年我還在做金融的時候
[00:00:32.200 --> 00:00:34.960]  有一段時間我和一位private banker
[00:00:34.960 --> 00:00:38.680]  一個私人銀行的朋友一起合資做生意
[00:00:38.680 --> 00:00:43.320]  去開一間做財務顧問的諮詢公司
[00:00:43.320 --> 00:00:50.120]  當時我們的目標是幫一些高端的客戶做家族辦公室
[00:00:50.120 --> 00:00:51.800]  即是十幾年前
[00:00:51.800 --> 00:00:54.440]  現在政府常常說family office家族辦公室
[00:00:54.440 --> 00:00:59.280]  但十幾年前我們都已經見到這是一個很好的契機
[00:00:59.280 --> 00:01:04.160]  或者香港這個地方還有很多空間去做
[00:01:04.160 --> 00:01:07.920]  我本身是做證券股票的
[00:01:07.920 --> 00:01:12.200]  我的partner主要是做保險的生意
[00:01:12.200 --> 00:01:17.320]  當時我們一起做生意的目標
[00:01:17.320 --> 00:01:21.280]  第一個目標就是用最短的時間做最多的生意
[00:01:21.280 --> 00:01:22.960]  因為我們要圍皮
[00:01:22.960 --> 00:01:26.680]  如果做生意要圍皮就是要收支平衡
[00:01:26.680 --> 00:01:28.360]  我們做財富管理
[00:01:28.360 --> 00:01:29.800]  剛才說到家族辦公室
[00:01:29.800 --> 00:01:31.000]  說到財富管理
[00:01:31.000 --> 00:01:34.960]  當中當然少不了顧客的保障
[00:01:34.960 --> 00:01:36.200]  顧客的保障
[00:01:36.200 --> 00:01:38.280]  說的是他們各樣不同的保障
[00:01:38.280 --> 00:01:41.240]  牽涉的當然都是保險的生意
[00:01:41.240 --> 00:01:44.280]  當時我的partner就去train我
[00:01:44.280 --> 00:01:45.720]  因為我是股票底
[00:01:45.720 --> 00:01:47.000]  他是保險底
[00:01:47.000 --> 00:01:48.400]  他就train我
[00:01:48.400 --> 00:01:52.160]  希望一起做一些更加宏觀
[00:01:52.160 --> 00:01:57.120]  整個大一點的服務範圍的一些保險生意
[00:01:57.120 --> 00:02:00.960]  當時他給我的approach正正就是
[00:02:00.960 --> 00:02:02.960]  one time closing
[00:02:02.960 --> 00:02:03.880]  one time closing
[00:02:03.880 --> 00:02:04.560]  嘩
[00:02:04.560 --> 00:02:05.640]  是的
[00:02:05.640 --> 00:02:07.040]  慘了
[00:02:07.040 --> 00:02:07.600]  真的慘了
[00:02:07.600 --> 00:02:10.320]  真的是非常痛苦的一段時間
[00:02:10.320 --> 00:02:12.360]  因為我最討厭就是hard sell
[00:02:12.360 --> 00:02:13.480]  你明白嗎
[00:02:13.480 --> 00:02:15.560]  我想問一下大家
[00:02:15.560 --> 00:02:18.120]  尤其是有銷售經驗的
[00:02:18.120 --> 00:02:19.040]  one time closing
[00:02:19.040 --> 00:02:22.400]  你怎樣可以做到不hard sell
[00:02:22.400 --> 00:02:23.280]  怎樣可以做到不hard sell
[00:02:23.280 --> 00:02:23.800]  知不知道
[00:02:23.800 --> 00:02:25.200]  給個秘訣你
[00:02:25.200 --> 00:02:26.360]  是不可以的
[00:02:26.360 --> 00:02:27.160]  是呀
[00:02:27.160 --> 00:02:27.800]  sorry
[00:02:27.800 --> 00:02:28.400]  不可能
[00:02:28.400 --> 00:02:29.600]  你想one time closing
[00:02:29.600 --> 00:02:31.440]  你一定hard sell
[00:02:31.440 --> 00:02:36.040]  那時我都掙扎了一段時間
[00:02:36.040 --> 00:02:37.640]  經歷了一段時間
[00:02:37.640 --> 00:02:42.280]  我自己的掙扎和對客戶的折磨之後
[00:02:42.280 --> 00:02:44.160]  我決定做回我自己
[00:02:44.160 --> 00:02:45.840]  我決定不再去
[00:02:45.840 --> 00:02:46.600]  每一次都說
[00:02:46.600 --> 00:02:48.520]  不行我這次就要one time closing
[00:02:48.520 --> 00:02:50.680]  我這次就要做到這單生意
[00:02:50.680 --> 00:02:52.040]  我做回我自己
[00:02:52.040 --> 00:02:54.720]  以關係為先
[00:02:54.720 --> 00:02:57.040]  這方面我都要多謝我太太
[00:02:57.040 --> 00:02:59.760]  畢業已經在做保險行業
[00:02:59.760 --> 00:03:02.280]  在她當中我見到原來有路可走
[00:03:02.280 --> 00:03:03.680]  原來可以關係為先
[00:03:03.680 --> 00:03:05.440]  原來我不需要hard sell
[00:03:05.440 --> 00:03:09.080]  可以不需要one time closing
[00:03:09.080 --> 00:03:10.960]  舒服自然很多
[00:03:10.960 --> 00:03:12.280]  亦都是因為這樣
[00:03:12.280 --> 00:03:17.200]  這都是當時我能夠成功的一個重要原因
[00:03:17.200 --> 00:03:18.720]  關係
[00:03:18.720 --> 00:03:24.200]  關係是說真正關心其他人的需要
[00:03:24.200 --> 00:03:29.080]  當年我信主受洗之後的一兩年
[00:03:29.080 --> 00:03:31.480]  我除了回Divine 灣仔
[00:03:31.480 --> 00:03:34.880]  我還在回一間中文的local church
[00:03:34.880 --> 00:03:38.360]  當時那間local church不說是哪間
[00:03:38.360 --> 00:03:40.240]  不過都是很火熱的
[00:03:40.240 --> 00:03:45.960]  很能夠mobilize 到弟兄姊妹去傳福音
[00:03:45.960 --> 00:03:48.480]  那時我剛信主沒多久
[00:03:48.480 --> 00:03:52.560]  傳福音的火在我裏面猛烈燃燒
[00:03:52.560 --> 00:03:54.200]  大家有沒有試過
[00:03:54.200 --> 00:03:55.120]  要試一下
[00:03:55.120 --> 00:03:56.640]  傳福音的火在裏面
[00:03:56.640 --> 00:03:57.600]  嘩 瀕臨瀕瀾
[00:03:57.600 --> 00:03:59.960]  總之我不會放過任何機會
[00:03:59.960 --> 00:04:02.400]  任何一次見到任何一個人
[00:04:02.400 --> 00:04:04.200]  我都是想著怎樣帶他回教會
[00:04:04.200 --> 00:04:06.720]  和讓他信耶穌
[00:04:06.720 --> 00:04:08.080]  我不理我和他的關係是怎樣
[00:04:08.080 --> 00:04:09.800]  我不理你的狀態是怎樣
[00:04:09.800 --> 00:04:10.920]  總之你就是很有需要
[00:04:10.920 --> 00:04:12.480]  你現在這一刻有極大的需要
[00:04:12.480 --> 00:04:16.000]  你是要立刻去信耶穌的
[00:04:16.000 --> 00:04:21.800]  當然我都這樣帶了不少人去決志
[00:04:21.800 --> 00:04:24.120]  但當時引導我的
[00:04:24.120 --> 00:04:26.880]  是一個one time closing的心態
[00:04:26.880 --> 00:04:28.960]  我每一次有一個intention
[00:04:28.960 --> 00:04:30.840]  就是我要你信耶穌
[00:04:30.840 --> 00:04:32.320]  我每一次約每一個人
[00:04:32.320 --> 00:04:33.280]  見到每一個人
[00:04:33.280 --> 00:04:35.880]  我都是心想我要你信耶穌
[00:04:35.880 --> 00:04:38.120]  嘩 很虔誠的一個基督徒
[00:04:38.120 --> 00:04:42.560]  但我忘記了關係
[00:04:42.560 --> 00:04:45.160]  那班跟著我祈禱
[00:04:45.160 --> 00:04:47.200]  去做一個決志的朋友
[00:04:47.200 --> 00:04:51.880]  我不見到最終有多少個在教會裏面
[00:04:51.880 --> 00:04:52.800]  不知為何
[00:04:52.800 --> 00:04:53.760]  可能就是因為
