
[00:00:00.000 --> 00:00:05.160]  好,我很開心看到這麼多朋友
[00:00:05.160 --> 00:00:06.360]  有新的朋友來到
[00:00:06.360 --> 00:00:10.240]  也有我們年輕的老朋友
[00:00:10.240 --> 00:00:13.400]  現在對於關於年紀、大小
[00:00:13.400 --> 00:00:14.840]  好像經常都很敏感
[00:00:14.840 --> 00:00:17.840]  好像很怕說自己很老
[00:00:17.840 --> 00:00:19.840]  大家會嗎?
[00:00:19.840 --> 00:00:21.440]  不說真的會吧
[00:00:21.440 --> 00:00:23.000]  不用怕,老就一定會
[00:00:23.000 --> 00:00:25.560]  不過我們仍然很年輕
[00:00:25.560 --> 00:00:27.840]  剛才有個term叫甚麼
[00:00:27.840 --> 00:00:30.560]  很大一點的年輕人
[00:00:30.560 --> 00:00:34.960]  最重要的是我們心境仍然很年輕
[00:00:34.960 --> 00:00:36.360]  神不斷更新我們
[00:00:36.360 --> 00:00:39.240]  聖靈不斷更新我們
[00:00:39.240 --> 00:00:42.800]  我想首先分享一個
[00:00:42.800 --> 00:00:46.240]  一個律師朋友的經歷
[00:00:46.240 --> 00:00:50.480]  放心,不是那些約去酒店吃飯的
[00:00:50.480 --> 00:00:53.480]  我的朋友真的是一個律師
[00:00:53.480 --> 00:00:57.080]  他是一個事務律師
[00:00:57.080 --> 00:01:00.960]  基本上他一年365天
[00:01:00.960 --> 00:01:04.560]  長期都是坐在工作
[00:01:04.560 --> 00:01:09.640]  近年他發現自己的腰開始痛
[00:01:09.640 --> 00:01:12.120]  痛到那種
[00:01:12.120 --> 00:01:13.760]  不要說坐,基本上是
[00:01:13.760 --> 00:01:15.400]  站也站不住,睡也睡不著
[00:01:15.400 --> 00:01:17.800]  總之就是很痛
[00:01:17.800 --> 00:01:20.720]  分別在於痛到哭,還是痛到想死
[00:01:20.720 --> 00:01:22.880]  你經常都說我真的痛到想死
[00:01:22.880 --> 00:01:25.920]  但神會知道我們的需要
[00:01:25.920 --> 00:01:28.520]  他首先去看西醫
[00:01:28.520 --> 00:01:30.680]  他去照X-ray
[00:01:30.680 --> 00:01:33.800]  西醫說他椎間盤突出
[00:01:33.800 --> 00:01:36.240]  叫他做手術
[00:01:36.240 --> 00:01:37.640]  我朋友就說
[00:01:37.640 --> 00:01:39.640]  我很害怕,不想做手術
[00:01:39.640 --> 00:01:41.840]  我們有另一位朋友
