
[00:00:00.000 --> 00:00:02.000]  謝謝,謝謝Francesca
[00:00:02.000 --> 00:00:04.000]  給Francesca掌聲
[00:00:04.000 --> 00:00:06.000]  其實她今天有點不舒服
[00:00:06.000 --> 00:00:09.000]  求神醫治你,幫助你
[00:00:09.000 --> 00:00:11.000]  剛才她介紹自己是我們其中一個會員
[00:00:11.000 --> 00:00:13.000]  她也是我們其中一個領導
[00:00:13.000 --> 00:00:15.000]  謝謝你,謝謝你
[00:00:15.000 --> 00:00:17.000]  不舒服也好,但繼續在主裡面得力
[00:00:17.000 --> 00:00:19.000]  一路去服事
[00:00:19.000 --> 00:00:22.000]  剛才Francesca報告的時候
[00:00:22.000 --> 00:00:24.000]  有幾件事
[00:00:24.000 --> 00:00:29.000]  其實我們見到教會的議長一直在拓展
[00:00:29.000 --> 00:00:38.000]  無論是青少年,無論是剛才的母親
[00:00:38.000 --> 00:00:40.000]  年輕的女士
[00:00:40.000 --> 00:00:43.000]  和淺色城市
[00:00:43.000 --> 00:00:45.000]  其實就是在用這個地方
[00:00:45.000 --> 00:00:47.000]  這是我們議長的一部分
[00:00:47.000 --> 00:00:49.000]  在我們議長主日的時候
[00:00:49.000 --> 00:00:51.000]  我們說我們怎樣去服事這個社區
[00:00:51.000 --> 00:00:54.000]  這些全部都是神讓我們見到
[00:00:54.000 --> 00:00:56.000]  亦都是讓我們連繫到
[00:00:56.000 --> 00:00:58.000]  讓大家在當中可以一起去參與
[00:00:58.000 --> 00:01:00.000]  一起去服事的教會
[00:01:00.000 --> 00:01:02.000]  所以剛才那些報告
[00:01:02.000 --> 00:01:03.000]  雖然好像其他機構去主辦
[00:01:03.000 --> 00:01:05.000]  在這個地方其實都是我們教會的一部分
[00:01:05.000 --> 00:01:07.000]  都是我們國度一起去服事的地方
[00:01:07.000 --> 00:01:09.000]  所以Feel Free你們覺得哪裡有感動的
[00:01:09.000 --> 00:01:10.000]  想了解多一點的
[00:01:10.000 --> 00:01:11.000]  可以來問我們
[00:01:11.000 --> 00:01:13.000]  我們沒有的是什麼
[00:01:13.000 --> 00:01:15.000]  沒有的,如果沒有了你們就什麼都沒有
[00:01:15.000 --> 00:01:17.000]  我們有的Capacity
[00:01:17.000 --> 00:01:19.000]  這個是我們提醒的
[00:01:19.000 --> 00:01:21.000]  經常我們說我沒有Capacity
[00:01:21.000 --> 00:01:22.000]  我也悔改了
[00:01:22.000 --> 00:01:23.000]  我們有Capacity
[00:01:23.000 --> 00:01:24.000]  因為服事神的國度
[00:01:24.000 --> 00:01:26.000]  當有大家的時候
[00:01:26.000 --> 00:01:27.000]  這些就是Capacity
[00:01:27.000 --> 00:01:29.000]  我們一起去服事好不好
[00:01:29.000 --> 00:01:32.000]  今天是我們第六個星期
[00:01:32.000 --> 00:01:34.000]  加理太書的講道系列第六個星期
[00:01:34.000 --> 00:01:35.000]  不知道大家有什麼感受呢
[00:01:35.000 --> 00:01:37.000]  過去那幾個星期
[00:01:37.000 --> 00:01:40.000]  我自己就很深去感受到
[00:01:40.000 --> 00:01:45.000]  在一個更新中的輕散
[00:01:45.000 --> 00:01:47.000]  不知道大家有沒有這樣的領受
[00:01:47.000 --> 00:01:49.000]  上個禮拜,再上一個禮拜二
[00:01:49.000 --> 00:01:50.000]  即是前一個禮拜二
[00:01:50.000 --> 00:01:53.000]  我們在教會有我們的祈禱會
[00:01:53.000 --> 00:01:55.000]  晚上的禮拜二的祈禱會
[00:01:55.000 --> 00:01:56.000]  其實弟兄姊妹
[00:01:56.000 --> 00:01:59.000]  大家是不謀而合的
